Provinsi,kode_prov,Tahun,Bulan,nama_bulan,urutan,Jenis_Pendapatan,Anggaran,Realisasi,Persentase,datar_tahunan,belum_final,Tanggal,Persentase_YTD
Aceh,1,2023,1,Januari,1,Belanja Modal,1736334395840.0,0.0,0.0,False,False,2023-01-01,0.0
Aceh,1,2023,2,Februari,2,Belanja Modal,1736334395840.0,1572981291.0,0.09,False,False,2023-02-01,0.09
Aceh,1,2023,3,Maret,3,Belanja Modal,1736334395840.0,37028205064.78,2.22,False,False,2023-03-01,2.22
Aceh,1,2023,4,April,4,Belanja Modal,1736334395840.0,100066713837.39001,7.99,False,False,2023-04-01,7.99
Aceh,1,2023,5,Mei,5,Belanja Modal,1736334395840.0,0.0,7.99,False,False,2023-05-01,7.99
Aceh,1,2023,6,Juni,6,Belanja Modal,1736334395840.0,92597543640.44998,13.32,False,False,2023-06-01,13.32
Aceh,1,2023,7,Juli,7,Belanja Modal,1736334395840.0,104292593535.95001,19.33,False,False,2023-07-01,19.33
Aceh,1,2023,8,Agustus,8,Belanja Modal,1736334395840.0,182723198909.69,29.85,False,False,2023-08-01,29.85
Aceh,1,2023,9,September,9,Belanja Modal,1736334395840.0,108061130077.42004,36.07,False,False,2023-09-01,36.07
Aceh,1,2023,10,Oktober,10,Belanja Modal,1736334395840.0,200105338842.55994,47.6,False,False,2023-10-01,47.6
Aceh,1,2023,11,November,11,Belanja Modal,1736334395840.0,173082055955.0,57.57,False,False,2023-11-01,57.57
Aceh,1,2023,12,Desember,12,Belanja Modal,1736334395840.0,609013574513.1599,92.64,False,False,2023-12-01,92.64
Aceh,1,2024,1,Januari,13,Belanja Modal,1283811039147.9,0.0,0.0,False,False,2024-01-01,0.0
Aceh,1,2024,2,Februari,14,Belanja Modal,1283811039147.9,0.0,0.0,False,False,2024-02-01,0.0
Aceh,1,2024,3,Maret,15,Belanja Modal,1283811039147.9,2438846031.0,0.19,False,False,2024-03-01,0.19
Aceh,1,2024,4,April,16,Belanja Modal,1283811039147.9,71332547481.0,5.75,False,False,2024-04-01,5.75
Aceh,1,2024,5,Mei,17,Belanja Modal,1283811039147.9,19301874488.0,7.25,False,False,2024-05-01,7.25
Aceh,1,2024,6,Juni,18,Belanja Modal,1283811039147.9,19919703337.160004,8.8,False,False,2024-06-01,8.8
Aceh,1,2024,7,Juli,19,Belanja Modal,1283811039147.9,120253454203.10999,18.17,False,False,2024-07-01,18.17
Aceh,1,2024,8,Agustus,20,Belanja Modal,1283811039147.9,64129361321.76999,23.16,False,False,2024-08-01,23.16
Aceh,1,2024,9,September,21,Belanja Modal,1283811039147.9,78513399185.08002,29.28,False,False,2024-09-01,29.28
Aceh,1,2024,10,Oktober,22,Belanja Modal,1283811039147.9,62005170108.51001,34.11,False,False,2024-10-01,34.11
Aceh,1,2024,11,November,23,Belanja Modal,1283811039147.9,165787871798.88,47.02,False,False,2024-11-01,47.02
Aceh,1,2024,12,Desember,24,Belanja Modal,1283811039147.9,640735443221.69,96.93,False,False,2024-12-01,96.93
Aceh,1,2025,1,Januari,25,Belanja Modal,1004234420901.3,9440000.0,0.0,False,False,2025-01-01,0.0
Aceh,1,2025,2,Februari,26,Belanja Modal,1004234420901.3,36944500.0,0.0,False,False,2025-02-01,0.0
Aceh,1,2025,3,Maret,27,Belanja Modal,1004234420901.3,27907378875.0,2.78,False,False,2025-03-01,2.78
Aceh,1,2025,4,April,28,Belanja Modal,1004234420901.3,733302900.0,2.86,False,False,2025-04-01,2.86
Aceh,1,2025,5,Mei,29,Belanja Modal,1004234420901.3,68765377363.71,9.7,False,False,2025-05-01,9.7
Aceh,1,2025,6,Juni,30,Belanja Modal,1004234420901.3,49114147455.999985,14.59,False,False,2025-06-01,14.59
Aceh,1,2025,7,Juli,31,Belanja Modal,1004234420901.3,55994401568.51001,20.17,False,False,2025-07-01,20.17
Aceh,1,2025,8,Agustus,32,Belanja Modal,1004234420901.3,105031835066.87997,30.63,False,False,2025-08-01,30.63
Aceh,1,2025,9,September,33,Belanja Modal,1004234420901.3,77846627169.0,38.38,False,False,2025-09-01,38.38
Aceh,1,2025,10,Oktober,34,Belanja Modal,1004234420901.3,64549894644.23004,44.81,False,False,2025-10-01,44.81
Aceh,1,2025,11,November,35,Belanja Modal,1004234420901.3,102414167986.29999,55.01,False,False,2025-11-01,55.01
Aceh,1,2025,12,Desember,36,Belanja Modal,1004234420901.3,324909412662.06995,87.36,False,False,2025-12-01,87.36
Aceh,1,2023,1,Januari,1,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,0.0,False,False,2023-01-01,0.0
Aceh,1,2023,2,Februari,2,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,0.0,False,False,2023-02-01,0.0
Aceh,1,2023,3,Maret,3,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,0.0,False,False,2023-03-01,0.0
Aceh,1,2023,4,April,4,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,251474715927.0,99.43,False,False,2023-04-01,99.43
Aceh,1,2023,5,Mei,5,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.43,False,False,2023-05-01,99.43
Aceh,1,2023,6,Juni,6,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.43,False,False,2023-06-01,99.43
Aceh,1,2023,7,Juli,7,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,1249085765.8299866,99.92,False,False,2023-07-01,99.92
Aceh,1,2023,8,Agustus,8,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.92,False,True,2023-08-01,99.92
Aceh,1,2023,9,September,9,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.92,False,True,2023-09-01,99.92
Aceh,1,2023,10,Oktober,10,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.92,False,True,2023-10-01,99.92
Aceh,1,2023,11,November,11,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.92,False,True,2023-11-01,99.92
Aceh,1,2023,12,Desember,12,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0,0.0,99.92,False,True,2023-12-01,99.92
Aceh,1,2024,1,Januari,13,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,0.0,False,False,2024-01-01,0.0
Aceh,1,2024,2,Februari,14,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,0.0,False,False,2024-02-01,0.0
Aceh,1,2024,3,Maret,15,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,0.0,False,False,2024-03-01,0.0
Aceh,1,2024,4,April,16,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,0.0,False,False,2024-04-01,0.0
Aceh,1,2024,5,Mei,17,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,240975497877.0,90.75,False,False,2024-05-01,90.75
Aceh,1,2024,6,Juni,18,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,90.75,False,False,2024-06-01,90.75
Aceh,1,2024,7,Juli,19,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,26685405472.0,100.8,False,False,2024-07-01,100.8
Aceh,1,2024,8,Agustus,20,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,100.8,False,True,2024-08-01,100.8
Aceh,1,2024,9,September,21,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,100.8,False,True,2024-09-01,100.8
Aceh,1,2024,10,Oktober,22,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,100.8,False,True,2024-10-01,100.8
Aceh,1,2024,11,November,23,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,100.8,False,True,2024-11-01,100.8
Aceh,1,2024,12,Desember,24,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265530274530.0,0.0,100.8,False,True,2024-12-01,100.8
Aceh,1,2025,1,Januari,25,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,0.0,False,False,2025-01-01,0.0
Aceh,1,2025,2,Februari,26,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,26549774415.0,9.99,False,False,2025-02-01,9.99
Aceh,1,2025,3,Maret,27,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,215416778183.0,91.04,False,False,2025-03-01,91.04
Aceh,1,2025,4,April,28,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,91.04,False,False,2025-04-01,91.04
Aceh,1,2025,5,Mei,29,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,1580109813.0,91.63,False,False,2025-05-01,91.63
Aceh,1,2025,6,Juni,30,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,26706831364.0,101.68,False,False,2025-06-01,101.68
Aceh,1,2025,7,Juli,31,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,101.68,False,True,2025-07-01,101.68
Aceh,1,2025,8,Agustus,32,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,101.68,False,True,2025-08-01,101.68
Aceh,1,2025,9,September,33,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,101.68,False,True,2025-09-01,101.68
Aceh,1,2025,10,Oktober,34,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,101.68,False,True,2025-10-01,101.68
Aceh,1,2025,11,November,35,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,101.68,False,True,2025-11-01,101.68
Aceh,1,2025,12,Desember,36,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,265781801886.0,0.0,101.68,False,True,2025-12-01,101.68
Aceh,1,2023,1,Januari,1,Lain-Lain PAD yang Sah,819235173522.0,61976865541.28,7.57,False,False,2023-01-01,7.57
Aceh,1,2023,2,Februari,2,Lain-Lain PAD yang Sah,819235173522.0,60742339963.43001,14.98,False,False,2023-02-01,14.98
Aceh,1,2023,3,Maret,3,Lain-Lain PAD yang Sah,819235173522.0,108167445151.15999,28.18,False,False,2023-03-01,28.18
Aceh,1,2023,4,April,4,Lain-Lain PAD yang Sah,819235173522.0,32729515187.679993,32.18,False,False,2023-04-01,32.18
Aceh,1,2023,5,Mei,5,Lain-Lain PAD yang Sah,819235173522.0,0.0,32.18,False,False,2023-05-01,32.18
Aceh,1,2023,6,Juni,6,Lain-Lain PAD yang Sah,819235173522.0,70830177213.40002,40.82,False,False,2023-06-01,40.82
Aceh,1,2023,7,Juli,7,Lain-Lain PAD yang Sah,819235173522.0,82139293834.43,50.85,False,False,2023-07-01,50.85
Aceh,1,2023,8,Agustus,8,Lain-Lain PAD yang Sah,819235173522.0,120563152070.87,65.57,False,False,2023-08-01,65.57
Aceh,1,2023,9,September,9,Lain-Lain PAD yang Sah,819235173522.0,77920395014.44995,75.08,False,False,2023-09-01,75.08
Aceh,1,2023,10,Oktober,10,Lain-Lain PAD yang Sah,819235173522.0,84481379818.18005,85.39,False,False,2023-10-01,85.39
Aceh,1,2023,11,November,11,Lain-Lain PAD yang Sah,819235173522.0,34262757354.869995,89.57,False,False,2023-11-01,89.57
Aceh,1,2023,12,Desember,12,Lain-Lain PAD yang Sah,819235173522.0,116611516016.97998,103.81,False,False,2023-12-01,103.81
Aceh,1,2024,1,Januari,13,Lain-Lain PAD yang Sah,182162912923.0,124033894735.78,68.09,False,False,2024-01-01,68.09
Aceh,1,2024,2,Februari,14,Lain-Lain PAD yang Sah,182162912923.0,24676565118.110016,81.64,False,False,2024-02-01,81.64
Aceh,1,2024,3,Maret,15,Lain-Lain PAD yang Sah,182162912923.0,72938327217.9,121.68,False,False,2024-03-01,121.68
Aceh,1,2024,4,April,16,Lain-Lain PAD yang Sah,182162912923.0,78025590502.61002,164.51,False,False,2024-04-01,164.51
Aceh,1,2024,5,Mei,17,Lain-Lain PAD yang Sah,182162912923.0,63521303839.01996,199.38,False,False,2024-05-01,199.38
Aceh,1,2024,6,Juni,18,Lain-Lain PAD yang Sah,182162912923.0,75342250044.31,240.74,False,False,2024-06-01,240.74
Aceh,1,2024,7,Juli,19,Lain-Lain PAD yang Sah,182162912923.0,109183980418.98004,300.68,False,False,2024-07-01,300.68
Aceh,1,2024,8,Agustus,20,Lain-Lain PAD yang Sah,182162912923.0,35452107350.39996,320.14,False,False,2024-08-01,320.14
Aceh,1,2024,9,September,21,Lain-Lain PAD yang Sah,182162912923.0,82575075633.10999,365.47,False,False,2024-09-01,365.47
Aceh,1,2024,10,Oktober,22,Lain-Lain PAD yang Sah,182162912923.0,78619492224.01001,408.63,False,False,2024-10-01,408.63
Aceh,1,2024,11,November,23,Lain-Lain PAD yang Sah,182162912923.0,0.0,89.54,False,False,2024-11-01,89.54
Aceh,1,2024,12,Desember,24,Lain-Lain PAD yang Sah,182162912923.0,73337859774.95999,129.8,False,False,2024-12-01,129.8
Aceh,1,2025,1,Januari,25,Lain-Lain PAD yang Sah,170854502169.0,7699170104.47,4.51,False,False,2025-01-01,4.51
Aceh,1,2025,2,Februari,26,Lain-Lain PAD yang Sah,170854502169.0,9846020494.48,10.27,False,False,2025-02-01,10.27
Aceh,1,2025,3,Maret,27,Lain-Lain PAD yang Sah,170854502169.0,16438950712.099998,19.89,False,False,2025-03-01,19.89
Aceh,1,2025,4,April,28,Lain-Lain PAD yang Sah,170854502169.0,62988539804.94,56.76,False,False,2025-04-01,56.76
Aceh,1,2025,5,Mei,29,Lain-Lain PAD yang Sah,170854502169.0,11848570248.73999,63.69,False,False,2025-05-01,63.69
