provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase
Sumatera Utara,02,2023,1,Januari,1,Pendapatan Daerah,61105354772185.0,3756335983072.4,6.15
Sumatera Utara,02,2023,1,Januari,2,PAD,16165041109374.0,779528271224.64,4.82
Sumatera Utara,02,2023,1,Januari,3,Pajak Daerah,12883310054009.0,690567505756.2,5.36
Sumatera Utara,02,2023,1,Januari,4,Retribusi Daerah,706571711347.0,15238371914.63,2.16
Sumatera Utara,02,2023,1,Januari,5,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,712889250364.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,6,Lain-Lain PAD yang Sah,1862270093654.0,73722393553.81,3.96
Sumatera Utara,02,2023,1,Januari,7,TKDD,41293751175820.0,2961578581204.0,7.17
Sumatera Utara,02,2023,1,Januari,8,Pendapatan Transfer Pemerintah Pusat,41293751175820.0,2961578581204.0,7.17
Sumatera Utara,02,2023,1,Januari,9,Pendapatan Lainnya,3646562486991.2,15229130643.8,0.42
Sumatera Utara,02,2023,1,Januari,10,Pendapatan Hibah,193940776682.0,900016519.0,0.46
Sumatera Utara,02,2023,1,Januari,11,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,537116210245.0,14329114124.8,2.67
Sumatera Utara,02,2023,1,Januari,12,Pendapatan Transfer Antar Daerah,2915505500064.2,0.0,0.0
Sumatera Utara,02,2023,1,Januari,13,Belanja Daerah,64005510298886.0,1441366588068.1,2.25
Sumatera Utara,02,2023,1,Januari,14,Belanja Pegawai,22359293137225.0,1112405676595.2,4.98
Sumatera Utara,02,2023,1,Januari,15,Belanja Pegawai,22359293137225.0,1112405676595.2,4.98
Sumatera Utara,02,2023,1,Januari,16,Belanja Barang dan Jasa,16101429369457.0,99955185570.9,0.62
Sumatera Utara,02,2023,1,Januari,17,Belanja Barang dan Jasa,16101429369457.0,99955185570.9,0.62
Sumatera Utara,02,2023,1,Januari,18,Belanja Modal,11987672019419.0,158711268756.0,1.32
Sumatera Utara,02,2023,1,Januari,19,Belanja Modal,11987672019419.0,158711268756.0,1.32
Sumatera Utara,02,2023,1,Januari,20,Belanja Lainnya,13557115772785.0,70294457146.0,0.52
Sumatera Utara,02,2023,1,Januari,21,Belanja Bagi Hasil,2873089860847.0,1670100000.0,0.06
Sumatera Utara,02,2023,1,Januari,22,Belanja Bantuan Keuangan,6683087417910.0,11379415776.0,0.17
Sumatera Utara,02,2023,1,Januari,23,Belanja Bunga,75422206842.0,5885055151.0,7.8
Sumatera Utara,02,2023,1,Januari,24,Belanja Subsidi,2687500000.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,25,Belanja Hibah,3218749116079.0,1734082180.0,0.05
Sumatera Utara,02,2023,1,Januari,26,Belanja Bantuan Sosial,186745586010.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,27,Belanja Tidak Terduga,517334085097.0,49625804039.0,9.59
Sumatera Utara,02,2023,1,Januari,28,Pembiayaan Daerah,2900155526701.0,2747975543010.7,94.75
Sumatera Utara,02,2023,1,Januari,29,Penerimaan Pembiayaan Daerah,3167717292506.0,2752348180007.7,86.89
Sumatera Utara,02,2023,1,Januari,30,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,3124606649223.0,2752348180007.7,88.09
Sumatera Utara,02,2023,1,Januari,31,Penerimaan Pinjaman Daerah,41710643283.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,32,Penerimaan Kembali Pemberian Pinjaman Daerah,1400000000.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,33,Pengeluaran Pembiayaan Daerah,267561765805.0,4372636997.0,1.63
