provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Bali,22,2023,1,Januari,1,Belanja Bantuan Keuangan,521974803508.0,0.0,0.0,False,False
Bali,22,2023,2,Februari,2,Belanja Bantuan Keuangan,521974803508.0,5449500000.0,1.04,False,False
Bali,22,2023,3,Maret,3,Belanja Bantuan Keuangan,521974803508.0,12092600000.0,2.32,False,False
Bali,22,2023,4,April,4,Belanja Bantuan Keuangan,521974803508.0,42109216000.0,8.07,False,False
Bali,22,2023,5,Mei,5,Belanja Bantuan Keuangan,521974803508.0,42109216000.0,8.07,False,False
Bali,22,2023,6,Juni,6,Belanja Bantuan Keuangan,521974803508.0,53111282080.0,10.18,False,False
Bali,22,2023,7,Juli,7,Belanja Bantuan Keuangan,521974803508.0,84729569748.0,16.23,False,False
Bali,22,2023,8,Agustus,8,Belanja Bantuan Keuangan,521974803508.0,133296744237.0,25.54,False,False
Bali,22,2023,9,September,9,Belanja Bantuan Keuangan,521974803508.0,170862231987.0,32.73,False,False
Bali,22,2023,10,Oktober,10,Belanja Bantuan Keuangan,521974803508.0,186078782767.0,35.65,False,False
Bali,22,2023,11,November,11,Belanja Bantuan Keuangan,521974803508.0,237317179264.0,45.47,False,False
Bali,22,2023,12,Desember,12,Belanja Bantuan Keuangan,521974803508.0,260458917446.0,49.9,False,False
Bali,22,2024,1,Januari,13,Belanja Bantuan Keuangan,366931922273.0,0.0,0.0,False,False
Bali,22,2024,2,Februari,14,Belanja Bantuan Keuangan,366931922273.0,2789100000.0,0.76,False,False
Bali,22,2024,3,Maret,15,Belanja Bantuan Keuangan,366931922273.0,11114100000.0,3.03,False,False
Bali,22,2024,4,April,16,Belanja Bantuan Keuangan,366931922273.0,148899505785.0,40.58,False,False
Bali,22,2024,5,Mei,17,Belanja Bantuan Keuangan,366931922273.0,213169495177.0,58.1,False,False
Bali,22,2024,6,Juni,18,Belanja Bantuan Keuangan,366931922273.0,266641168754.0,72.67,False,False
Bali,22,2024,7,Juli,19,Belanja Bantuan Keuangan,366931922273.0,281588465000.0,76.74,False,False
Bali,22,2024,8,Agustus,20,Belanja Bantuan Keuangan,366931922273.0,309978808160.0,84.48,False,False
Bali,22,2024,9,September,21,Belanja Bantuan Keuangan,366931922273.0,318252853036.0,86.73,False,False
Bali,22,2024,10,Oktober,22,Belanja Bantuan Keuangan,366931922273.0,337019565600.0,91.85,False,False
Bali,22,2024,11,November,23,Belanja Bantuan Keuangan,366931922273.0,309813713629.0,84.43,False,False
Bali,22,2024,12,Desember,24,Belanja Bantuan Keuangan,366931922273.0,355860433998.0,96.98,False,False
Bali,22,2025,1,Januari,25,Belanja Bantuan Keuangan,205265185944.0,0.0,0.0,False,False
Bali,22,2025,2,Februari,26,Belanja Bantuan Keuangan,205265185944.0,0.0,0.0,False,False
Bali,22,2025,3,Maret,27,Belanja Bantuan Keuangan,205265185944.0,4164112080.0,2.03,False,False
Bali,22,2025,4,April,28,Belanja Bantuan Keuangan,205265185944.0,19897441920.0,9.69,False,False
Bali,22,2025,5,Mei,29,Belanja Bantuan Keuangan,205265185944.0,32102463600.0,15.64,False,False
Bali,22,2025,6,Juni,30,Belanja Bantuan Keuangan,205265185944.0,48150340200.0,23.46,False,False
Bali,22,2025,7,Juli,31,Belanja Bantuan Keuangan,205265185944.0,80846573520.0,39.39,False,False
