provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Bangka Belitung,29,2023,1,Januari,1,Belanja Bantuan Keuangan,67464300000.0,0.0,0.0,False,False
Bangka Belitung,29,2023,2,Februari,2,Belanja Bantuan Keuangan,67464300000.0,0.0,0.0,False,False
Bangka Belitung,29,2023,3,Maret,3,Belanja Bantuan Keuangan,67464300000.0,9000000000.0,13.34,False,False
Bangka Belitung,29,2023,4,April,4,Belanja Bantuan Keuangan,67464300000.0,9475000000.0,14.04,False,False
Bangka Belitung,29,2023,5,Mei,5,Belanja Bantuan Keuangan,67464300000.0,9475000000.0,14.04,False,False
Bangka Belitung,29,2023,6,Juni,6,Belanja Bantuan Keuangan,67464300000.0,31275000000.0,46.36,False,False
Bangka Belitung,29,2023,7,Juli,7,Belanja Bantuan Keuangan,67464300000.0,31713000000.0,47.01,False,False
Bangka Belitung,29,2023,8,Agustus,8,Belanja Bantuan Keuangan,67464300000.0,34882700000.0,51.71,False,False
Bangka Belitung,29,2023,9,September,9,Belanja Bantuan Keuangan,67464300000.0,38398000000.0,56.92,False,False
Bangka Belitung,29,2023,10,Oktober,10,Belanja Bantuan Keuangan,67464300000.0,42802800000.0,63.45,False,False
Bangka Belitung,29,2023,11,November,11,Belanja Bantuan Keuangan,67464300000.0,46675188300.0,69.19,False,False
Bangka Belitung,29,2023,12,Desember,12,Belanja Bantuan Keuangan,67464300000.0,71558847050.0,106.07,False,False
Bangka Belitung,29,2024,1,Januari,13,Belanja Bantuan Keuangan,70571600000.0,0.0,0.0,False,False
Bangka Belitung,29,2024,2,Februari,14,Belanja Bantuan Keuangan,70571600000.0,0.0,0.0,False,False
Bangka Belitung,29,2024,3,Maret,15,Belanja Bantuan Keuangan,70571600000.0,0.0,0.0,False,False
Bangka Belitung,29,2024,4,April,16,Belanja Bantuan Keuangan,70571600000.0,0.0,0.0,False,False
Bangka Belitung,29,2024,5,Mei,17,Belanja Bantuan Keuangan,70571600000.0,0.0,0.0,False,False
Bangka Belitung,29,2024,6,Juni,18,Belanja Bantuan Keuangan,70571600000.0,0.0,0.0,False,False
Bangka Belitung,29,2024,7,Juli,19,Belanja Bantuan Keuangan,70571600000.0,991800000.0,1.41,False,False
Bangka Belitung,29,2024,8,Agustus,20,Belanja Bantuan Keuangan,70571600000.0,1786125200.0,2.53,False,False
Bangka Belitung,29,2024,9,September,21,Belanja Bantuan Keuangan,70571600000.0,3769725200.0,5.34,False,False
Bangka Belitung,29,2024,10,Oktober,22,Belanja Bantuan Keuangan,70571600000.0,3769725200.0,5.34,False,False
Bangka Belitung,29,2024,11,November,23,Belanja Bantuan Keuangan,70571600000.0,7341975600.0,10.4,False,False
Bangka Belitung,29,2024,12,Desember,24,Belanja Bantuan Keuangan,70571600000.0,8930626000.0,12.65,False,False
Bangka Belitung,29,2025,1,Januari,25,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,False,False
Bangka Belitung,29,2025,2,Februari,26,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,False,False
Bangka Belitung,29,2025,3,Maret,27,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,False,False
Bangka Belitung,29,2025,4,April,28,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,False,False
Bangka Belitung,29,2025,5,Mei,29,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,False,False
Bangka Belitung,29,2025,6,Juni,30,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,False,False
Bangka Belitung,29,2025,7,Juli,31,Belanja Bantuan Keuangan,1445200000.0,2500000000.0,172.99,False,False
Bangka Belitung,29,2025,8,Agustus,32,Belanja Bantuan Keuangan,1445200000.0,6000000000.0,415.17,False,False
Bangka Belitung,29,2025,9,September,33,Belanja Bantuan Keuangan,1445200000.0,6000000000.0,415.17,False,False
Bangka Belitung,29,2025,10,Oktober,34,Belanja Bantuan Keuangan,1445200000.0,6000000000.0,415.17,False,False
Bangka Belitung,29,2025,11,November,35,Belanja Bantuan Keuangan,1445200000.0,6417400000.0,444.05,False,False
Bangka Belitung,29,2025,12,Desember,36,Belanja Bantuan Keuangan,1445200000.0,16188122500.0,1.12013,False,False
Bangka Belitung,29,2026,1,Januari,37,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,2,Februari,38,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,3,Maret,39,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,4,April,40,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,5,Mei,41,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,6,Juni,42,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,7,Juli,43,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,8,Agustus,44,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,9,September,45,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,10,Oktober,46,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,11,November,47,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2026,12,Desember,48,Belanja Bantuan Keuangan,1445200000.0,0.0,0.0,True,False
Bangka Belitung,29,2023,1,Januari,1,Belanja Bantuan Sosial,2137430800.0,0.0,0.0,False,False
Bangka Belitung,29,2023,2,Februari,2,Belanja Bantuan Sosial,2137430800.0,0.0,0.0,False,False
