provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Banten,28,2023,1,Januari,1,Belanja Bantuan Keuangan,199280000000.0,0.0,0.0,False,False
Banten,28,2023,2,Februari,2,Belanja Bantuan Keuangan,199280000000.0,0.0,0.0,False,False
Banten,28,2023,3,Maret,3,Belanja Bantuan Keuangan,199280000000.0,0.0,0.0,False,False
Banten,28,2023,4,April,4,Belanja Bantuan Keuangan,199280000000.0,0.0,0.0,False,False
Banten,28,2023,5,Mei,5,Belanja Bantuan Keuangan,199280000000.0,0.0,0.0,False,False
Banten,28,2023,6,Juni,6,Belanja Bantuan Keuangan,199280000000.0,46750000000.0,23.46,False,False
Banten,28,2023,7,Juli,7,Belanja Bantuan Keuangan,199280000000.0,78120000000.0,39.2,False,False
Banten,28,2023,8,Agustus,8,Belanja Bantuan Keuangan,199280000000.0,107410000000.0,53.9,False,False
Banten,28,2023,9,September,9,Belanja Bantuan Keuangan,199280000000.0,112630000000.0,56.52,False,False
Banten,28,2023,10,Oktober,10,Belanja Bantuan Keuangan,199280000000.0,121080000000.0,60.76,False,False
Banten,28,2023,11,November,11,Belanja Bantuan Keuangan,199280000000.0,188700000000.0,94.69,False,False
Banten,28,2023,12,Desember,12,Belanja Bantuan Keuangan,199280000000.0,188354793029.0,94.52,False,False
Banten,28,2024,1,Januari,13,Belanja Bantuan Keuangan,223750000000.0,0.0,0.0,False,False
Banten,28,2024,2,Februari,14,Belanja Bantuan Keuangan,223750000000.0,0.0,0.0,False,False
Banten,28,2024,3,Maret,15,Belanja Bantuan Keuangan,223750000000.0,0.0,0.0,False,False
Banten,28,2024,4,April,16,Belanja Bantuan Keuangan,223750000000.0,0.0,0.0,False,False
Banten,28,2024,5,Mei,17,Belanja Bantuan Keuangan,223750000000.0,0.0,0.0,False,False
Banten,28,2024,6,Juni,18,Belanja Bantuan Keuangan,223750000000.0,14200000000.0,6.35,False,False
Banten,28,2024,7,Juli,19,Belanja Bantuan Keuangan,223750000000.0,100150000000.0,44.76,False,False
Banten,28,2024,8,Agustus,20,Belanja Bantuan Keuangan,223750000000.0,130012500000.0,58.11,False,False
Banten,28,2024,9,September,21,Belanja Bantuan Keuangan,223750000000.0,141537500000.0,63.26,False,False
Banten,28,2024,10,Oktober,22,Belanja Bantuan Keuangan,223750000000.0,148572500000.0,66.4,False,False
Banten,28,2024,11,November,23,Belanja Bantuan Keuangan,223750000000.0,178394580122.0,79.73,False,False
Banten,28,2024,12,Desember,24,Belanja Bantuan Keuangan,223750000000.0,218723928072.2,97.75,False,False
Banten,28,2025,1,Januari,25,Belanja Bantuan Keuangan,150852620000.0,0.0,0.0,False,False
Banten,28,2025,2,Februari,26,Belanja Bantuan Keuangan,150852620000.0,0.0,0.0,False,False
Banten,28,2025,3,Maret,27,Belanja Bantuan Keuangan,150852620000.0,0.0,0.0,False,False
Banten,28,2025,4,April,28,Belanja Bantuan Keuangan,150852620000.0,25257620000.0,16.74,False,False
Banten,28,2025,5,Mei,29,Belanja Bantuan Keuangan,150852620000.0,25257620000.0,16.74,False,False
Banten,28,2025,6,Juni,30,Belanja Bantuan Keuangan,150852620000.0,25257620000.0,16.74,False,False
Banten,28,2025,7,Juli,31,Belanja Bantuan Keuangan,150852620000.0,30757620000.0,20.39,False,False
Banten,28,2025,8,Agustus,32,Belanja Bantuan Keuangan,150852620000.0,48257620000.0,31.99,False,False
Banten,28,2025,9,September,33,Belanja Bantuan Keuangan,150852620000.0,62157620000.0,41.2,False,False
Banten,28,2025,10,Oktober,34,Belanja Bantuan Keuangan,150852620000.0,71257620000.0,47.24,False,False
Banten,28,2025,11,November,35,Belanja Bantuan Keuangan,150852620000.0,105117620000.0,69.68,False,False
Banten,28,2025,12,Desember,36,Belanja Bantuan Keuangan,150852620000.0,153002620000.0,101.43,False,False
Banten,28,2026,1,Januari,37,Belanja Bantuan Keuangan,148560000000.0,0.0,0.0,False,False
Banten,28,2026,2,Februari,38,Belanja Bantuan Keuangan,148560000000.0,0.0,0.0,False,False
Banten,28,2026,3,Maret,39,Belanja Bantuan Keuangan,148560000000.0,0.0,0.0,False,False
Banten,28,2026,4,April,40,Belanja Bantuan Keuangan,148560000000.0,0.0,0.0,False,False
Banten,28,2026,5,Mei,41,Belanja Bantuan Keuangan,148560000000.0,0.0,0.0,False,False
Banten,28,2026,6,Juni,42,Belanja Bantuan Keuangan,148560000000.0,0.0,0.0,False,False
Banten,28,2026,7,Juli,43,Belanja Bantuan Keuangan,148560000000.0,3720000000.0,2.5,False,False
Banten,28,2026,8,Agustus,44,Belanja Bantuan Keuangan,148560000000.0,24600000000.0,16.56,False,False
Banten,28,2026,9,September,45,Belanja Bantuan Keuangan,148560000000.0,36120000000.0,24.31,False,False
Banten,28,2026,10,Oktober,46,Belanja Bantuan Keuangan,148560000000.0,36120000000.0,24.31,False,True
Banten,28,2026,11,November,47,Belanja Bantuan Keuangan,148560000000.0,36120000000.0,24.31,False,True
Banten,28,2026,12,Desember,48,Belanja Bantuan Keuangan,148560000000.0,36120000000.0,24.31,False,True
Banten,28,2023,1,Januari,1,Belanja Bantuan Sosial,30184200000.0,0.0,0.0,False,False
Banten,28,2023,2,Februari,2,Belanja Bantuan Sosial,30184200000.0,0.0,0.0,False,False
Banten,28,2023,3,Maret,3,Belanja Bantuan Sosial,30184200000.0,0.0,0.0,False,False
Banten,28,2023,4,April,4,Belanja Bantuan Sosial,30184200000.0,0.0,0.0,False,False
Banten,28,2023,5,Mei,5,Belanja Bantuan Sosial,30184200000.0,0.0,0.0,False,False
Banten,28,2023,6,Juni,6,Belanja Bantuan Sosial,30184200000.0,0.0,0.0,False,False
Banten,28,2023,7,Juli,7,Belanja Bantuan Sosial,30184200000.0,2341943100.0,7.76,False,False
Banten,28,2023,8,Agustus,8,Belanja Bantuan Sosial,30184200000.0,2537943100.0,8.41,False,False
Banten,28,2023,9,September,9,Belanja Bantuan Sosial,30184200000.0,8237693100.0,27.29,False,False
Banten,28,2023,10,Oktober,10,Belanja Bantuan Sosial,30184200000.0,8498943100.0,28.16,False,False
Banten,28,2023,11,November,11,Belanja Bantuan Sosial,30184200000.0,12651780000.0,41.92,False,False
Banten,28,2023,12,Desember,12,Belanja Bantuan Sosial,30184200000.0,27654160987.0,91.62,False,False
Banten,28,2024,1,Januari,13,Belanja Bantuan Sosial,43301459000.0,934000000.0,2.16,False,False
Banten,28,2024,2,Februari,14,Belanja Bantuan Sosial,43301459000.0,1925000000.0,4.45,False,False
