provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Bengkulu,7,2023,1,Januari,1,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,2,Februari,2,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,3,Maret,3,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,4,April,4,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,5,Mei,5,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,6,Juni,6,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,7,Juli,7,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,8,Agustus,8,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,9,September,9,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,10,Oktober,10,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,11,November,11,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2023,12,Desember,12,Belanja Bantuan Keuangan,0.0,0.0,0.0,True,False
Bengkulu,7,2025,1,Januari,25,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,2,Februari,26,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,3,Maret,27,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,4,April,28,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,5,Mei,29,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,6,Juni,30,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,7,Juli,31,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,8,Agustus,32,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,9,September,33,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,10,Oktober,34,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,11,November,35,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Bengkulu,7,2025,12,Desember,36,Belanja Bantuan Keuangan,0.0,900000000.0,0.0,False,False
Bengkulu,7,2023,1,Januari,1,Belanja Bantuan Sosial,2242500000.0,0.0,0.0,False,False
Bengkulu,7,2023,2,Februari,2,Belanja Bantuan Sosial,2242500000.0,0.0,0.0,False,False
Bengkulu,7,2023,3,Maret,3,Belanja Bantuan Sosial,2242500000.0,0.0,0.0,False,False
Bengkulu,7,2023,4,April,4,Belanja Bantuan Sosial,2242500000.0,300000000.0,13.38,False,False
Bengkulu,7,2023,5,Mei,5,Belanja Bantuan Sosial,2242500000.0,300000000.0,13.38,False,False
Bengkulu,7,2023,6,Juni,6,Belanja Bantuan Sosial,2242500000.0,300000000.0,13.38,False,False
Bengkulu,7,2023,7,Juli,7,Belanja Bantuan Sosial,2242500000.0,300000000.0,13.38,False,False
Bengkulu,7,2023,8,Agustus,8,Belanja Bantuan Sosial,2242500000.0,600000000.0,26.76,False,False
Bengkulu,7,2023,9,September,9,Belanja Bantuan Sosial,2242500000.0,600000000.0,26.76,False,False
Bengkulu,7,2023,10,Oktober,10,Belanja Bantuan Sosial,2242500000.0,600000000.0,26.76,False,False
Bengkulu,7,2023,11,November,11,Belanja Bantuan Sosial,2242500000.0,1924780000.0,85.83,False,False
Bengkulu,7,2023,12,Desember,12,Belanja Bantuan Sosial,2242500000.0,2220580000.0,99.02,False,False
Bengkulu,7,2024,1,Januari,13,Belanja Bantuan Sosial,2997500000.0,0.0,0.0,False,False
Bengkulu,7,2024,2,Februari,14,Belanja Bantuan Sosial,2997500000.0,0.0,0.0,False,False
Bengkulu,7,2024,3,Maret,15,Belanja Bantuan Sosial,2997500000.0,0.0,0.0,False,False
Bengkulu,7,2024,4,April,16,Belanja Bantuan Sosial,2997500000.0,450000000.0,15.01,False,False
Bengkulu,7,2024,5,Mei,17,Belanja Bantuan Sosial,2997500000.0,450000000.0,15.01,False,False
Bengkulu,7,2024,6,Juni,18,Belanja Bantuan Sosial,2997500000.0,450000000.0,15.01,False,False
Bengkulu,7,2024,7,Juli,19,Belanja Bantuan Sosial,2997500000.0,450000000.0,15.01,False,False
Bengkulu,7,2024,8,Agustus,20,Belanja Bantuan Sosial,2997500000.0,730000000.0,24.35,False,False
Bengkulu,7,2024,9,September,21,Belanja Bantuan Sosial,2997500000.0,1705000000.0,56.88,False,False
Bengkulu,7,2024,10,Oktober,22,Belanja Bantuan Sosial,2997500000.0,1705000000.0,56.88,False,False
Bengkulu,7,2024,11,November,23,Belanja Bantuan Sosial,2997500000.0,2155000000.0,71.89,False,False
Bengkulu,7,2024,12,Desember,24,Belanja Bantuan Sosial,2997500000.0,3005000000.0,100.25,False,False
Bengkulu,7,2025,1,Januari,25,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,2,Februari,26,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,3,Maret,27,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,4,April,28,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,5,Mei,29,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,6,Juni,30,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,7,Juli,31,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,8,Agustus,32,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,9,September,33,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,10,Oktober,34,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,11,November,35,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2025,12,Desember,36,Belanja Bantuan Sosial,0.0,0.0,0.0,True,False
Bengkulu,7,2026,1,Januari,37,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,2,Februari,38,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,3,Maret,39,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,4,April,40,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,5,Mei,41,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,6,Juni,42,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,7,Juli,43,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,8,Agustus,44,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,9,September,45,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,10,Oktober,46,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,11,November,47,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2026,12,Desember,48,Belanja Bantuan Sosial,90000000.0,0.0,0.0,True,False
Bengkulu,7,2023,1,Januari,1,Belanja Barang dan Jasa,795734649196.0,4141358844.0,0.52,False,False
Bengkulu,7,2023,2,Februari,2,Belanja Barang dan Jasa,795734649196.0,29923912778.85,3.76,False,False
Bengkulu,7,2023,3,Maret,3,Belanja Barang dan Jasa,795734649196.0,85524545125.8,10.75,False,False
Bengkulu,7,2023,4,April,4,Belanja Barang dan Jasa,795734649196.0,135825495979.14,17.07,False,False
Bengkulu,7,2023,5,Mei,5,Belanja Barang dan Jasa,795734649196.0,135825495979.14,17.07,False,False
Bengkulu,7,2023,6,Juni,6,Belanja Barang dan Jasa,795734649196.0,195818807087.02,24.61,False,False
Bengkulu,7,2023,7,Juli,7,Belanja Barang dan Jasa,795734649196.0,267434832285.28,33.61,False,False
Bengkulu,7,2023,8,Agustus,8,Belanja Barang dan Jasa,795734649196.0,336200429059.64,42.25,False,False
Bengkulu,7,2023,9,September,9,Belanja Barang dan Jasa,795734649196.0,398399792422.49,50.07,False,False
Bengkulu,7,2023,10,Oktober,10,Belanja Barang dan Jasa,795734649196.0,453800794416.51,57.03,False,False
Bengkulu,7,2023,11,November,11,Belanja Barang dan Jasa,795734649196.0,586026541864.92,73.65,False,False
Bengkulu,7,2023,12,Desember,12,Belanja Barang dan Jasa,795734649196.0,844808409133.77,106.17,False,False
Bengkulu,7,2024,1,Januari,13,Belanja Barang dan Jasa,984457921726.0,4300263256.0,0.44,False,False
Bengkulu,7,2024,2,Februari,14,Belanja Barang dan Jasa,984457921726.0,28759389810.0,2.92,False,False
Bengkulu,7,2024,3,Maret,15,Belanja Barang dan Jasa,984457921726.0,91309238517.0,9.28,False,False
Bengkulu,7,2024,4,April,16,Belanja Barang dan Jasa,984457921726.0,207640935683.36,21.09,False,False
Bengkulu,7,2024,5,Mei,17,Belanja Barang dan Jasa,984457921726.0,260059104648.36,26.42,False,False
Bengkulu,7,2024,6,Juni,18,Belanja Barang dan Jasa,984457921726.0,286698213021.0,29.12,False,False
Bengkulu,7,2024,7,Juli,19,Belanja Barang dan Jasa,984457921726.0,433626816390.8,44.05,False,False
Bengkulu,7,2024,8,Agustus,20,Belanja Barang dan Jasa,984457921726.0,491236975416.8,49.9,False,False
Bengkulu,7,2024,9,September,21,Belanja Barang dan Jasa,984457921726.0,583599869382.8,59.28,False,False
Bengkulu,7,2024,10,Oktober,22,Belanja Barang dan Jasa,984457921726.0,665407096449.57,67.59,False,False
Bengkulu,7,2024,11,November,23,Belanja Barang dan Jasa,984457921726.0,746391253560.31,75.82,False,False
Bengkulu,7,2024,12,Desember,24,Belanja Barang dan Jasa,984457921726.0,961649037240.41,97.68,False,False
Bengkulu,7,2025,1,Januari,25,Belanja Barang dan Jasa,684475283261.0,0.0,0.0,False,False
Bengkulu,7,2025,2,Februari,26,Belanja Barang dan Jasa,684475283261.0,6501759526.0,0.95,False,False
Bengkulu,7,2025,3,Maret,27,Belanja Barang dan Jasa,684475283261.0,52403602442.0,7.66,False,False
Bengkulu,7,2025,4,April,28,Belanja Barang dan Jasa,684475283261.0,86316608788.0,12.61,False,False
Bengkulu,7,2025,5,Mei,29,Belanja Barang dan Jasa,684475283261.0,108236553058.0,15.81,False,False
Bengkulu,7,2025,6,Juni,30,Belanja Barang dan Jasa,684475283261.0,173780963572.81,25.39,False,False
Bengkulu,7,2025,7,Juli,31,Belanja Barang dan Jasa,684475283261.0,258494386290.9,37.77,False,False
Bengkulu,7,2025,8,Agustus,32,Belanja Barang dan Jasa,684475283261.0,376631196741.9,55.02,False,False
Bengkulu,7,2025,9,September,33,Belanja Barang dan Jasa,684475283261.0,467885068248.41,68.36,False,False
Bengkulu,7,2025,10,Oktober,34,Belanja Barang dan Jasa,684475283261.0,496254684026.41,72.5,False,False
Bengkulu,7,2025,11,November,35,Belanja Barang dan Jasa,684475283261.0,541509005612.09,79.11,False,False
Bengkulu,7,2025,12,Desember,36,Belanja Barang dan Jasa,684475283261.0,765445141577.34,111.83,False,False
Bengkulu,7,2026,1,Januari,37,Belanja Barang dan Jasa,744445505380.0,2169653476.0,0.29,False,False
Bengkulu,7,2026,2,Februari,38,Belanja Barang dan Jasa,744445505380.0,12780086603.0,1.72,False,False
Bengkulu,7,2026,3,Maret,39,Belanja Barang dan Jasa,744445505380.0,71895105862.98,9.66,False,False
Bengkulu,7,2026,4,April,40,Belanja Barang dan Jasa,744445505380.0,99179629052.98,13.32,False,False
