provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
DI Yogyakarta,12,2023,1,Januari,1,Belanja Bantuan Keuangan,598264961740.0,0.0,0.0,False,False
DI Yogyakarta,12,2023,2,Februari,2,Belanja Bantuan Keuangan,598264961740.0,59855645256.0,10.0,False,False
DI Yogyakarta,12,2023,3,Maret,3,Belanja Bantuan Keuangan,598264961740.0,126112912454.0,21.08,False,False
DI Yogyakarta,12,2023,4,April,4,Belanja Bantuan Keuangan,598264961740.0,145698276160.0,24.35,False,False
DI Yogyakarta,12,2023,5,Mei,5,Belanja Bantuan Keuangan,598264961740.0,145698276160.0,24.35,False,False
DI Yogyakarta,12,2023,6,Juni,6,Belanja Bantuan Keuangan,598264961740.0,338568976732.0,56.59,False,False
DI Yogyakarta,12,2023,7,Juli,7,Belanja Bantuan Keuangan,598264961740.0,348590537132.0,58.27,False,False
DI Yogyakarta,12,2023,8,Agustus,8,Belanja Bantuan Keuangan,598264961740.0,381715907810.0,63.8,False,False
DI Yogyakarta,12,2023,9,September,9,Belanja Bantuan Keuangan,598264961740.0,426852948886.0,71.35,False,False
DI Yogyakarta,12,2023,10,Oktober,10,Belanja Bantuan Keuangan,598264961740.0,428697225584.5,71.66,False,False
DI Yogyakarta,12,2023,11,November,11,Belanja Bantuan Keuangan,598264961740.0,551432347090.5,92.17,False,False
DI Yogyakarta,12,2023,12,Desember,12,Belanja Bantuan Keuangan,598264961740.0,546251955845.21,91.31,False,False
DI Yogyakarta,12,2024,1,Januari,13,Belanja Bantuan Keuangan,593807820502.0,0.0,0.0,False,False
DI Yogyakarta,12,2024,2,Februari,14,Belanja Bantuan Keuangan,593807820502.0,0.0,0.0,False,False
DI Yogyakarta,12,2024,3,Maret,15,Belanja Bantuan Keuangan,593807820502.0,69225932816.0,11.66,False,False
DI Yogyakarta,12,2024,4,April,16,Belanja Bantuan Keuangan,593807820502.0,76812978815.0,12.94,False,False
DI Yogyakarta,12,2024,5,Mei,17,Belanja Bantuan Keuangan,593807820502.0,168169668046.0,28.32,False,False
DI Yogyakarta,12,2024,6,Juni,18,Belanja Bantuan Keuangan,593807820502.0,380313546888.0,64.05,False,False
DI Yogyakarta,12,2024,7,Juli,19,Belanja Bantuan Keuangan,593807820502.0,414756692255.0,69.85,False,False
DI Yogyakarta,12,2024,8,Agustus,20,Belanja Bantuan Keuangan,593807820502.0,431584380530.0,72.68,False,False
DI Yogyakarta,12,2024,9,September,21,Belanja Bantuan Keuangan,593807820502.0,468628027043.0,78.92,False,False
DI Yogyakarta,12,2024,10,Oktober,22,Belanja Bantuan Keuangan,593807820502.0,473861907200.46,79.8,False,False
DI Yogyakarta,12,2024,11,November,23,Belanja Bantuan Keuangan,593807820502.0,568990431026.46,95.82,False,False
DI Yogyakarta,12,2024,12,Desember,24,Belanja Bantuan Keuangan,593807820502.0,561053968452.82,94.48,False,False
DI Yogyakarta,12,2025,1,Januari,25,Belanja Bantuan Keuangan,442558055970.0,100056348.0,0.02,False,False
DI Yogyakarta,12,2025,2,Februari,26,Belanja Bantuan Keuangan,442558055970.0,200056348.0,0.05,False,False
DI Yogyakarta,12,2025,3,Maret,27,Belanja Bantuan Keuangan,442558055970.0,38135368212.0,8.62,False,False
DI Yogyakarta,12,2025,4,April,28,Belanja Bantuan Keuangan,442558055970.0,57948099912.0,13.09,False,False
DI Yogyakarta,12,2025,5,Mei,29,Belanja Bantuan Keuangan,442558055970.0,101429147011.0,22.92,False,False
DI Yogyakarta,12,2025,6,Juni,30,Belanja Bantuan Keuangan,442558055970.0,118148212588.0,26.7,False,False
DI Yogyakarta,12,2025,7,Juli,31,Belanja Bantuan Keuangan,442558055970.0,245415588470.0,55.45,False,False
DI Yogyakarta,12,2025,8,Agustus,32,Belanja Bantuan Keuangan,442558055970.0,259871595160.75,58.72,False,False
DI Yogyakarta,12,2025,9,September,33,Belanja Bantuan Keuangan,442558055970.0,283281520840.64,64.01,False,False
DI Yogyakarta,12,2025,10,Oktober,34,Belanja Bantuan Keuangan,442558055970.0,283969618026.64,64.17,False,False
DI Yogyakarta,12,2025,11,November,35,Belanja Bantuan Keuangan,442558055970.0,320742199456.35,72.47,False,False
DI Yogyakarta,12,2025,12,Desember,36,Belanja Bantuan Keuangan,442558055970.0,322491800904.34,72.87,False,False
DI Yogyakarta,12,2026,1,Januari,37,Belanja Bantuan Keuangan,610007207069.0,67945847.0,0.01,False,False
DI Yogyakarta,12,2026,2,Februari,38,Belanja Bantuan Keuangan,610007207069.0,329114894.0,0.05,False,False
DI Yogyakarta,12,2026,3,Maret,39,Belanja Bantuan Keuangan,610007207069.0,72587179903.0,11.9,False,False
DI Yogyakarta,12,2026,4,April,40,Belanja Bantuan Keuangan,610007207069.0,110146146821.0,18.06,False,False
DI Yogyakarta,12,2026,5,Mei,41,Belanja Bantuan Keuangan,610007207069.0,150049681983.0,24.6,False,False
DI Yogyakarta,12,2026,6,Juni,42,Belanja Bantuan Keuangan,610007207069.0,179429499505.0,29.41,False,False
DI Yogyakarta,12,2026,7,Juli,43,Belanja Bantuan Keuangan,610007207069.0,288551461761.0,47.3,False,False
DI Yogyakarta,12,2026,8,Agustus,44,Belanja Bantuan Keuangan,610007207069.0,299407218682.0,49.08,False,False
DI Yogyakarta,12,2026,9,September,45,Belanja Bantuan Keuangan,610007207069.0,299407218682.0,49.08,False,True
DI Yogyakarta,12,2026,10,Oktober,46,Belanja Bantuan Keuangan,610007207069.0,299407218682.0,49.08,False,True
DI Yogyakarta,12,2026,11,November,47,Belanja Bantuan Keuangan,610007207069.0,299407218682.0,49.08,False,True
DI Yogyakarta,12,2026,12,Desember,48,Belanja Bantuan Keuangan,610007207069.0,299407218682.0,49.08,False,True
DI Yogyakarta,12,2023,1,Januari,1,Belanja Bantuan Sosial,25840175000.0,0.0,0.0,False,False
DI Yogyakarta,12,2023,2,Februari,2,Belanja Bantuan Sosial,25840175000.0,359858000.0,1.39,False,False
DI Yogyakarta,12,2023,3,Maret,3,Belanja Bantuan Sosial,25840175000.0,770390265.0,2.98,False,False
DI Yogyakarta,12,2023,4,April,4,Belanja Bantuan Sosial,25840175000.0,3540604851.0,13.7,False,False
DI Yogyakarta,12,2023,5,Mei,5,Belanja Bantuan Sosial,25840175000.0,3540604851.0,13.7,False,False
DI Yogyakarta,12,2023,6,Juni,6,Belanja Bantuan Sosial,25840175000.0,4375150804.0,16.93,False,False
DI Yogyakarta,12,2023,7,Juli,7,Belanja Bantuan Sosial,25840175000.0,12214029253.0,47.27,False,False
DI Yogyakarta,12,2023,8,Agustus,8,Belanja Bantuan Sosial,25840175000.0,13395494336.0,51.84,False,False
DI Yogyakarta,12,2023,9,September,9,Belanja Bantuan Sosial,25840175000.0,14703776394.0,56.9,False,False
DI Yogyakarta,12,2023,10,Oktober,10,Belanja Bantuan Sosial,25840175000.0,14705540629.0,56.91,False,False
DI Yogyakarta,12,2023,11,November,11,Belanja Bantuan Sosial,25840175000.0,20504540255.0,79.35,False,False
DI Yogyakarta,12,2023,12,Desember,12,Belanja Bantuan Sosial,25840175000.0,25029300916.0,96.86,False,False
DI Yogyakarta,12,2024,1,Januari,13,Belanja Bantuan Sosial,55901422500.0,2070300000.0,3.7,False,False
DI Yogyakarta,12,2024,2,Februari,14,Belanja Bantuan Sosial,55901422500.0,4354136141.0,7.79,False,False
DI Yogyakarta,12,2024,3,Maret,15,Belanja Bantuan Sosial,55901422500.0,6891593809.0,12.33,False,False
DI Yogyakarta,12,2024,4,April,16,Belanja Bantuan Sosial,55901422500.0,9297017749.0,16.63,False,False
DI Yogyakarta,12,2024,5,Mei,17,Belanja Bantuan Sosial,55901422500.0,12088410524.0,21.62,False,False
DI Yogyakarta,12,2024,6,Juni,18,Belanja Bantuan Sosial,55901422500.0,18013133930.0,32.22,False,False
DI Yogyakarta,12,2024,7,Juli,19,Belanja Bantuan Sosial,55901422500.0,23044054130.0,41.22,False,False
DI Yogyakarta,12,2024,8,Agustus,20,Belanja Bantuan Sosial,55901422500.0,32332141240.0,57.84,False,False
DI Yogyakarta,12,2024,9,September,21,Belanja Bantuan Sosial,55901422500.0,35742545447.0,63.94,False,False
DI Yogyakarta,12,2024,10,Oktober,22,Belanja Bantuan Sosial,55901422500.0,38915389847.0,69.61,False,False
DI Yogyakarta,12,2024,11,November,23,Belanja Bantuan Sosial,55901422500.0,44611404453.0,79.8,False,False
DI Yogyakarta,12,2024,12,Desember,24,Belanja Bantuan Sosial,55901422500.0,53305675334.0,95.36,False,False
