provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Jambi,5,2023,1,Januari,1,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,2,Februari,2,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,3,Maret,3,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,4,April,4,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,5,Mei,5,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,6,Juni,6,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,7,Juli,7,Belanja Bantuan Keuangan,210012695313.0,0.0,0.0,False,False
Jambi,5,2023,8,Agustus,8,Belanja Bantuan Keuangan,210012695313.0,2982897000.0,1.42,False,False
Jambi,5,2023,9,September,9,Belanja Bantuan Keuangan,210012695313.0,45282990000.0,21.56,False,False
Jambi,5,2023,10,Oktober,10,Belanja Bantuan Keuangan,210012695313.0,60642990000.0,28.88,False,False
Jambi,5,2023,11,November,11,Belanja Bantuan Keuangan,210012695313.0,153282990000.0,72.99,False,False
Jambi,5,2023,12,Desember,12,Belanja Bantuan Keuangan,210012695313.0,172102990000.0,81.95,False,False
Jambi,5,2024,1,Januari,13,Belanja Bantuan Keuangan,168200000000.0,0.0,0.0,False,False
Jambi,5,2024,2,Februari,14,Belanja Bantuan Keuangan,168200000000.0,0.0,0.0,False,False
Jambi,5,2024,3,Maret,15,Belanja Bantuan Keuangan,168200000000.0,0.0,0.0,False,False
Jambi,5,2024,4,April,16,Belanja Bantuan Keuangan,168200000000.0,0.0,0.0,False,False
Jambi,5,2024,5,Mei,17,Belanja Bantuan Keuangan,168200000000.0,32615772000.0,19.39,False,False
Jambi,5,2024,6,Juni,18,Belanja Bantuan Keuangan,168200000000.0,39875772000.0,23.71,False,False
Jambi,5,2024,7,Juli,19,Belanja Bantuan Keuangan,168200000000.0,42335772000.0,25.17,False,False
Jambi,5,2024,8,Agustus,20,Belanja Bantuan Keuangan,168200000000.0,42335772000.0,25.17,False,False
Jambi,5,2024,9,September,21,Belanja Bantuan Keuangan,168200000000.0,42335772000.0,25.17,False,False
Jambi,5,2024,10,Oktober,22,Belanja Bantuan Keuangan,168200000000.0,42335772000.0,25.17,False,False
Jambi,5,2024,11,November,23,Belanja Bantuan Keuangan,168200000000.0,54665772000.0,32.5,False,False
Jambi,5,2024,12,Desember,24,Belanja Bantuan Keuangan,168200000000.0,54660000000.0,32.5,False,False
Jambi,5,2025,1,Januari,25,Belanja Bantuan Keuangan,186351600000.0,0.0,0.0,False,False
Jambi,5,2025,2,Februari,26,Belanja Bantuan Keuangan,186351600000.0,0.0,0.0,False,False
Jambi,5,2025,3,Maret,27,Belanja Bantuan Keuangan,186351600000.0,42510000000.0,22.81,False,False
Jambi,5,2025,4,April,28,Belanja Bantuan Keuangan,186351600000.0,42510000000.0,22.81,False,False
Jambi,5,2025,5,Mei,29,Belanja Bantuan Keuangan,186351600000.0,43350000000.0,23.26,False,False
Jambi,5,2025,6,Juni,30,Belanja Bantuan Keuangan,186351600000.0,43710000000.0,23.46,False,False
Jambi,5,2025,7,Juli,31,Belanja Bantuan Keuangan,186351600000.0,165400000000.0,88.76,False,False
Jambi,5,2025,8,Agustus,32,Belanja Bantuan Keuangan,186351600000.0,165400000000.0,88.76,False,False
Jambi,5,2025,9,September,33,Belanja Bantuan Keuangan,186351600000.0,165430000000.0,88.77,False,False
Jambi,5,2025,10,Oktober,34,Belanja Bantuan Keuangan,186351600000.0,165430000000.0,88.77,False,False
Jambi,5,2025,11,November,35,Belanja Bantuan Keuangan,186351600000.0,165430000000.0,88.77,False,False
Jambi,5,2025,12,Desember,36,Belanja Bantuan Keuangan,186351600000.0,222010000000.0,119.14,False,False
Jambi,5,2026,1,Januari,37,Belanja Bantuan Keuangan,104477000000.0,0.0,0.0,False,False
Jambi,5,2026,2,Februari,38,Belanja Bantuan Keuangan,104477000000.0,0.0,0.0,False,False
Jambi,5,2026,3,Maret,39,Belanja Bantuan Keuangan,104477000000.0,0.0,0.0,False,False
Jambi,5,2026,4,April,40,Belanja Bantuan Keuangan,104477000000.0,0.0,0.0,False,False
Jambi,5,2026,5,Mei,41,Belanja Bantuan Keuangan,104477000000.0,42520000000.0,40.7,False,False
Jambi,5,2026,6,Juni,42,Belanja Bantuan Keuangan,104477000000.0,42520000000.0,40.7,False,False
Jambi,5,2026,7,Juli,43,Belanja Bantuan Keuangan,104477000000.0,56360000000.0,53.94,False,False
Jambi,5,2026,8,Agustus,44,Belanja Bantuan Keuangan,104477000000.0,56360000000.0,53.94,False,True
Jambi,5,2026,9,September,45,Belanja Bantuan Keuangan,104477000000.0,56360000000.0,53.94,False,True
Jambi,5,2026,10,Oktober,46,Belanja Bantuan Keuangan,104477000000.0,56360000000.0,53.94,False,True
Jambi,5,2026,11,November,47,Belanja Bantuan Keuangan,104477000000.0,56360000000.0,53.94,False,True
Jambi,5,2026,12,Desember,48,Belanja Bantuan Keuangan,104477000000.0,56360000000.0,53.94,False,True
Jambi,5,2023,1,Januari,1,Belanja Bantuan Sosial,5792098800.0,0.0,0.0,False,False
Jambi,5,2023,2,Februari,2,Belanja Bantuan Sosial,5792098800.0,45000000.0,0.78,False,False
Jambi,5,2023,3,Maret,3,Belanja Bantuan Sosial,5792098800.0,45000000.0,0.78,False,False
Jambi,5,2023,4,April,4,Belanja Bantuan Sosial,5792098800.0,45000000.0,0.78,False,False
Jambi,5,2023,5,Mei,5,Belanja Bantuan Sosial,5792098800.0,45000000.0,0.78,False,False
Jambi,5,2023,6,Juni,6,Belanja Bantuan Sosial,5792098800.0,45000000.0,0.78,False,False
