provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Jawa Barat,10,2023,1,Januari,1,Belanja Bantuan Keuangan,3712869013297.0,0.0,0.0,False,False
Jawa Barat,10,2023,2,Februari,2,Belanja Bantuan Keuangan,3712869013297.0,0.0,0.0,False,False
Jawa Barat,10,2023,3,Maret,3,Belanja Bantuan Keuangan,3712869013297.0,65742809461.0,1.77,False,False
Jawa Barat,10,2023,4,April,4,Belanja Bantuan Keuangan,3712869013297.0,655651771855.0,17.66,False,False
Jawa Barat,10,2023,5,Mei,5,Belanja Bantuan Keuangan,3712869013297.0,655651771855.0,17.66,False,False
Jawa Barat,10,2023,6,Juni,6,Belanja Bantuan Keuangan,3712869013297.0,1096472924515.0,29.53,False,False
Jawa Barat,10,2023,7,Juli,7,Belanja Bantuan Keuangan,3712869013297.0,1389096312176.0,37.41,False,False
Jawa Barat,10,2023,8,Agustus,8,Belanja Bantuan Keuangan,3712869013297.0,1875010701346.0,50.5,False,False
Jawa Barat,10,2023,9,September,9,Belanja Bantuan Keuangan,3712869013297.0,2308284477979.0,62.17,False,False
Jawa Barat,10,2023,10,Oktober,10,Belanja Bantuan Keuangan,3712869013297.0,2696856399737.0,72.64,False,False
Jawa Barat,10,2023,11,November,11,Belanja Bantuan Keuangan,3712869013297.0,2903743697243.0,78.21,False,False
Jawa Barat,10,2023,12,Desember,12,Belanja Bantuan Keuangan,3712869013297.0,3999478530815.0,107.72,False,False
Jawa Barat,10,2024,1,Januari,13,Belanja Bantuan Keuangan,3558106863068.0,0.0,0.0,False,False
Jawa Barat,10,2024,2,Februari,14,Belanja Bantuan Keuangan,3558106863068.0,0.0,0.0,False,False
Jawa Barat,10,2024,3,Maret,15,Belanja Bantuan Keuangan,3558106863068.0,0.0,0.0,False,False
Jawa Barat,10,2024,4,April,16,Belanja Bantuan Keuangan,3558106863068.0,107355350000.0,3.02,False,False
Jawa Barat,10,2024,5,Mei,17,Belanja Bantuan Keuangan,3558106863068.0,232027980600.0,6.52,False,False
Jawa Barat,10,2024,6,Juni,18,Belanja Bantuan Keuangan,3558106863068.0,769303896813.0,21.62,False,False
Jawa Barat,10,2024,7,Juli,19,Belanja Bantuan Keuangan,3558106863068.0,1194121050716.0,33.56,False,False
Jawa Barat,10,2024,8,Agustus,20,Belanja Bantuan Keuangan,3558106863068.0,1868458386590.0,52.51,False,False
Jawa Barat,10,2024,9,September,21,Belanja Bantuan Keuangan,3558106863068.0,2242270680292.0,63.02,False,False
Jawa Barat,10,2024,10,Oktober,22,Belanja Bantuan Keuangan,3558106863068.0,2583614488918.0,72.61,False,False
Jawa Barat,10,2024,11,November,23,Belanja Bantuan Keuangan,3558106863068.0,2868297444914.0,80.61,False,False
Jawa Barat,10,2024,12,Desember,24,Belanja Bantuan Keuangan,3558106863068.0,3455017323709.0,97.1,False,False
Jawa Barat,10,2025,1,Januari,25,Belanja Bantuan Keuangan,2540464161181.0,0.0,0.0,False,False
Jawa Barat,10,2025,2,Februari,26,Belanja Bantuan Keuangan,2540464161181.0,0.0,0.0,False,False
Jawa Barat,10,2025,3,Maret,27,Belanja Bantuan Keuangan,2540464161181.0,40164654400.0,1.58,False,False
Jawa Barat,10,2025,4,April,28,Belanja Bantuan Keuangan,2540464161181.0,40164654400.0,1.58,False,False
Jawa Barat,10,2025,5,Mei,29,Belanja Bantuan Keuangan,2540464161181.0,173961950200.0,6.85,False,False
Jawa Barat,10,2025,6,Juni,30,Belanja Bantuan Keuangan,2540464161181.0,261266111200.0,10.28,False,False
Jawa Barat,10,2025,7,Juli,31,Belanja Bantuan Keuangan,2540464161181.0,368370650640.0,14.5,False,False
Jawa Barat,10,2025,8,Agustus,32,Belanja Bantuan Keuangan,2540464161181.0,382933870440.0,15.07,False,False
Jawa Barat,10,2025,9,September,33,Belanja Bantuan Keuangan,2540464161181.0,421716374840.0,16.6,False,False
Jawa Barat,10,2025,10,Oktober,34,Belanja Bantuan Keuangan,2540464161181.0,784882956540.0,30.9,False,False
Jawa Barat,10,2025,11,November,35,Belanja Bantuan Keuangan,2540464161181.0,1199409419882.0,47.21,False,False
Jawa Barat,10,2025,12,Desember,36,Belanja Bantuan Keuangan,2540464161181.0,1301254264627.0,51.22,False,False
Jawa Barat,10,2026,1,Januari,37,Belanja Bantuan Keuangan,446019960005.0,0.0,0.0,False,False
Jawa Barat,10,2026,2,Februari,38,Belanja Bantuan Keuangan,446019960005.0,0.0,0.0,False,False
Jawa Barat,10,2026,3,Maret,39,Belanja Bantuan Keuangan,446019960005.0,9977967879.0,2.24,False,False
Jawa Barat,10,2026,4,April,40,Belanja Bantuan Keuangan,446019960005.0,10047867879.0,2.25,False,False
Jawa Barat,10,2026,5,Mei,41,Belanja Bantuan Keuangan,446019960005.0,78439250756.0,17.59,False,False
Jawa Barat,10,2026,6,Juni,42,Belanja Bantuan Keuangan,446019960005.0,97508731406.0,21.86,False,False
Jawa Barat,10,2026,7,Juli,43,Belanja Bantuan Keuangan,446019960005.0,135361617006.0,30.35,False,False
Jawa Barat,10,2026,8,Agustus,44,Belanja Bantuan Keuangan,446019960005.0,187294391406.0,41.99,False,False
Jawa Barat,10,2026,9,September,45,Belanja Bantuan Keuangan,446019960005.0,187294391406.0,41.99,False,True
Jawa Barat,10,2026,10,Oktober,46,Belanja Bantuan Keuangan,446019960005.0,187294391406.0,41.99,False,True
Jawa Barat,10,2026,11,November,47,Belanja Bantuan Keuangan,446019960005.0,187294391406.0,41.99,False,True
Jawa Barat,10,2026,12,Desember,48,Belanja Bantuan Keuangan,446019960005.0,187294391406.0,41.99,False,True
