provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Jawa Tengah,11,2023,1,Januari,1,Belanja Bantuan Keuangan,2843698750000.0,0.0,0.0,False,False
Jawa Tengah,11,2023,2,Februari,2,Belanja Bantuan Keuangan,2843698750000.0,0.0,0.0,False,False
Jawa Tengah,11,2023,3,Maret,3,Belanja Bantuan Keuangan,2843698750000.0,75702000000.0,2.66,False,False
Jawa Tengah,11,2023,4,April,4,Belanja Bantuan Keuangan,2843698750000.0,166517000000.0,5.86,False,False
Jawa Tengah,11,2023,5,Mei,5,Belanja Bantuan Keuangan,2843698750000.0,166517000000.0,5.86,False,False
Jawa Tengah,11,2023,6,Juni,6,Belanja Bantuan Keuangan,2843698750000.0,341056333900.0,11.99,False,False
Jawa Tengah,11,2023,7,Juli,7,Belanja Bantuan Keuangan,2843698750000.0,576031524615.0,20.26,False,False
Jawa Tengah,11,2023,8,Agustus,8,Belanja Bantuan Keuangan,2843698750000.0,1008627167010.0,35.47,False,False
Jawa Tengah,11,2023,9,September,9,Belanja Bantuan Keuangan,2843698750000.0,1532579313924.0,53.89,False,False
Jawa Tengah,11,2023,10,Oktober,10,Belanja Bantuan Keuangan,2843698750000.0,1842798729061.0,64.8,False,False
Jawa Tengah,11,2023,11,November,11,Belanja Bantuan Keuangan,2843698750000.0,2007350148418.0,70.59,False,False
Jawa Tengah,11,2023,12,Desember,12,Belanja Bantuan Keuangan,2843698750000.0,2622573284753.0,92.22,False,False
Jawa Tengah,11,2024,1,Januari,13,Belanja Bantuan Keuangan,3081621209000.0,0.0,0.0,False,False
Jawa Tengah,11,2024,2,Februari,14,Belanja Bantuan Keuangan,3081621209000.0,31210000000.0,1.01,False,False
Jawa Tengah,11,2024,3,Maret,15,Belanja Bantuan Keuangan,3081621209000.0,64171664400.0,2.08,False,False
Jawa Tengah,11,2024,4,April,16,Belanja Bantuan Keuangan,3081621209000.0,112314688100.0,3.64,False,False
Jawa Tengah,11,2024,5,Mei,17,Belanja Bantuan Keuangan,3081621209000.0,337068625300.0,10.94,False,False
Jawa Tengah,11,2024,6,Juni,18,Belanja Bantuan Keuangan,3081621209000.0,650306709568.0,21.1,False,False
Jawa Tengah,11,2024,7,Juli,19,Belanja Bantuan Keuangan,3081621209000.0,1159078838666.0,37.61,False,False
Jawa Tengah,11,2024,8,Agustus,20,Belanja Bantuan Keuangan,3081621209000.0,1506636447867.0,48.89,False,False
Jawa Tengah,11,2024,9,September,21,Belanja Bantuan Keuangan,3081621209000.0,1780431680561.0,57.78,False,False
