provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Jawa Timur,13,2023,1,Januari,1,Belanja Bantuan Keuangan,543138675500.0,0.0,0.0,False,False
Jawa Timur,13,2023,2,Februari,2,Belanja Bantuan Keuangan,543138675500.0,0.0,0.0,False,False
Jawa Timur,13,2023,3,Maret,3,Belanja Bantuan Keuangan,543138675500.0,74916510915.0,13.79,False,False
Jawa Timur,13,2023,4,April,4,Belanja Bantuan Keuangan,543138675500.0,136891220241.0,25.2,False,False
Jawa Timur,13,2023,5,Mei,5,Belanja Bantuan Keuangan,543138675500.0,136891220241.0,25.2,False,False
Jawa Timur,13,2023,6,Juni,6,Belanja Bantuan Keuangan,543138675500.0,213037268753.0,39.22,False,False
Jawa Timur,13,2023,7,Juli,7,Belanja Bantuan Keuangan,543138675500.0,294795481453.0,54.28,False,False
Jawa Timur,13,2023,8,Agustus,8,Belanja Bantuan Keuangan,543138675500.0,343099666453.0,63.17,False,False
Jawa Timur,13,2023,9,September,9,Belanja Bantuan Keuangan,543138675500.0,343099666453.0,63.17,False,False
Jawa Timur,13,2023,10,Oktober,10,Belanja Bantuan Keuangan,543138675500.0,391256586453.0,72.04,False,False
Jawa Timur,13,2023,11,November,11,Belanja Bantuan Keuangan,543138675500.0,413452586453.0,76.12,False,False
Jawa Timur,13,2023,12,Desember,12,Belanja Bantuan Keuangan,543138675500.0,425678527256.0,78.37,False,False
Jawa Timur,13,2024,1,Januari,13,Belanja Bantuan Keuangan,930313223289.0,0.0,0.0,False,False
Jawa Timur,13,2024,2,Februari,14,Belanja Bantuan Keuangan,930313223289.0,0.0,0.0,False,False
Jawa Timur,13,2024,3,Maret,15,Belanja Bantuan Keuangan,930313223289.0,15506202500.0,1.67,False,False
Jawa Timur,13,2024,4,April,16,Belanja Bantuan Keuangan,930313223289.0,33678884821.0,3.62,False,False
