provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Kalimantan Barat,14,2023,1,Januari,1,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,2,Februari,2,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,3,Maret,3,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,4,April,4,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,5,Mei,5,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,6,Juni,6,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,7,Juli,7,Belanja Bantuan Keuangan,61605000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,8,Agustus,8,Belanja Bantuan Keuangan,61605000000.0,14940648150.0,24.25,False,False
Kalimantan Barat,14,2023,9,September,9,Belanja Bantuan Keuangan,61605000000.0,19865815050.0,32.25,False,False
Kalimantan Barat,14,2023,10,Oktober,10,Belanja Bantuan Keuangan,61605000000.0,25462685050.0,41.33,False,False
Kalimantan Barat,14,2023,11,November,11,Belanja Bantuan Keuangan,61605000000.0,42267941040.0,68.61,False,False
Kalimantan Barat,14,2023,12,Desember,12,Belanja Bantuan Keuangan,61605000000.0,102213660354.86,165.92,False,False
Kalimantan Barat,14,2024,1,Januari,13,Belanja Bantuan Keuangan,75470000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2024,2,Februari,14,Belanja Bantuan Keuangan,75470000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2024,3,Maret,15,Belanja Bantuan Keuangan,75470000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2024,4,April,16,Belanja Bantuan Keuangan,75470000000.0,45000000000.0,59.63,False,False
Kalimantan Barat,14,2024,5,Mei,17,Belanja Bantuan Keuangan,75470000000.0,45000000000.0,59.63,False,False
Kalimantan Barat,14,2024,6,Juni,18,Belanja Bantuan Keuangan,75470000000.0,45000000000.0,59.63,False,False
Kalimantan Barat,14,2024,7,Juli,19,Belanja Bantuan Keuangan,75470000000.0,45000000000.0,59.63,False,False
Kalimantan Barat,14,2024,8,Agustus,20,Belanja Bantuan Keuangan,75470000000.0,47975923000.0,63.57,False,False
Kalimantan Barat,14,2024,9,September,21,Belanja Bantuan Keuangan,75470000000.0,50621652000.0,67.08,False,False
Kalimantan Barat,14,2024,10,Oktober,22,Belanja Bantuan Keuangan,75470000000.0,62993926275.0,83.47,False,False
Kalimantan Barat,14,2024,11,November,23,Belanja Bantuan Keuangan,75470000000.0,64288057896.0,85.18,False,False
Kalimantan Barat,14,2024,12,Desember,24,Belanja Bantuan Keuangan,75470000000.0,72453059180.0,96.0,False,False
Kalimantan Barat,14,2025,1,Januari,25,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,2,Februari,26,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,3,Maret,27,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,4,April,28,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,5,Mei,29,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,6,Juni,30,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,7,Juli,31,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,8,Agustus,32,Belanja Bantuan Keuangan,42225000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2025,9,September,33,Belanja Bantuan Keuangan,42225000000.0,4599338500.0,10.89,False,False
Kalimantan Barat,14,2025,10,Oktober,34,Belanja Bantuan Keuangan,42225000000.0,12393401500.0,29.35,False,False
Kalimantan Barat,14,2025,11,November,35,Belanja Bantuan Keuangan,42225000000.0,13231289500.0,31.34,False,False
Kalimantan Barat,14,2025,12,Desember,36,Belanja Bantuan Keuangan,42225000000.0,37449114634.0,88.69,False,False
Kalimantan Barat,14,2026,1,Januari,37,Belanja Bantuan Keuangan,108650000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2026,2,Februari,38,Belanja Bantuan Keuangan,108650000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2026,3,Maret,39,Belanja Bantuan Keuangan,108650000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2026,4,April,40,Belanja Bantuan Keuangan,108650000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2026,5,Mei,41,Belanja Bantuan Keuangan,108650000000.0,0.0,0.0,False,False
Kalimantan Barat,14,2026,6,Juni,42,Belanja Bantuan Keuangan,108650000000.0,2458036425.0,2.26,False,False
Kalimantan Barat,14,2026,7,Juli,43,Belanja Bantuan Keuangan,108650000000.0,5095197260.0,4.69,False,False
Kalimantan Barat,14,2026,8,Agustus,44,Belanja Bantuan Keuangan,108650000000.0,5881770260.0,5.41,False,False
Kalimantan Barat,14,2026,9,September,45,Belanja Bantuan Keuangan,108650000000.0,5881770260.0,5.41,False,True
Kalimantan Barat,14,2026,10,Oktober,46,Belanja Bantuan Keuangan,108650000000.0,5881770260.0,5.41,False,True
Kalimantan Barat,14,2026,11,November,47,Belanja Bantuan Keuangan,108650000000.0,5881770260.0,5.41,False,True
Kalimantan Barat,14,2026,12,Desember,48,Belanja Bantuan Keuangan,108650000000.0,5881770260.0,5.41,False,True
Kalimantan Barat,14,2023,1,Januari,1,Belanja Bantuan Sosial,657926939.0,0.0,0.0,False,False
Kalimantan Barat,14,2023,2,Februari,2,Belanja Bantuan Sosial,657926939.0,0.0,0.0,False,False
