provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Kalimantan Selatan,16,2025,1,Januari,25,Belanja Bantuan Keuangan,37300600000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2025,2,Februari,26,Belanja Bantuan Keuangan,37300600000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2025,3,Maret,27,Belanja Bantuan Keuangan,37300600000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2025,4,April,28,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,5,Mei,29,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,6,Juni,30,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,7,Juli,31,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,8,Agustus,32,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,9,September,33,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,10,Oktober,34,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,11,November,35,Belanja Bantuan Keuangan,37300600000.0,2500000000.0,6.7,False,False
Kalimantan Selatan,16,2025,12,Desember,36,Belanja Bantuan Keuangan,37300600000.0,37300600000.0,100.0,False,False
Kalimantan Selatan,16,2026,1,Januari,37,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,2,Februari,38,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,3,Maret,39,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,4,April,40,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,5,Mei,41,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,6,Juni,42,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,7,Juli,43,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,8,Agustus,44,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,9,September,45,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,10,Oktober,46,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,11,November,47,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2026,12,Desember,48,Belanja Bantuan Keuangan,26710000000.0,0.0,0.0,True,False
Kalimantan Selatan,16,2023,1,Januari,1,Belanja Bantuan Sosial,12580000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2023,2,Februari,2,Belanja Bantuan Sosial,12580000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2023,3,Maret,3,Belanja Bantuan Sosial,12580000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2023,4,April,4,Belanja Bantuan Sosial,12580000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2023,5,Mei,5,Belanja Bantuan Sosial,12580000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2023,6,Juni,6,Belanja Bantuan Sosial,12580000000.0,2700000000.0,21.46,False,False
Kalimantan Selatan,16,2023,7,Juli,7,Belanja Bantuan Sosial,12580000000.0,10800000000.0,85.85,False,False
Kalimantan Selatan,16,2023,8,Agustus,8,Belanja Bantuan Sosial,12580000000.0,10800000000.0,85.85,False,False
Kalimantan Selatan,16,2023,9,September,9,Belanja Bantuan Sosial,12580000000.0,10800000000.0,85.85,False,False
Kalimantan Selatan,16,2023,10,Oktober,10,Belanja Bantuan Sosial,12580000000.0,10800000000.0,85.85,False,False
Kalimantan Selatan,16,2023,11,November,11,Belanja Bantuan Sosial,12580000000.0,12467800000.0,99.11,False,False
Kalimantan Selatan,16,2023,12,Desember,12,Belanja Bantuan Sosial,12580000000.0,12467800000.0,99.11,False,True
Kalimantan Selatan,16,2024,1,Januari,13,Belanja Bantuan Sosial,18405000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2024,2,Februari,14,Belanja Bantuan Sosial,18405000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2024,3,Maret,15,Belanja Bantuan Sosial,18405000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2024,4,April,16,Belanja Bantuan Sosial,18405000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2024,5,Mei,17,Belanja Bantuan Sosial,18405000000.0,0.0,0.0,False,False
Kalimantan Selatan,16,2024,6,Juni,18,Belanja Bantuan Sosial,18405000000.0,5780000000.0,31.4,False,False
Kalimantan Selatan,16,2024,7,Juli,19,Belanja Bantuan Sosial,18405000000.0,7514850000.0,40.83,False,False
Kalimantan Selatan,16,2024,8,Agustus,20,Belanja Bantuan Sosial,18405000000.0,7631400000.0,41.46,False,False
Kalimantan Selatan,16,2024,9,September,21,Belanja Bantuan Sosial,18405000000.0,7631400000.0,41.46,False,False
Kalimantan Selatan,16,2024,10,Oktober,22,Belanja Bantuan Sosial,18405000000.0,8495500000.0,46.16,False,False
