provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Kalimantan Tengah,15,2023,1,Januari,1,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,2,Februari,2,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,3,Maret,3,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,4,April,4,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,5,Mei,5,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,6,Juni,6,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,7,Juli,7,Belanja Bantuan Keuangan,31700000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2023,8,Agustus,8,Belanja Bantuan Keuangan,31700000000.0,1194600000.0,3.77,False,False
Kalimantan Tengah,15,2023,9,September,9,Belanja Bantuan Keuangan,31700000000.0,12388050000.0,39.08,False,False
Kalimantan Tengah,15,2023,10,Oktober,10,Belanja Bantuan Keuangan,31700000000.0,12612150000.0,39.79,False,False
Kalimantan Tengah,15,2023,11,November,11,Belanja Bantuan Keuangan,31700000000.0,17612150000.0,55.56,False,False
Kalimantan Tengah,15,2023,12,Desember,12,Belanja Bantuan Keuangan,31700000000.0,21339700000.0,67.32,False,False
Kalimantan Tengah,15,2024,1,Januari,13,Belanja Bantuan Keuangan,24390000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2024,2,Februari,14,Belanja Bantuan Keuangan,24390000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2024,3,Maret,15,Belanja Bantuan Keuangan,24390000000.0,0.0,0.0,False,False
Kalimantan Tengah,15,2024,4,April,16,Belanja Bantuan Keuangan,24390000000.0,21000000.0,0.09,False,False
Kalimantan Tengah,15,2024,5,Mei,17,Belanja Bantuan Keuangan,24390000000.0,21000000.0,0.09,False,False
Kalimantan Tengah,15,2024,6,Juni,18,Belanja Bantuan Keuangan,24390000000.0,21000000.0,0.09,False,False
Kalimantan Tengah,15,2024,7,Juli,19,Belanja Bantuan Keuangan,24390000000.0,21000000.0,0.09,False,False
Kalimantan Tengah,15,2024,8,Agustus,20,Belanja Bantuan Keuangan,24390000000.0,2747000000.0,11.26,False,False
