provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Kalimantan Timur,17,2023,1,Januari,1,Belanja Bantuan Keuangan,1197500000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2023,2,Februari,2,Belanja Bantuan Keuangan,1197500000000.0,123488125000.0,10.31,False,False
Kalimantan Timur,17,2023,3,Maret,3,Belanja Bantuan Keuangan,1197500000000.0,141685625000.0,11.83,False,False
Kalimantan Timur,17,2023,4,April,4,Belanja Bantuan Keuangan,1197500000000.0,314010000000.0,26.22,False,False
Kalimantan Timur,17,2023,5,Mei,5,Belanja Bantuan Keuangan,1197500000000.0,314010000000.0,26.22,False,False
Kalimantan Timur,17,2023,6,Juni,6,Belanja Bantuan Keuangan,1197500000000.0,469510000000.0,39.21,False,False
Kalimantan Timur,17,2023,7,Juli,7,Belanja Bantuan Keuangan,1197500000000.0,516095000000.0,43.1,False,False
Kalimantan Timur,17,2023,8,Agustus,8,Belanja Bantuan Keuangan,1197500000000.0,631272000000.0,52.72,False,False
Kalimantan Timur,17,2023,9,September,9,Belanja Bantuan Keuangan,1197500000000.0,774799000000.0,64.7,False,False
Kalimantan Timur,17,2023,11,November,11,Belanja Bantuan Keuangan,1197500000000.0,1064465000000.0,88.89,False,False
Kalimantan Timur,17,2023,12,Desember,12,Belanja Bantuan Keuangan,1197500000000.0,1197500000000.0,100.0,False,False
Kalimantan Timur,17,2024,1,Januari,13,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,2,Februari,14,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,4,April,16,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,5,Mei,17,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,6,Juni,18,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,7,Juli,19,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,8,Agustus,20,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,9,September,21,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,10,Oktober,22,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,11,November,23,Belanja Bantuan Keuangan,1802445120541.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,12,Desember,24,Belanja Bantuan Keuangan,1802445120541.0,1801103645931.0,99.93,False,False
Kalimantan Timur,17,2025,1,Januari,25,Belanja Bantuan Keuangan,2053251150000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,2,Februari,26,Belanja Bantuan Keuangan,2053251150000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,3,Maret,27,Belanja Bantuan Keuangan,2053251150000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,4,April,28,Belanja Bantuan Keuangan,2053251150000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,5,Mei,29,Belanja Bantuan Keuangan,2053251150000.0,438219912500.0,21.34,False,False
Kalimantan Timur,17,2025,6,Juni,30,Belanja Bantuan Keuangan,2053251150000.0,469247537500.0,22.85,False,False
Kalimantan Timur,17,2025,7,Juli,31,Belanja Bantuan Keuangan,2053251150000.0,1033531347500.0,50.34,False,False
Kalimantan Timur,17,2025,8,Agustus,32,Belanja Bantuan Keuangan,2053251150000.0,1095831347500.0,53.37,False,False
Kalimantan Timur,17,2025,9,September,33,Belanja Bantuan Keuangan,2053251150000.0,1229431347500.0,59.88,False,False
Kalimantan Timur,17,2025,10,Oktober,34,Belanja Bantuan Keuangan,2053251150000.0,1723070600000.0,83.92,False,False
Kalimantan Timur,17,2025,11,November,35,Belanja Bantuan Keuangan,2053251150000.0,1908577300000.0,92.95,False,False
Kalimantan Timur,17,2025,12,Desember,36,Belanja Bantuan Keuangan,2053251150000.0,2045211150000.0,99.61,False,False
Kalimantan Timur,17,2026,1,Januari,37,Belanja Bantuan Keuangan,1125945486197.0,0.0,0.0,False,False
Kalimantan Timur,17,2026,2,Februari,38,Belanja Bantuan Keuangan,1125945486197.0,0.0,0.0,False,False
Kalimantan Timur,17,2026,3,Maret,39,Belanja Bantuan Keuangan,1125945486197.0,0.0,0.0,False,False
Kalimantan Timur,17,2026,4,April,40,Belanja Bantuan Keuangan,1125945486197.0,0.0,0.0,False,False
Kalimantan Timur,17,2026,5,Mei,41,Belanja Bantuan Keuangan,1125945486197.0,0.0,0.0,False,False
Kalimantan Timur,17,2026,6,Juni,42,Belanja Bantuan Keuangan,1125945486197.0,0.0,0.0,False,False
Kalimantan Timur,17,2026,7,Juli,43,Belanja Bantuan Keuangan,1125945486197.0,104152070750.0,9.25,False,False
Kalimantan Timur,17,2026,8,Agustus,44,Belanja Bantuan Keuangan,1125945486197.0,276955917624.17,24.6,False,False
Kalimantan Timur,17,2026,9,September,45,Belanja Bantuan Keuangan,1125945486197.0,276955917624.17,24.6,False,True
Kalimantan Timur,17,2026,10,Oktober,46,Belanja Bantuan Keuangan,1125945486197.0,276955917624.17,24.6,False,True
Kalimantan Timur,17,2026,11,November,47,Belanja Bantuan Keuangan,1125945486197.0,276955917624.17,24.6,False,True
Kalimantan Timur,17,2026,12,Desember,48,Belanja Bantuan Keuangan,1125945486197.0,276955917624.17,24.6,False,True
Kalimantan Timur,17,2023,1,Januari,1,Belanja Bantuan Sosial,14624200000.0,0.0,0.0,False,False
Kalimantan Timur,17,2023,2,Februari,2,Belanja Bantuan Sosial,14624200000.0,0.0,0.0,False,False
Kalimantan Timur,17,2023,3,Maret,3,Belanja Bantuan Sosial,14624200000.0,1423000000.0,9.73,False,False
Kalimantan Timur,17,2023,4,April,4,Belanja Bantuan Sosial,14624200000.0,3442000000.0,23.54,False,False
Kalimantan Timur,17,2023,5,Mei,5,Belanja Bantuan Sosial,14624200000.0,3442000000.0,23.54,False,False
Kalimantan Timur,17,2023,6,Juni,6,Belanja Bantuan Sosial,14624200000.0,3462000000.0,23.67,False,False
Kalimantan Timur,17,2023,7,Juli,7,Belanja Bantuan Sosial,14624200000.0,8851600000.0,60.53,False,False
Kalimantan Timur,17,2023,8,Agustus,8,Belanja Bantuan Sosial,14624200000.0,8928600000.0,61.05,False,False
Kalimantan Timur,17,2023,9,September,9,Belanja Bantuan Sosial,14624200000.0,8928600000.0,61.05,False,False
Kalimantan Timur,17,2023,11,November,11,Belanja Bantuan Sosial,14624200000.0,11687400000.0,79.92,False,False
Kalimantan Timur,17,2023,12,Desember,12,Belanja Bantuan Sosial,14624200000.0,11687400000.0,79.92,False,True
Kalimantan Timur,17,2024,1,Januari,13,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,2,Februari,14,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,4,April,16,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,5,Mei,17,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,6,Juni,18,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,7,Juli,19,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,8,Agustus,20,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,9,September,21,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,10,Oktober,22,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,11,November,23,Belanja Bantuan Sosial,19800000000.0,0.0,0.0,False,False
Kalimantan Timur,17,2024,12,Desember,24,Belanja Bantuan Sosial,19800000000.0,17177100000.0,86.75,False,False
Kalimantan Timur,17,2025,1,Januari,25,Belanja Bantuan Sosial,27660500000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,2,Februari,26,Belanja Bantuan Sosial,27660500000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,3,Maret,27,Belanja Bantuan Sosial,27660500000.0,0.0,0.0,False,False
Kalimantan Timur,17,2025,4,April,28,Belanja Bantuan Sosial,27660500000.0,5174000000.0,18.71,False,False
Kalimantan Timur,17,2025,5,Mei,29,Belanja Bantuan Sosial,27660500000.0,6918000000.0,25.01,False,False
Kalimantan Timur,17,2025,6,Juni,30,Belanja Bantuan Sosial,27660500000.0,7018000000.0,25.37,False,False
Kalimantan Timur,17,2025,7,Juli,31,Belanja Bantuan Sosial,27660500000.0,7018000000.0,25.37,False,False
Kalimantan Timur,17,2025,8,Agustus,32,Belanja Bantuan Sosial,27660500000.0,7934000000.0,28.68,False,False
Kalimantan Timur,17,2025,9,September,33,Belanja Bantuan Sosial,27660500000.0,13629000000.0,49.27,False,False
Kalimantan Timur,17,2025,10,Oktober,34,Belanja Bantuan Sosial,27660500000.0,22803500000.0,82.44,False,False
Kalimantan Timur,17,2025,11,November,35,Belanja Bantuan Sosial,27660500000.0,22853500000.0,82.62,False,False
Kalimantan Timur,17,2025,12,Desember,36,Belanja Bantuan Sosial,27660500000.0,22497000000.0,81.33,False,False
