provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Kalimantan Utara,34,2023,1,Januari,1,Belanja Bantuan Keuangan,224782950000.0,0.0,0.0,False,False
Kalimantan Utara,34,2023,2,Februari,2,Belanja Bantuan Keuangan,224782950000.0,0.0,0.0,False,False
Kalimantan Utara,34,2023,3,Maret,3,Belanja Bantuan Keuangan,224782950000.0,0.0,0.0,False,False
Kalimantan Utara,34,2023,4,April,4,Belanja Bantuan Keuangan,224782950000.0,19272355624.0,8.57,False,False
Kalimantan Utara,34,2023,5,Mei,5,Belanja Bantuan Keuangan,224782950000.0,19272355624.0,8.57,False,False
Kalimantan Utara,34,2023,6,Juni,6,Belanja Bantuan Keuangan,224782950000.0,27428462312.0,12.2,False,False
Kalimantan Utara,34,2023,7,Juli,7,Belanja Bantuan Keuangan,224782950000.0,62783790543.0,27.93,False,False
Kalimantan Utara,34,2023,8,Agustus,8,Belanja Bantuan Keuangan,224782950000.0,67248127310.0,29.92,False,False
Kalimantan Utara,34,2023,9,September,9,Belanja Bantuan Keuangan,224782950000.0,78352777310.0,34.86,False,False
Kalimantan Utara,34,2023,10,Oktober,10,Belanja Bantuan Keuangan,224782950000.0,80102717308.0,35.64,False,False
Kalimantan Utara,34,2023,11,November,11,Belanja Bantuan Keuangan,224782950000.0,101944912759.0,45.35,False,False
Kalimantan Utara,34,2023,12,Desember,12,Belanja Bantuan Keuangan,224782950000.0,169700123318.0,75.5,False,False
Kalimantan Utara,34,2024,1,Januari,13,Belanja Bantuan Keuangan,243458950000.0,0.0,0.0,False,False
Kalimantan Utara,34,2024,2,Februari,14,Belanja Bantuan Keuangan,243458950000.0,0.0,0.0,False,False
Kalimantan Utara,34,2024,3,Maret,15,Belanja Bantuan Keuangan,243458950000.0,5813250000.0,2.39,False,False
Kalimantan Utara,34,2024,4,April,16,Belanja Bantuan Keuangan,243458950000.0,20617350000.0,8.47,False,False
Kalimantan Utara,34,2024,5,Mei,17,Belanja Bantuan Keuangan,243458950000.0,25513712198.0,10.48,False,False
Kalimantan Utara,34,2024,6,Juni,18,Belanja Bantuan Keuangan,243458950000.0,31723438921.0,13.03,False,False
