provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Kepulauan Riau,31,2023,1,Januari,1,Belanja Bantuan Keuangan,7400000000.0,0.0,0.0,False,False
Kepulauan Riau,31,2023,2,Februari,2,Belanja Bantuan Keuangan,7400000000.0,0.0,0.0,False,False
Kepulauan Riau,31,2023,3,Maret,3,Belanja Bantuan Keuangan,7400000000.0,1000000000.0,13.51,False,False
Kepulauan Riau,31,2023,4,April,4,Belanja Bantuan Keuangan,7400000000.0,1000000000.0,13.51,False,False
Kepulauan Riau,31,2023,5,Mei,5,Belanja Bantuan Keuangan,7400000000.0,1000000000.0,13.51,False,False
Kepulauan Riau,31,2023,6,Juni,6,Belanja Bantuan Keuangan,7400000000.0,1056000000.0,14.27,False,False
Kepulauan Riau,31,2023,7,Juli,7,Belanja Bantuan Keuangan,7400000000.0,1056000000.0,14.27,False,False
Kepulauan Riau,31,2023,8,Agustus,8,Belanja Bantuan Keuangan,7400000000.0,1272000000.0,17.19,False,False
Kepulauan Riau,31,2023,9,September,9,Belanja Bantuan Keuangan,7400000000.0,1944000000.0,26.27,False,False
Kepulauan Riau,31,2023,10,Oktober,10,Belanja Bantuan Keuangan,7400000000.0,2608000000.0,35.24,False,False
Kepulauan Riau,31,2023,11,November,11,Belanja Bantuan Keuangan,7400000000.0,2960000000.0,40.0,False,False
Kepulauan Riau,31,2023,12,Desember,12,Belanja Bantuan Keuangan,7400000000.0,8352581914.0,112.87,False,False
Kepulauan Riau,31,2024,1,Januari,13,Belanja Bantuan Keuangan,29330500000.0,0.0,0.0,False,False
Kepulauan Riau,31,2024,2,Februari,14,Belanja Bantuan Keuangan,29330500000.0,0.0,0.0,False,False
Kepulauan Riau,31,2024,3,Maret,15,Belanja Bantuan Keuangan,29330500000.0,0.0,0.0,False,False
Kepulauan Riau,31,2024,4,April,16,Belanja Bantuan Keuangan,29330500000.0,0.0,0.0,False,False
Kepulauan Riau,31,2024,5,Mei,17,Belanja Bantuan Keuangan,29330500000.0,0.0,0.0,False,False
Kepulauan Riau,31,2024,6,Juni,18,Belanja Bantuan Keuangan,29330500000.0,500000000.0,1.7,False,False
Kepulauan Riau,31,2024,7,Juli,19,Belanja Bantuan Keuangan,29330500000.0,500000000.0,1.7,False,False
Kepulauan Riau,31,2024,8,Agustus,20,Belanja Bantuan Keuangan,29330500000.0,894500000.0,3.05,False,False
Kepulauan Riau,31,2024,9,September,21,Belanja Bantuan Keuangan,29330500000.0,12100500000.0,41.26,False,False
Kepulauan Riau,31,2024,10,Oktober,22,Belanja Bantuan Keuangan,29330500000.0,24619000000.0,83.94,False,False
Kepulauan Riau,31,2024,11,November,23,Belanja Bantuan Keuangan,29330500000.0,25823000000.0,88.04,False,False
