provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Maluku,25,2025,1,Januari,25,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,2,Februari,26,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,3,Maret,27,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,4,April,28,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,5,Mei,29,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,6,Juni,30,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,7,Juli,31,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,8,Agustus,32,Belanja Bantuan Keuangan,12000000000.0,0.0,0.0,False,False
Maluku,25,2025,9,September,33,Belanja Bantuan Keuangan,12000000000.0,2000000000.0,16.67,False,False
Maluku,25,2025,10,Oktober,34,Belanja Bantuan Keuangan,12000000000.0,2000000000.0,16.67,False,True
Maluku,25,2025,11,November,35,Belanja Bantuan Keuangan,12000000000.0,2000000000.0,16.67,False,True
Maluku,25,2025,12,Desember,36,Belanja Bantuan Keuangan,12000000000.0,2000000000.0,16.67,False,True
Maluku,25,2023,1,Januari,1,Belanja Bantuan Sosial,7290814000.0,0.0,0.0,False,False
Maluku,25,2023,2,Februari,2,Belanja Bantuan Sosial,7290814000.0,0.0,0.0,False,False
Maluku,25,2023,3,Maret,3,Belanja Bantuan Sosial,7290814000.0,0.0,0.0,False,False
Maluku,25,2023,4,April,4,Belanja Bantuan Sosial,7290814000.0,1021800000.0,14.01,False,False
Maluku,25,2023,5,Mei,5,Belanja Bantuan Sosial,7290814000.0,1021800000.0,14.01,False,False
Maluku,25,2023,6,Juni,6,Belanja Bantuan Sosial,7290814000.0,2914100000.0,39.97,False,False
