provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
NTT,24,2023,1,Januari,1,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,2,Februari,2,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,3,Maret,3,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,4,April,4,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,5,Mei,5,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,6,Juni,6,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,7,Juli,7,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,8,Agustus,8,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,9,September,9,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,10,Oktober,10,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,11,November,11,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2023,12,Desember,12,Belanja Bantuan Keuangan,8692849000.0,0.0,0.0,True,False
NTT,24,2024,1,Januari,13,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,2,Februari,14,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,3,Maret,15,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,4,April,16,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,5,Mei,17,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,6,Juni,18,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,7,Juli,19,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,8,Agustus,20,Belanja Bantuan Keuangan,12315905000.0,150000000.0,1.22,False,False
NTT,24,2024,9,September,21,Belanja Bantuan Keuangan,12315905000.0,637861545.0,5.18,False,False
NTT,24,2024,10,Oktober,22,Belanja Bantuan Keuangan,12315905000.0,1637861545.0,13.3,False,False
NTT,24,2024,11,November,23,Belanja Bantuan Keuangan,12315905000.0,1637861545.0,13.3,False,False
NTT,24,2024,12,Desember,24,Belanja Bantuan Keuangan,12315905000.0,6306245545.0,51.2,False,False
NTT,24,2025,1,Januari,25,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,2,Februari,26,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,3,Maret,27,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,4,April,28,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,5,Mei,29,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,6,Juni,30,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,7,Juli,31,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,8,Agustus,32,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,9,September,33,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,10,Oktober,34,Belanja Bantuan Keuangan,39856898400.0,0.0,0.0,False,False
NTT,24,2025,11,November,35,Belanja Bantuan Keuangan,39856898400.0,2000000000.0,5.02,False,False
NTT,24,2025,12,Desember,36,Belanja Bantuan Keuangan,39856898400.0,360000000.0,0.9,False,False
NTT,24,2023,1,Januari,1,Belanja Bantuan Sosial,44267100000.0,0.0,0.0,False,False
NTT,24,2023,2,Februari,2,Belanja Bantuan Sosial,44267100000.0,100000000.0,0.23,False,False
NTT,24,2023,3,Maret,3,Belanja Bantuan Sosial,44267100000.0,670000000.0,1.51,False,False
NTT,24,2023,4,April,4,Belanja Bantuan Sosial,44267100000.0,670000000.0,1.51,False,False
NTT,24,2023,5,Mei,5,Belanja Bantuan Sosial,44267100000.0,670000000.0,1.51,False,False
NTT,24,2023,6,Juni,6,Belanja Bantuan Sosial,44267100000.0,1865000000.0,4.21,False,False
NTT,24,2023,7,Juli,7,Belanja Bantuan Sosial,44267100000.0,2167400000.0,4.9,False,False
NTT,24,2023,8,Agustus,8,Belanja Bantuan Sosial,44267100000.0,2637400000.0,5.96,False,False
NTT,24,2023,9,September,9,Belanja Bantuan Sosial,44267100000.0,2637400000.0,5.96,False,False
NTT,24,2023,10,Oktober,10,Belanja Bantuan Sosial,44267100000.0,2737400000.0,6.18,False,False
NTT,24,2023,11,November,11,Belanja Bantuan Sosial,44267100000.0,2737400000.0,6.18,False,False
NTT,24,2023,12,Desember,12,Belanja Bantuan Sosial,44267100000.0,23524900000.0,53.14,False,False
NTT,24,2024,1,Januari,13,Belanja Bantuan Sosial,21080562000.0,0.0,0.0,False,False
NTT,24,2024,2,Februari,14,Belanja Bantuan Sosial,21080562000.0,0.0,0.0,False,False
NTT,24,2024,3,Maret,15,Belanja Bantuan Sosial,21080562000.0,0.0,0.0,False,False
NTT,24,2024,4,April,16,Belanja Bantuan Sosial,21080562000.0,440000000.0,2.09,False,False
NTT,24,2024,5,Mei,17,Belanja Bantuan Sosial,21080562000.0,790000000.0,3.75,False,False
NTT,24,2024,6,Juni,18,Belanja Bantuan Sosial,21080562000.0,1185000000.0,5.62,False,False
NTT,24,2024,7,Juli,19,Belanja Bantuan Sosial,21080562000.0,2549000000.0,12.09,False,False
NTT,24,2024,8,Agustus,20,Belanja Bantuan Sosial,21080562000.0,2549000000.0,12.09,False,False
NTT,24,2024,9,September,21,Belanja Bantuan Sosial,21080562000.0,2549000000.0,12.09,False,False
NTT,24,2024,10,Oktober,22,Belanja Bantuan Sosial,21080562000.0,5551500000.0,26.33,False,False
NTT,24,2024,11,November,23,Belanja Bantuan Sosial,21080562000.0,13209108000.0,62.66,False,False
NTT,24,2024,12,Desember,24,Belanja Bantuan Sosial,21080562000.0,29630396000.0,140.56,False,False
NTT,24,2025,1,Januari,25,Belanja Bantuan Sosial,9860000000.0,0.0,0.0,False,False
NTT,24,2025,2,Februari,26,Belanja Bantuan Sosial,9860000000.0,0.0,0.0,False,False
NTT,24,2025,3,Maret,27,Belanja Bantuan Sosial,9860000000.0,0.0,0.0,False,False
NTT,24,2025,4,April,28,Belanja Bantuan Sosial,9860000000.0,0.0,0.0,False,False
NTT,24,2025,5,Mei,29,Belanja Bantuan Sosial,9860000000.0,0.0,0.0,False,False
NTT,24,2025,6,Juni,30,Belanja Bantuan Sosial,9860000000.0,460000000.0,4.67,False,False
NTT,24,2025,7,Juli,31,Belanja Bantuan Sosial,9860000000.0,1262500000.0,12.8,False,False
NTT,24,2025,8,Agustus,32,Belanja Bantuan Sosial,9860000000.0,2307500000.0,23.4,False,False
NTT,24,2025,9,September,33,Belanja Bantuan Sosial,9860000000.0,3861500000.0,39.16,False,False
NTT,24,2025,10,Oktober,34,Belanja Bantuan Sosial,9860000000.0,4711500000.0,47.78,False,False
NTT,24,2025,11,November,35,Belanja Bantuan Sosial,9860000000.0,5416500000.0,54.93,False,False
NTT,24,2025,12,Desember,36,Belanja Bantuan Sosial,9860000000.0,10907950000.0,110.63,False,False
NTT,24,2026,1,Januari,37,Belanja Bantuan Sosial,9565000000.0,0.0,0.0,False,False
NTT,24,2026,2,Februari,38,Belanja Bantuan Sosial,9565000000.0,100000000.0,1.05,False,False
NTT,24,2026,3,Maret,39,Belanja Bantuan Sosial,9565000000.0,100000000.0,1.05,False,False
NTT,24,2026,4,April,40,Belanja Bantuan Sosial,9565000000.0,360000000.0,3.76,False,False
NTT,24,2026,5,Mei,41,Belanja Bantuan Sosial,9565000000.0,360000000.0,3.76,False,False
NTT,24,2026,6,Juni,42,Belanja Bantuan Sosial,9565000000.0,1442100000.0,15.08,False,False
NTT,24,2026,7,Juli,43,Belanja Bantuan Sosial,9565000000.0,1647000000.0,17.22,False,False
NTT,24,2026,8,Agustus,44,Belanja Bantuan Sosial,9565000000.0,2091000000.0,21.86,False,False
NTT,24,2026,9,September,45,Belanja Bantuan Sosial,9565000000.0,2091000000.0,21.86,False,True
NTT,24,2026,10,Oktober,46,Belanja Bantuan Sosial,9565000000.0,2091000000.0,21.86,False,True
NTT,24,2026,11,November,47,Belanja Bantuan Sosial,9565000000.0,2091000000.0,21.86,False,True
NTT,24,2026,12,Desember,48,Belanja Bantuan Sosial,9565000000.0,2091000000.0,21.86,False,True
NTT,24,2023,1,Januari,1,Belanja Barang dan Jasa,1497420910986.0,11271818563.0,0.75,False,False
NTT,24,2023,2,Februari,2,Belanja Barang dan Jasa,1497420910986.0,41847837467.0,2.79,False,False
NTT,24,2023,3,Maret,3,Belanja Barang dan Jasa,1497420910986.0,109069209348.0,7.28,False,False
NTT,24,2023,4,April,4,Belanja Barang dan Jasa,1497420910986.0,176644105936.0,11.8,False,False
NTT,24,2023,5,Mei,5,Belanja Barang dan Jasa,1497420910986.0,176644105936.0,11.8,False,False
NTT,24,2023,6,Juni,6,Belanja Barang dan Jasa,1497420910986.0,244554649317.0,16.33,False,False
NTT,24,2023,7,Juli,7,Belanja Barang dan Jasa,1497420910986.0,336333100546.0,22.46,False,False
NTT,24,2023,8,Agustus,8,Belanja Barang dan Jasa,1497420910986.0,399645261203.0,26.69,False,False
NTT,24,2023,9,September,9,Belanja Barang dan Jasa,1497420910986.0,473169580758.0,31.6,False,False
NTT,24,2023,10,Oktober,10,Belanja Barang dan Jasa,1497420910986.0,587443824982.37,39.23,False,False
NTT,24,2023,11,November,11,Belanja Barang dan Jasa,1497420910986.0,674851594041.37,45.07,False,False
NTT,24,2023,12,Desember,12,Belanja Barang dan Jasa,1497420910986.0,1106562784625.3,73.9,False,False
NTT,24,2024,1,Januari,13,Belanja Barang dan Jasa,1526942602790.0,12012324511.0,0.79,False,False
NTT,24,2024,2,Februari,14,Belanja Barang dan Jasa,1526942602790.0,28617389622.0,1.87,False,False
NTT,24,2024,3,Maret,15,Belanja Barang dan Jasa,1526942602790.0,91876854630.25,6.02,False,False
NTT,24,2024,4,April,16,Belanja Barang dan Jasa,1526942602790.0,132276858681.25,8.66,False,False
NTT,24,2024,5,Mei,17,Belanja Barang dan Jasa,1526942602790.0,187626989435.52,12.29,False,False
NTT,24,2024,6,Juni,18,Belanja Barang dan Jasa,1526942602790.0,543152749349.44,35.57,False,False
NTT,24,2024,7,Juli,19,Belanja Barang dan Jasa,1526942602790.0,339429386301.45,22.23,False,False
NTT,24,2024,8,Agustus,20,Belanja Barang dan Jasa,1526942602790.0,418949790335.48,27.44,False,False
NTT,24,2024,9,September,21,Belanja Barang dan Jasa,1526942602790.0,525056457678.48,34.39,False,False
NTT,24,2024,10,Oktober,22,Belanja Barang dan Jasa,1526942602790.0,612530651690.57,40.11,False,False
NTT,24,2024,11,November,23,Belanja Barang dan Jasa,1526942602790.0,712119987259.57,46.64,False,False
NTT,24,2024,12,Desember,24,Belanja Barang dan Jasa,1526942602790.0,1187981415203.8,77.8,False,False
NTT,24,2025,1,Januari,25,Belanja Barang dan Jasa,942887980442.0,6863698043.0,0.73,False,False
NTT,24,2025,2,Februari,26,Belanja Barang dan Jasa,942887980442.0,42187536425.0,4.47,False,False
NTT,24,2025,3,Maret,27,Belanja Barang dan Jasa,942887980442.0,123084537277.0,13.05,False,False
NTT,24,2025,4,April,28,Belanja Barang dan Jasa,942887980442.0,166504735684.0,17.66,False,False
NTT,24,2025,5,Mei,29,Belanja Barang dan Jasa,942887980442.0,230988786852.0,24.5,False,False
NTT,24,2025,6,Juni,30,Belanja Barang dan Jasa,942887980442.0,465856567030.0,49.41,False,False
NTT,24,2025,7,Juli,31,Belanja Barang dan Jasa,942887980442.0,541481047394.0,57.43,False,False
NTT,24,2025,8,Agustus,32,Belanja Barang dan Jasa,942887980442.0,591805979386.0,62.77,False,False
NTT,24,2025,9,September,33,Belanja Barang dan Jasa,942887980442.0,658417667278.0,69.83,False,False
NTT,24,2025,10,Oktober,34,Belanja Barang dan Jasa,942887980442.0,749765199257.0,79.52,False,False
NTT,24,2025,11,November,35,Belanja Barang dan Jasa,942887980442.0,796533443803.0,84.48,False,False
NTT,24,2025,12,Desember,36,Belanja Barang dan Jasa,942887980442.0,1271835056373.7,134.89,False,False
NTT,24,2026,1,Januari,37,Belanja Barang dan Jasa,1612455741002.0,17830028874.0,1.11,False,False
NTT,24,2026,2,Februari,38,Belanja Barang dan Jasa,1612455741002.0,41765940415.0,2.59,False,False
NTT,24,2026,3,Maret,39,Belanja Barang dan Jasa,1612455741002.0,92047485825.0,5.71,False,False
