provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Papua Barat Daya,38,2023,1,Januari,1,Belanja Bantuan Keuangan,664556142600.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,2,Februari,2,Belanja Bantuan Keuangan,664556142600.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,3,Maret,3,Belanja Bantuan Keuangan,664556142600.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,4,April,4,Belanja Bantuan Keuangan,664556142600.0,132911228520.0,20.0,False,False
Papua Barat Daya,38,2023,5,Mei,5,Belanja Bantuan Keuangan,664556142600.0,132911228520.0,20.0,False,False
Papua Barat Daya,38,2023,6,Juni,6,Belanja Bantuan Keuangan,664556142600.0,299050264170.0,45.0,False,False
Papua Barat Daya,38,2023,7,Juli,7,Belanja Bantuan Keuangan,664556142600.0,299050264170.0,45.0,False,False
Papua Barat Daya,38,2023,8,Agustus,8,Belanja Bantuan Keuangan,664556142600.0,531644914080.0,80.0,False,False
Papua Barat Daya,38,2023,9,September,9,Belanja Bantuan Keuangan,664556142600.0,531644914080.0,80.0,False,False
Papua Barat Daya,38,2023,10,Oktober,10,Belanja Bantuan Keuangan,664556142600.0,531644914080.0,80.0,False,False
Papua Barat Daya,38,2023,11,November,11,Belanja Bantuan Keuangan,664556142600.0,664556142600.0,100.0,False,False
Papua Barat Daya,38,2023,12,Desember,12,Belanja Bantuan Keuangan,664556142600.0,664556142600.0,100.0,False,True
Papua Barat Daya,38,2024,1,Januari,13,Belanja Bantuan Keuangan,122072303500.0,0.0,0.0,False,False
Papua Barat Daya,38,2024,2,Februari,14,Belanja Bantuan Keuangan,122072303500.0,0.0,0.0,False,False
Papua Barat Daya,38,2024,3,Maret,15,Belanja Bantuan Keuangan,122072303500.0,24414460700.0,20.0,False,False
Papua Barat Daya,38,2024,4,April,16,Belanja Bantuan Keuangan,122072303500.0,24414460700.0,20.0,False,False
Papua Barat Daya,38,2024,5,Mei,17,Belanja Bantuan Keuangan,122072303500.0,24414460700.0,20.0,False,False
Papua Barat Daya,38,2024,6,Juni,18,Belanja Bantuan Keuangan,122072303500.0,24414460700.0,20.0,False,False
Papua Barat Daya,38,2024,7,Juli,19,Belanja Bantuan Keuangan,122072303500.0,28076629805.0,23.0,False,False
Papua Barat Daya,38,2024,8,Agustus,20,Belanja Bantuan Keuangan,122072303500.0,31738798910.0,26.0,False,False
Papua Barat Daya,38,2024,9,September,21,Belanja Bantuan Keuangan,122072303500.0,47608198365.0,39.0,False,False
Papua Barat Daya,38,2024,10,Oktober,22,Belanja Bantuan Keuangan,122072303500.0,47608198365.0,39.0,False,False
Papua Barat Daya,38,2024,11,November,23,Belanja Bantuan Keuangan,122072303500.0,47608198365.0,39.0,False,False
Papua Barat Daya,38,2024,12,Desember,24,Belanja Bantuan Keuangan,122072303500.0,67951962558.0,55.67,False,False
Papua Barat Daya,38,2025,1,Januari,25,Belanja Bantuan Keuangan,149784291300.0,0.0,0.0,False,False
Papua Barat Daya,38,2025,2,Februari,26,Belanja Bantuan Keuangan,149784291300.0,0.0,0.0,False,False
Papua Barat Daya,38,2025,3,Maret,27,Belanja Bantuan Keuangan,149784291300.0,0.0,0.0,False,False
Papua Barat Daya,38,2025,4,April,28,Belanja Bantuan Keuangan,149784291300.0,0.0,0.0,False,False
Papua Barat Daya,38,2025,5,Mei,29,Belanja Bantuan Keuangan,149784291300.0,0.0,0.0,False,False
Papua Barat Daya,38,2025,6,Juni,30,Belanja Bantuan Keuangan,149784291300.0,0.0,0.0,False,False
Papua Barat Daya,38,2025,7,Juli,31,Belanja Bantuan Keuangan,149784291300.0,4250000000.0,2.84,False,False
Papua Barat Daya,38,2025,8,Agustus,32,Belanja Bantuan Keuangan,149784291300.0,49569501955.0,33.09,False,False
Papua Barat Daya,38,2025,9,September,33,Belanja Bantuan Keuangan,149784291300.0,65569501955.0,43.78,False,False
Papua Barat Daya,38,2025,10,Oktober,34,Belanja Bantuan Keuangan,149784291300.0,140665881005.0,93.91,False,False
Papua Barat Daya,38,2025,11,November,35,Belanja Bantuan Keuangan,149784291300.0,144272203297.0,96.32,False,False
Papua Barat Daya,38,2025,12,Desember,36,Belanja Bantuan Keuangan,149784291300.0,144772203297.0,96.65,False,False
Papua Barat Daya,38,2026,1,Januari,37,Belanja Bantuan Keuangan,101982419026.0,0.0,0.0,False,False
Papua Barat Daya,38,2026,2,Februari,38,Belanja Bantuan Keuangan,101982419026.0,0.0,0.0,False,False
Papua Barat Daya,38,2026,3,Maret,39,Belanja Bantuan Keuangan,101982419026.0,0.0,0.0,False,False
Papua Barat Daya,38,2026,4,April,40,Belanja Bantuan Keuangan,101982419026.0,0.0,0.0,False,False
Papua Barat Daya,38,2026,5,Mei,41,Belanja Bantuan Keuangan,101982419026.0,20290171128.0,19.9,False,False
Papua Barat Daya,38,2026,6,Juni,42,Belanja Bantuan Keuangan,101982419026.0,20290171128.0,19.9,False,False
Papua Barat Daya,38,2026,7,Juli,43,Belanja Bantuan Keuangan,101982419026.0,20290171128.0,19.9,False,False
Papua Barat Daya,38,2026,8,Agustus,44,Belanja Bantuan Keuangan,101982419026.0,32464273803.0,31.83,False,False
Papua Barat Daya,38,2026,9,September,45,Belanja Bantuan Keuangan,101982419026.0,32464273803.0,31.83,False,True
Papua Barat Daya,38,2026,10,Oktober,46,Belanja Bantuan Keuangan,101982419026.0,32464273803.0,31.83,False,True
Papua Barat Daya,38,2026,11,November,47,Belanja Bantuan Keuangan,101982419026.0,32464273803.0,31.83,False,True
Papua Barat Daya,38,2026,12,Desember,48,Belanja Bantuan Keuangan,101982419026.0,32464273803.0,31.83,False,True
Papua Barat Daya,38,2023,1,Januari,1,Belanja Bantuan Sosial,97176984760.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,2,Februari,2,Belanja Bantuan Sosial,97176984760.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,3,Maret,3,Belanja Bantuan Sosial,97176984760.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,4,April,4,Belanja Bantuan Sosial,97176984760.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,5,Mei,5,Belanja Bantuan Sosial,97176984760.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,6,Juni,6,Belanja Bantuan Sosial,97176984760.0,7500000000.0,7.72,False,False
Papua Barat Daya,38,2023,7,Juli,7,Belanja Bantuan Sosial,97176984760.0,8000000000.0,8.23,False,False
Papua Barat Daya,38,2023,8,Agustus,8,Belanja Bantuan Sosial,97176984760.0,8075000000.0,8.31,False,False
Papua Barat Daya,38,2023,9,September,9,Belanja Bantuan Sosial,97176984760.0,9425000000.0,9.7,False,False
Papua Barat Daya,38,2023,10,Oktober,10,Belanja Bantuan Sosial,97176984760.0,12425000000.0,12.79,False,False
Papua Barat Daya,38,2023,11,November,11,Belanja Bantuan Sosial,97176984760.0,23440000000.0,24.12,False,False
Papua Barat Daya,38,2023,12,Desember,12,Belanja Bantuan Sosial,97176984760.0,45181860000.0,46.49,False,False
Papua Barat Daya,38,2024,1,Januari,13,Belanja Bantuan Sosial,40500000000.0,0.0,0.0,False,False
Papua Barat Daya,38,2024,2,Februari,14,Belanja Bantuan Sosial,40500000000.0,0.0,0.0,False,False
Papua Barat Daya,38,2024,3,Maret,15,Belanja Bantuan Sosial,40500000000.0,0.0,0.0,False,False
Papua Barat Daya,38,2024,4,April,16,Belanja Bantuan Sosial,40500000000.0,0.0,0.0,False,False
Papua Barat Daya,38,2024,5,Mei,17,Belanja Bantuan Sosial,40500000000.0,1389600000.0,3.43,False,False
Papua Barat Daya,38,2024,6,Juni,18,Belanja Bantuan Sosial,40500000000.0,1389600000.0,3.43,False,False
Papua Barat Daya,38,2024,7,Juli,19,Belanja Bantuan Sosial,40500000000.0,1389600000.0,3.43,False,False
Papua Barat Daya,38,2024,8,Agustus,20,Belanja Bantuan Sosial,40500000000.0,3489600000.0,8.62,False,False
Papua Barat Daya,38,2024,9,September,21,Belanja Bantuan Sosial,40500000000.0,3489600000.0,8.62,False,False
Papua Barat Daya,38,2024,10,Oktober,22,Belanja Bantuan Sosial,40500000000.0,3489600000.0,8.62,False,False
Papua Barat Daya,38,2024,11,November,23,Belanja Bantuan Sosial,40500000000.0,3959600000.0,9.78,False,False
Papua Barat Daya,38,2024,12,Desember,24,Belanja Bantuan Sosial,40500000000.0,26359900000.0,65.09,False,False
Papua Barat Daya,38,2025,1,Januari,25,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,2,Februari,26,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,3,Maret,27,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,4,April,28,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,5,Mei,29,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,6,Juni,30,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,7,Juli,31,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,8,Agustus,32,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,9,September,33,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,10,Oktober,34,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,11,November,35,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2025,12,Desember,36,Belanja Bantuan Sosial,2850000000.0,0.0,0.0,True,False
Papua Barat Daya,38,2023,1,Januari,1,Belanja Barang dan Jasa,825353378436.0,1500000000.0,0.18,False,False
Papua Barat Daya,38,2023,2,Februari,2,Belanja Barang dan Jasa,825353378436.0,6413681343.0,0.78,False,False
Papua Barat Daya,38,2023,3,Maret,3,Belanja Barang dan Jasa,825353378436.0,9609870335.0,1.16,False,False
Papua Barat Daya,38,2023,4,April,4,Belanja Barang dan Jasa,825353378436.0,24067558534.0,2.92,False,False
Papua Barat Daya,38,2023,5,Mei,5,Belanja Barang dan Jasa,825353378436.0,24067558534.0,2.92,False,False
Papua Barat Daya,38,2023,6,Juni,6,Belanja Barang dan Jasa,825353378436.0,65818575156.0,7.97,False,False
Papua Barat Daya,38,2023,7,Juli,7,Belanja Barang dan Jasa,825353378436.0,91909078593.0,11.14,False,False
Papua Barat Daya,38,2023,8,Agustus,8,Belanja Barang dan Jasa,825353378436.0,140170534923.0,16.98,False,False
Papua Barat Daya,38,2023,9,September,9,Belanja Barang dan Jasa,825353378436.0,180941637480.0,21.92,False,False
Papua Barat Daya,38,2023,10,Oktober,10,Belanja Barang dan Jasa,825353378436.0,228610865150.0,27.7,False,False
Papua Barat Daya,38,2023,11,November,11,Belanja Barang dan Jasa,825353378436.0,311601025677.2,37.75,False,False
Papua Barat Daya,38,2023,12,Desember,12,Belanja Barang dan Jasa,825353378436.0,651332104353.88,78.92,False,False
Papua Barat Daya,38,2024,1,Januari,13,Belanja Barang dan Jasa,642171568849.0,4104816784.0,0.64,False,False
Papua Barat Daya,38,2024,2,Februari,14,Belanja Barang dan Jasa,642171568849.0,9566384784.0,1.49,False,False
Papua Barat Daya,38,2024,3,Maret,15,Belanja Barang dan Jasa,642171568849.0,14888041003.0,2.32,False,False
Papua Barat Daya,38,2024,4,April,16,Belanja Barang dan Jasa,642171568849.0,38389946247.0,5.98,False,False
Papua Barat Daya,38,2024,5,Mei,17,Belanja Barang dan Jasa,642171568849.0,70781182271.0,11.02,False,False
Papua Barat Daya,38,2024,6,Juni,18,Belanja Barang dan Jasa,642171568849.0,78489046650.0,12.22,False,False
Papua Barat Daya,38,2024,7,Juli,19,Belanja Barang dan Jasa,642171568849.0,147903220609.0,23.03,False,False
Papua Barat Daya,38,2024,8,Agustus,20,Belanja Barang dan Jasa,642171568849.0,198446643836.0,30.9,False,False
Papua Barat Daya,38,2024,9,September,21,Belanja Barang dan Jasa,642171568849.0,225100854800.0,35.05,False,False
Papua Barat Daya,38,2024,10,Oktober,22,Belanja Barang dan Jasa,642171568849.0,284338115299.0,44.28,False,False
Papua Barat Daya,38,2024,11,November,23,Belanja Barang dan Jasa,642171568849.0,387208197044.0,60.3,False,False
Papua Barat Daya,38,2024,12,Desember,24,Belanja Barang dan Jasa,642171568849.0,715046945112.99,111.35,False,False
Papua Barat Daya,38,2025,1,Januari,25,Belanja Barang dan Jasa,577939469313.82,321047500.0,0.06,False,False
Papua Barat Daya,38,2025,2,Februari,26,Belanja Barang dan Jasa,577939469313.82,9312870343.0,1.61,False,False
Papua Barat Daya,38,2025,3,Maret,27,Belanja Barang dan Jasa,577939469313.82,31777796914.0,5.5,False,False
Papua Barat Daya,38,2025,4,April,28,Belanja Barang dan Jasa,577939469313.82,58371882942.0,10.1,False,False
Papua Barat Daya,38,2025,5,Mei,29,Belanja Barang dan Jasa,577939469313.82,81441029095.0,14.09,False,False
Papua Barat Daya,38,2025,6,Juni,30,Belanja Barang dan Jasa,577939469313.82,97443950349.0,16.86,False,False
Papua Barat Daya,38,2025,7,Juli,31,Belanja Barang dan Jasa,577939469313.82,143503452643.0,24.83,False,False
Papua Barat Daya,38,2025,8,Agustus,32,Belanja Barang dan Jasa,577939469313.82,178617214136.0,30.91,False,False
Papua Barat Daya,38,2025,9,September,33,Belanja Barang dan Jasa,577939469313.82,204093301766.0,35.31,False,False
Papua Barat Daya,38,2025,10,Oktober,34,Belanja Barang dan Jasa,577939469313.82,291020754241.2,50.35,False,False
Papua Barat Daya,38,2025,11,November,35,Belanja Barang dan Jasa,577939469313.82,443715216586.18,76.78,False,False
Papua Barat Daya,38,2025,12,Desember,36,Belanja Barang dan Jasa,577939469313.82,634006604342.44,109.7,False,False
Papua Barat Daya,38,2026,1,Januari,37,Belanja Barang dan Jasa,434178843376.82,6588226040.0,1.52,False,False
Papua Barat Daya,38,2026,2,Februari,38,Belanja Barang dan Jasa,434178843376.82,20908485879.0,4.82,False,False
Papua Barat Daya,38,2026,3,Maret,39,Belanja Barang dan Jasa,434178843376.82,49417885697.0,11.38,False,False
Papua Barat Daya,38,2026,4,April,40,Belanja Barang dan Jasa,434178843376.82,85267563373.0,19.64,False,False
Papua Barat Daya,38,2026,5,Mei,41,Belanja Barang dan Jasa,434178843376.82,140073838359.21,32.26,False,False
Papua Barat Daya,38,2026,6,Juni,42,Belanja Barang dan Jasa,434178843376.82,160101115331.21,36.87,False,False
Papua Barat Daya,38,2026,7,Juli,43,Belanja Barang dan Jasa,434178843376.82,230331237103.09,53.05,False,False
Papua Barat Daya,38,2026,8,Agustus,44,Belanja Barang dan Jasa,434178843376.82,265212144745.09,61.08,False,False
Papua Barat Daya,38,2026,9,September,45,Belanja Barang dan Jasa,434178843376.82,268962790312.09,61.95,False,False
Papua Barat Daya,38,2026,10,Oktober,46,Belanja Barang dan Jasa,434178843376.82,268962790312.09,61.95,False,True
Papua Barat Daya,38,2026,11,November,47,Belanja Barang dan Jasa,434178843376.82,268962790312.09,61.95,False,True
Papua Barat Daya,38,2026,12,Desember,48,Belanja Barang dan Jasa,434178843376.82,268962790312.09,61.95,False,True
Papua Barat Daya,38,2023,1,Januari,1,Belanja Daerah,2826028319956.0,1500000000.0,0.05,False,False
Papua Barat Daya,38,2023,2,Februari,2,Belanja Daerah,2826028319956.0,6566597343.0,0.23,False,False
Papua Barat Daya,38,2023,3,Maret,3,Belanja Daerah,2826028319956.0,9764036335.0,0.35,False,False
Papua Barat Daya,38,2023,4,April,4,Belanja Daerah,2826028319956.0,157148263054.0,5.56,False,False
Papua Barat Daya,38,2023,5,Mei,5,Belanja Daerah,2826028319956.0,157148263054.0,5.56,False,False
Papua Barat Daya,38,2023,6,Juni,6,Belanja Daerah,2826028319956.0,377218713376.0,13.35,False,False
Papua Barat Daya,38,2023,7,Juli,7,Belanja Daerah,2826028319956.0,412465335193.0,14.6,False,False
Papua Barat Daya,38,2023,8,Agustus,8,Belanja Daerah,2826028319956.0,752441077859.0,26.63,False,False
Papua Barat Daya,38,2023,9,September,9,Belanja Daerah,2826028319956.0,879141102444.25,31.11,False,False
Papua Barat Daya,38,2023,10,Oktober,10,Belanja Daerah,2826028319956.0,993530905454.95,35.16,False,False
Papua Barat Daya,38,2023,11,November,11,Belanja Daerah,2826028319956.0,1318538579363.2,46.66,False,False
Papua Barat Daya,38,2023,12,Desember,12,Belanja Daerah,2826028319956.0,2225759771508.6,78.76,False,False
Papua Barat Daya,38,2024,1,Januari,13,Belanja Daerah,1996730598807.0,8048450471.0,0.4,False,False
Papua Barat Daya,38,2024,2,Februari,14,Belanja Daerah,1996730598807.0,17945113130.0,0.9,False,False
Papua Barat Daya,38,2024,3,Maret,15,Belanja Daerah,1996730598807.0,56273458749.0,2.82,False,False
Papua Barat Daya,38,2024,4,April,16,Belanja Daerah,1996730598807.0,110199463287.0,5.52,False,False
Papua Barat Daya,38,2024,5,Mei,17,Belanja Daerah,1996730598807.0,151082193568.0,7.57,False,False
Papua Barat Daya,38,2024,6,Juni,18,Belanja Daerah,1996730598807.0,248449847861.5,12.44,False,False
Papua Barat Daya,38,2024,7,Juli,19,Belanja Daerah,1996730598807.0,345386255944.5,17.3,False,False
Papua Barat Daya,38,2024,8,Agustus,20,Belanja Daerah,1996730598807.0,510164796092.63,25.55,False,False
Papua Barat Daya,38,2024,9,September,21,Belanja Daerah,1996730598807.0,643585748905.85,32.23,False,False
Papua Barat Daya,38,2024,10,Oktober,22,Belanja Daerah,1996730598807.0,901666053609.29,45.16,False,False
Papua Barat Daya,38,2024,11,November,23,Belanja Daerah,1996730598807.0,1140677928569.4,57.13,False,False
Papua Barat Daya,38,2024,12,Desember,24,Belanja Daerah,1996730598807.0,2093879541736.2,104.87,False,False
Papua Barat Daya,38,2025,1,Januari,25,Belanja Daerah,1487332810206.0,10654575283.0,0.72,False,False
Papua Barat Daya,38,2025,2,Februari,26,Belanja Daerah,1487332810206.0,46095457016.0,3.1,False,False
Papua Barat Daya,38,2025,3,Maret,27,Belanja Daerah,1487332810206.0,105209208220.0,7.07,False,False
Papua Barat Daya,38,2025,4,April,28,Belanja Daerah,1487332810206.0,142621820527.0,9.59,False,False
Papua Barat Daya,38,2025,5,Mei,29,Belanja Daerah,1487332810206.0,189241010005.4,12.72,False,False
Papua Barat Daya,38,2025,6,Juni,30,Belanja Daerah,1487332810206.0,246363481109.99,16.56,False,False
Papua Barat Daya,38,2025,7,Juli,31,Belanja Daerah,1487332810206.0,332096629638.99,22.33,False,False
Papua Barat Daya,38,2025,8,Agustus,32,Belanja Daerah,1487332810206.0,454714481435.99,30.57,False,False
Papua Barat Daya,38,2025,9,September,33,Belanja Daerah,1487332810206.0,547017951708.0,36.78,False,False
Papua Barat Daya,38,2025,10,Oktober,34,Belanja Daerah,1487332810206.0,827902120032.53,55.66,False,False
Papua Barat Daya,38,2025,11,November,35,Belanja Daerah,1487332810206.0,1153967242652.5,77.59,False,False
Papua Barat Daya,38,2025,12,Desember,36,Belanja Daerah,1487332810206.0,1557631781387.8,104.73,False,False
Papua Barat Daya,38,2026,1,Januari,37,Belanja Daerah,1080257817255.2,21047961180.0,1.95,False,False
Papua Barat Daya,38,2026,2,Februari,38,Belanja Daerah,1080257817255.2,60827149500.0,5.63,False,False
Papua Barat Daya,38,2026,3,Maret,39,Belanja Daerah,1080257817255.2,135102642161.44,12.51,False,False
Papua Barat Daya,38,2026,4,April,40,Belanja Daerah,1080257817255.2,204409308809.44,18.92,False,False
Papua Barat Daya,38,2026,5,Mei,41,Belanja Daerah,1080257817255.2,331002234569.67,30.64,False,False
Papua Barat Daya,38,2026,6,Juni,42,Belanja Daerah,1080257817255.2,393400720086.67,36.42,False,False
Papua Barat Daya,38,2026,7,Juli,43,Belanja Daerah,1080257817255.2,497748547950.55,46.08,False,False
Papua Barat Daya,38,2026,8,Agustus,44,Belanja Daerah,1080257817255.2,595141497311.55,55.09,False,False
Papua Barat Daya,38,2026,9,September,45,Belanja Daerah,1080257817255.2,607397342075.55,56.23,False,False
Papua Barat Daya,38,2026,10,Oktober,46,Belanja Daerah,1080257817255.2,607397342075.55,56.23,False,True
Papua Barat Daya,38,2026,11,November,47,Belanja Daerah,1080257817255.2,607397342075.55,56.23,False,True
Papua Barat Daya,38,2026,12,Desember,48,Belanja Daerah,1080257817255.2,607397342075.55,56.23,False,True
Papua Barat Daya,38,2023,1,Januari,1,Belanja Hibah,179227669925.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,2,Februari,2,Belanja Hibah,179227669925.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,3,Maret,3,Belanja Hibah,179227669925.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,4,April,4,Belanja Hibah,179227669925.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,5,Mei,5,Belanja Hibah,179227669925.0,0.0,0.0,False,False
Papua Barat Daya,38,2023,6,Juni,6,Belanja Hibah,179227669925.0,500000000.0,0.28,False,False
Papua Barat Daya,38,2023,7,Juli,7,Belanja Hibah,179227669925.0,8320000000.0,4.64,False,False
Papua Barat Daya,38,2023,8,Agustus,8,Belanja Hibah,179227669925.0,34970095875.0,19.51,False,False
