provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Papua Barat,32,2023,1,Januari,1,Belanja Bantuan Keuangan,1550250105781.0,0.0,0.0,False,False
Papua Barat,32,2023,2,Februari,2,Belanja Bantuan Keuangan,1550250105781.0,0.0,0.0,False,False
Papua Barat,32,2023,3,Maret,3,Belanja Bantuan Keuangan,1550250105781.0,0.0,0.0,False,False
Papua Barat,32,2023,4,April,4,Belanja Bantuan Keuangan,1550250105781.0,0.0,0.0,False,False
Papua Barat,32,2023,5,Mei,5,Belanja Bantuan Keuangan,1550250105781.0,0.0,0.0,False,False
Papua Barat,32,2023,6,Juni,6,Belanja Bantuan Keuangan,1550250105781.0,433557596254.0,27.97,False,False
Papua Barat,32,2023,7,Juli,7,Belanja Bantuan Keuangan,1550250105781.0,590020602250.0,38.06,False,False
Papua Barat,32,2023,8,Agustus,8,Belanja Bantuan Keuangan,1550250105781.0,865822492835.0,55.85,False,False
Papua Barat,32,2023,9,September,9,Belanja Bantuan Keuangan,1550250105781.0,1689976790131.0,109.01,False,False
Papua Barat,32,2023,10,Oktober,10,Belanja Bantuan Keuangan,1550250105781.0,1689976790131.0,109.01,False,False
Papua Barat,32,2023,11,November,11,Belanja Bantuan Keuangan,1550250105781.0,1689976790131.0,109.01,False,False
Papua Barat,32,2023,12,Desember,12,Belanja Bantuan Keuangan,1550250105781.0,1604912555166.0,103.53,False,False
Papua Barat,32,2024,1,Januari,13,Belanja Bantuan Keuangan,1544580616865.0,0.0,0.0,False,False
Papua Barat,32,2024,2,Februari,14,Belanja Bantuan Keuangan,1544580616865.0,0.0,0.0,False,False
Papua Barat,32,2024,3,Maret,15,Belanja Bantuan Keuangan,1544580616865.0,35574111540.0,2.3,False,False
Papua Barat,32,2024,4,April,16,Belanja Bantuan Keuangan,1544580616865.0,59486428112.0,3.85,False,False
Papua Barat,32,2024,5,Mei,17,Belanja Bantuan Keuangan,1544580616865.0,86614560250.0,5.61,False,False
Papua Barat,32,2024,6,Juni,18,Belanja Bantuan Keuangan,1544580616865.0,255177338464.0,16.52,False,False
Papua Barat,32,2024,7,Juli,19,Belanja Bantuan Keuangan,1544580616865.0,306713906443.0,19.86,False,False
Papua Barat,32,2024,8,Agustus,20,Belanja Bantuan Keuangan,1544580616865.0,684723100533.0,44.33,False,False
Papua Barat,32,2024,9,September,21,Belanja Bantuan Keuangan,1544580616865.0,754206286144.0,48.83,False,False
Papua Barat,32,2024,10,Oktober,22,Belanja Bantuan Keuangan,1544580616865.0,837480195384.0,54.22,False,False
Papua Barat,32,2024,11,November,23,Belanja Bantuan Keuangan,1544580616865.0,1034142056370.0,66.95,False,False
Papua Barat,32,2024,12,Desember,24,Belanja Bantuan Keuangan,1544580616865.0,1527994227321.0,98.93,False,False
Papua Barat,32,2025,1,Januari,25,Belanja Bantuan Keuangan,905510205304.0,0.0,0.0,False,False
Papua Barat,32,2025,2,Februari,26,Belanja Bantuan Keuangan,905510205304.0,0.0,0.0,False,False
Papua Barat,32,2025,3,Maret,27,Belanja Bantuan Keuangan,905510205304.0,0.0,0.0,False,False
Papua Barat,32,2025,4,April,28,Belanja Bantuan Keuangan,905510205304.0,0.0,0.0,False,False
Papua Barat,32,2025,5,Mei,29,Belanja Bantuan Keuangan,905510205304.0,0.0,0.0,False,False
Papua Barat,32,2025,6,Juni,30,Belanja Bantuan Keuangan,905510205304.0,0.0,0.0,False,False
Papua Barat,32,2025,7,Juli,31,Belanja Bantuan Keuangan,905510205304.0,8229945713.0,0.91,False,False
Papua Barat,32,2025,8,Agustus,32,Belanja Bantuan Keuangan,905510205304.0,8229945713.0,0.91,False,False
Papua Barat,32,2025,9,September,33,Belanja Bantuan Keuangan,905510205304.0,458860048365.0,50.67,False,False
