provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Papua,26,2023,1,Januari,1,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,2,Februari,2,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,3,Maret,3,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,4,April,4,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,5,Mei,5,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,6,Juni,6,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,7,Juli,7,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,8,Agustus,8,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,9,September,9,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,10,Oktober,10,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Papua,26,2023,11,November,11,Belanja Bantuan Keuangan,0.0,2000000000.0,0.0,False,False
Papua,26,2023,12,Desember,12,Belanja Bantuan Keuangan,0.0,12000000000.0,0.0,False,False
Papua,26,2023,1,Januari,1,Belanja Bantuan Sosial,16921911401.0,0.0,0.0,False,False
Papua,26,2023,2,Februari,2,Belanja Bantuan Sosial,16921911401.0,0.0,0.0,False,False
Papua,26,2023,3,Maret,3,Belanja Bantuan Sosial,16921911401.0,0.0,0.0,False,False
Papua,26,2023,4,April,4,Belanja Bantuan Sosial,16921911401.0,100000000.0,0.59,False,False
Papua,26,2023,5,Mei,5,Belanja Bantuan Sosial,16921911401.0,100000000.0,0.59,False,False
Papua,26,2023,6,Juni,6,Belanja Bantuan Sosial,16921911401.0,780000000.0,4.61,False,False
Papua,26,2023,7,Juli,7,Belanja Bantuan Sosial,16921911401.0,1535000000.0,9.07,False,False
Papua,26,2023,8,Agustus,8,Belanja Bantuan Sosial,16921911401.0,2345000000.0,13.86,False,False
Papua,26,2023,9,September,9,Belanja Bantuan Sosial,16921911401.0,2656863131.0,15.7,False,False
Papua,26,2023,10,Oktober,10,Belanja Bantuan Sosial,16921911401.0,3426863131.0,20.25,False,False
Papua,26,2023,11,November,11,Belanja Bantuan Sosial,16921911401.0,9591507364.0,56.68,False,False
Papua,26,2023,12,Desember,12,Belanja Bantuan Sosial,16921911401.0,18803839668.0,111.12,False,False
Papua,26,2024,1,Januari,13,Belanja Bantuan Sosial,574000000.0,0.0,0.0,False,False
Papua,26,2024,2,Februari,14,Belanja Bantuan Sosial,574000000.0,0.0,0.0,False,False
Papua,26,2024,3,Maret,15,Belanja Bantuan Sosial,574000000.0,0.0,0.0,False,False
Papua,26,2024,4,April,16,Belanja Bantuan Sosial,574000000.0,140000000.0,24.39,False,False
Papua,26,2024,5,Mei,17,Belanja Bantuan Sosial,574000000.0,140000000.0,24.39,False,False
Papua,26,2024,6,Juni,18,Belanja Bantuan Sosial,574000000.0,0.0,0.0,False,False
Papua,26,2024,7,Juli,19,Belanja Bantuan Sosial,574000000.0,140000000.0,24.39,False,False
Papua,26,2024,8,Agustus,20,Belanja Bantuan Sosial,574000000.0,140000000.0,24.39,False,False
Papua,26,2024,9,September,21,Belanja Bantuan Sosial,574000000.0,304000000.0,52.96,False,False
Papua,26,2024,10,Oktober,22,Belanja Bantuan Sosial,574000000.0,574000000.0,100.0,False,False
Papua,26,2024,11,November,23,Belanja Bantuan Sosial,574000000.0,1372000000.0,239.02,False,False
Papua,26,2024,12,Desember,24,Belanja Bantuan Sosial,574000000.0,1372000000.0,239.02,False,True
Papua,26,2025,1,Januari,25,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,2,Februari,26,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,3,Maret,27,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,4,April,28,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,5,Mei,29,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,6,Juni,30,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,7,Juli,31,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,8,Agustus,32,Belanja Bantuan Sosial,6508047327.0,0.0,0.0,False,False
Papua,26,2025,9,September,33,Belanja Bantuan Sosial,6508047327.0,200000000.0,3.07,False,False
Papua,26,2025,10,Oktober,34,Belanja Bantuan Sosial,6508047327.0,400000000.0,6.15,False,False
Papua,26,2025,11,November,35,Belanja Bantuan Sosial,6508047327.0,2843000000.0,43.68,False,False
Papua,26,2025,12,Desember,36,Belanja Bantuan Sosial,6508047327.0,3540459451.0,54.4,False,False
Papua,26,2026,1,Januari,37,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,2,Februari,38,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,3,Maret,39,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,4,April,40,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,5,Mei,41,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,6,Juni,42,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,7,Juli,43,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,8,Agustus,44,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,9,September,45,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,10,Oktober,46,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,11,November,47,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2026,12,Desember,48,Belanja Bantuan Sosial,8451374000.0,0.0,0.0,True,False
Papua,26,2023,1,Januari,1,Belanja Barang dan Jasa,1455606710183.0,0.0,0.0,False,False
Papua,26,2023,2,Februari,2,Belanja Barang dan Jasa,1455606710183.0,764328348.0,0.05,False,False
Papua,26,2023,3,Maret,3,Belanja Barang dan Jasa,1455606710183.0,30668414292.0,2.11,False,False
Papua,26,2023,4,April,4,Belanja Barang dan Jasa,1455606710183.0,91227842256.0,6.27,False,False
Papua,26,2023,5,Mei,5,Belanja Barang dan Jasa,1455606710183.0,91227842256.0,6.27,False,False
Papua,26,2023,6,Juni,6,Belanja Barang dan Jasa,1455606710183.0,195069538313.5,13.4,False,False
Papua,26,2023,7,Juli,7,Belanja Barang dan Jasa,1455606710183.0,310451965996.36,21.33,False,False
Papua,26,2023,8,Agustus,8,Belanja Barang dan Jasa,1455606710183.0,423644247265.61,29.1,False,False
Papua,26,2023,9,September,9,Belanja Barang dan Jasa,1455606710183.0,537553473483.39,36.93,False,False
Papua,26,2023,10,Oktober,10,Belanja Barang dan Jasa,1455606710183.0,671192565358.48,46.11,False,False
Papua,26,2023,11,November,11,Belanja Barang dan Jasa,1455606710183.0,996172099962.83,68.44,False,False
Papua,26,2023,12,Desember,12,Belanja Barang dan Jasa,1455606710183.0,2047771490586.4,140.68,False,False
Papua,26,2024,1,Januari,13,Belanja Barang dan Jasa,1175355002555.0,7084904423.0,0.6,False,False
Papua,26,2024,2,Februari,14,Belanja Barang dan Jasa,1175355002555.0,30431139198.0,2.59,False,False
Papua,26,2024,3,Maret,15,Belanja Barang dan Jasa,1175355002555.0,82154511372.0,6.99,False,False
Papua,26,2024,4,April,16,Belanja Barang dan Jasa,1175355002555.0,118517517327.0,10.08,False,False
Papua,26,2024,5,Mei,17,Belanja Barang dan Jasa,1175355002555.0,186486011469.0,15.87,False,False
Papua,26,2024,6,Juni,18,Belanja Barang dan Jasa,1175355002555.0,244337167276.0,20.79,False,False
Papua,26,2024,7,Juli,19,Belanja Barang dan Jasa,1175355002555.0,284198496113.6,24.18,False,False
Papua,26,2024,8,Agustus,20,Belanja Barang dan Jasa,1175355002555.0,320705766023.6,27.29,False,False
Papua,26,2024,9,September,21,Belanja Barang dan Jasa,1175355002555.0,400905159388.75,34.11,False,False
