provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Riau,4,2023,1,Januari,1,Belanja Bantuan Keuangan,588293734773.0,0.0,0.0,False,False
Riau,4,2023,2,Februari,2,Belanja Bantuan Keuangan,588293734773.0,0.0,0.0,False,False
Riau,4,2023,3,Maret,3,Belanja Bantuan Keuangan,588293734773.0,7812000000.0,1.33,False,False
Riau,4,2023,4,April,4,Belanja Bantuan Keuangan,588293734773.0,31848000000.0,5.41,False,False
Riau,4,2023,5,Mei,5,Belanja Bantuan Keuangan,588293734773.0,31848000000.0,5.41,False,False
Riau,4,2023,6,Juni,6,Belanja Bantuan Keuangan,588293734773.0,74761720933.0,12.71,False,False
Riau,4,2023,7,Juli,7,Belanja Bantuan Keuangan,588293734773.0,157614528401.0,26.79,False,False
Riau,4,2023,8,Agustus,8,Belanja Bantuan Keuangan,588293734773.0,233566273281.0,39.7,False,False
Riau,4,2023,9,September,9,Belanja Bantuan Keuangan,588293734773.0,320357543098.0,54.46,False,False
Riau,4,2023,10,Oktober,10,Belanja Bantuan Keuangan,588293734773.0,383005298098.0,65.1,False,False
Riau,4,2023,11,November,11,Belanja Bantuan Keuangan,588293734773.0,507054842108.0,86.19,False,False
Riau,4,2023,12,Desember,12,Belanja Bantuan Keuangan,588293734773.0,562014307825.0,95.53,False,False
Riau,4,2024,1,Januari,13,Belanja Bantuan Keuangan,460003379000.0,0.0,0.0,False,False
Riau,4,2024,2,Februari,14,Belanja Bantuan Keuangan,460003379000.0,0.0,0.0,False,False
Riau,4,2024,3,Maret,15,Belanja Bantuan Keuangan,460003379000.0,984000000.0,0.21,False,False
Riau,4,2024,4,April,16,Belanja Bantuan Keuangan,460003379000.0,49628425000.0,10.79,False,False
Riau,4,2024,5,Mei,17,Belanja Bantuan Keuangan,460003379000.0,63558102000.0,13.82,False,False
Riau,4,2024,6,Juni,18,Belanja Bantuan Keuangan,460003379000.0,126956674900.0,27.6,False,False
Riau,4,2024,7,Juli,19,Belanja Bantuan Keuangan,460003379000.0,183163143900.0,39.82,False,False
Riau,4,2024,8,Agustus,20,Belanja Bantuan Keuangan,460003379000.0,269327543900.0,58.55,False,False
Riau,4,2024,9,September,21,Belanja Bantuan Keuangan,460003379000.0,324713758380.0,70.59,False,False
Riau,4,2024,10,Oktober,22,Belanja Bantuan Keuangan,460003379000.0,351442160380.0,76.4,False,False
Riau,4,2024,11,November,23,Belanja Bantuan Keuangan,460003379000.0,374624623380.0,81.44,False,False
Riau,4,2024,12,Desember,24,Belanja Bantuan Keuangan,460003379000.0,376531066929.19,81.85,False,False
Riau,4,2025,1,Januari,25,Belanja Bantuan Keuangan,220440425700.0,0.0,0.0,False,False
Riau,4,2025,2,Februari,26,Belanja Bantuan Keuangan,220440425700.0,0.0,0.0,False,False
Riau,4,2025,3,Maret,27,Belanja Bantuan Keuangan,220440425700.0,0.0,0.0,False,False
Riau,4,2025,4,April,28,Belanja Bantuan Keuangan,220440425700.0,7257642000.0,3.29,False,False
Riau,4,2025,5,Mei,29,Belanja Bantuan Keuangan,220440425700.0,11654674800.0,5.29,False,False
Riau,4,2025,6,Juni,30,Belanja Bantuan Keuangan,220440425700.0,19154674800.0,8.69,False,False
Riau,4,2025,7,Juli,31,Belanja Bantuan Keuangan,220440425700.0,20321594800.0,9.22,False,False
Riau,4,2025,8,Agustus,32,Belanja Bantuan Keuangan,220440425700.0,29117881600.0,13.21,False,False
Riau,4,2025,9,September,33,Belanja Bantuan Keuangan,220440425700.0,31901373600.0,14.47,False,False
Riau,4,2025,10,Oktober,34,Belanja Bantuan Keuangan,220440425700.0,39277039600.0,17.82,False,False
Riau,4,2025,11,November,35,Belanja Bantuan Keuangan,220440425700.0,39725839600.0,18.02,False,False
Riau,4,2025,12,Desember,36,Belanja Bantuan Keuangan,220440425700.0,83760921800.0,38.0,False,False
Riau,4,2026,1,Januari,37,Belanja Bantuan Keuangan,175123294000.0,0.0,0.0,False,False
Riau,4,2026,2,Februari,38,Belanja Bantuan Keuangan,175123294000.0,0.0,0.0,False,False
Riau,4,2026,3,Maret,39,Belanja Bantuan Keuangan,175123294000.0,0.0,0.0,False,False
Riau,4,2026,4,April,40,Belanja Bantuan Keuangan,175123294000.0,0.0,0.0,False,False
Riau,4,2026,5,Mei,41,Belanja Bantuan Keuangan,175123294000.0,0.0,0.0,False,False
Riau,4,2026,6,Juni,42,Belanja Bantuan Keuangan,175123294000.0,7500000000.0,4.28,False,False
Riau,4,2026,7,Juli,43,Belanja Bantuan Keuangan,175123294000.0,15000000000.0,8.57,False,False
Riau,4,2026,8,Agustus,44,Belanja Bantuan Keuangan,175123294000.0,15000000000.0,8.57,False,True
Riau,4,2026,9,September,45,Belanja Bantuan Keuangan,175123294000.0,15000000000.0,8.57,False,True
Riau,4,2026,10,Oktober,46,Belanja Bantuan Keuangan,175123294000.0,15000000000.0,8.57,False,True
Riau,4,2026,11,November,47,Belanja Bantuan Keuangan,175123294000.0,15000000000.0,8.57,False,True
Riau,4,2026,12,Desember,48,Belanja Bantuan Keuangan,175123294000.0,15000000000.0,8.57,False,True
Riau,4,2023,1,Januari,1,Belanja Bantuan Sosial,50837846000.0,0.0,0.0,False,False
Riau,4,2023,2,Februari,2,Belanja Bantuan Sosial,50837846000.0,0.0,0.0,False,False
Riau,4,2023,3,Maret,3,Belanja Bantuan Sosial,50837846000.0,0.0,0.0,False,False
Riau,4,2023,4,April,4,Belanja Bantuan Sosial,50837846000.0,7280800000.0,14.32,False,False
Riau,4,2023,5,Mei,5,Belanja Bantuan Sosial,50837846000.0,7280800000.0,14.32,False,False
Riau,4,2023,6,Juni,6,Belanja Bantuan Sosial,50837846000.0,11551000000.0,22.72,False,False
Riau,4,2023,7,Juli,7,Belanja Bantuan Sosial,50837846000.0,13466450000.0,26.49,False,False
Riau,4,2023,8,Agustus,8,Belanja Bantuan Sosial,50837846000.0,15053910000.0,29.61,False,False
Riau,4,2023,9,September,9,Belanja Bantuan Sosial,50837846000.0,16662460000.0,32.78,False,False
Riau,4,2023,10,Oktober,10,Belanja Bantuan Sosial,50837846000.0,17670040000.0,34.76,False,False
Riau,4,2023,11,November,11,Belanja Bantuan Sosial,50837846000.0,17725540000.0,34.87,False,False
Riau,4,2023,12,Desember,12,Belanja Bantuan Sosial,50837846000.0,17727040000.0,34.87,False,False
Riau,4,2024,1,Januari,13,Belanja Bantuan Sosial,44130184000.0,0.0,0.0,False,False
Riau,4,2024,2,Februari,14,Belanja Bantuan Sosial,44130184000.0,0.0,0.0,False,False
