provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Sulawesi Barat,33,2023,1,Januari,1,Belanja Bantuan Keuangan,13585025000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,2,Februari,2,Belanja Bantuan Keuangan,13585025000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,3,Maret,3,Belanja Bantuan Keuangan,13585025000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,4,April,4,Belanja Bantuan Keuangan,13585025000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,5,Mei,5,Belanja Bantuan Keuangan,13585025000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,6,Juni,6,Belanja Bantuan Keuangan,13585025000.0,143750000.0,1.06,False,False
Sulawesi Barat,33,2023,7,Juli,7,Belanja Bantuan Keuangan,13585025000.0,143750000.0,1.06,False,False
Sulawesi Barat,33,2023,8,Agustus,8,Belanja Bantuan Keuangan,13585025000.0,1743750000.0,12.84,False,False
Sulawesi Barat,33,2023,9,September,9,Belanja Bantuan Keuangan,13585025000.0,1743750000.0,12.84,False,False
Sulawesi Barat,33,2023,10,Oktober,10,Belanja Bantuan Keuangan,13585025000.0,1743750000.0,12.84,False,False
Sulawesi Barat,33,2023,11,November,11,Belanja Bantuan Keuangan,13585025000.0,4963750000.0,36.54,False,False
Sulawesi Barat,33,2023,12,Desember,12,Belanja Bantuan Keuangan,13585025000.0,8063750000.0,59.36,False,False
Sulawesi Barat,33,2025,1,Januari,25,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,2,Februari,26,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,3,Maret,27,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,4,April,28,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,5,Mei,29,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,6,Juni,30,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,7,Juli,31,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,8,Agustus,32,Belanja Bantuan Keuangan,17800000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2025,9,September,33,Belanja Bantuan Keuangan,17800000000.0,1400000000.0,7.87,False,False
Sulawesi Barat,33,2025,10,Oktober,34,Belanja Bantuan Keuangan,17800000000.0,1670000000.0,9.38,False,False
Sulawesi Barat,33,2025,11,November,35,Belanja Bantuan Keuangan,17800000000.0,4619000000.0,25.95,False,False
Sulawesi Barat,33,2025,12,Desember,36,Belanja Bantuan Keuangan,17800000000.0,10921500000.0,61.36,False,False
Sulawesi Barat,33,2026,1,Januari,37,Belanja Bantuan Keuangan,29825000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2026,2,Februari,38,Belanja Bantuan Keuangan,29825000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2026,3,Maret,39,Belanja Bantuan Keuangan,29825000000.0,1407000000.0,4.72,False,False
Sulawesi Barat,33,2026,4,April,40,Belanja Bantuan Keuangan,29825000000.0,2012000000.0,6.75,False,False
Sulawesi Barat,33,2026,5,Mei,41,Belanja Bantuan Keuangan,29825000000.0,4884500000.0,16.38,False,False
Sulawesi Barat,33,2026,6,Juni,42,Belanja Bantuan Keuangan,29825000000.0,4884500000.0,16.38,False,False
Sulawesi Barat,33,2026,7,Juli,43,Belanja Bantuan Keuangan,29825000000.0,4884500000.0,16.38,False,False
Sulawesi Barat,33,2026,8,Agustus,44,Belanja Bantuan Keuangan,29825000000.0,5495000000.0,18.42,False,False
Sulawesi Barat,33,2026,9,September,45,Belanja Bantuan Keuangan,29825000000.0,5495000000.0,18.42,False,True
Sulawesi Barat,33,2026,10,Oktober,46,Belanja Bantuan Keuangan,29825000000.0,5495000000.0,18.42,False,True
Sulawesi Barat,33,2026,11,November,47,Belanja Bantuan Keuangan,29825000000.0,5495000000.0,18.42,False,True
Sulawesi Barat,33,2026,12,Desember,48,Belanja Bantuan Keuangan,29825000000.0,5495000000.0,18.42,False,True
Sulawesi Barat,33,2023,1,Januari,1,Belanja Bantuan Sosial,4565000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,2,Februari,2,Belanja Bantuan Sosial,4565000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,3,Maret,3,Belanja Bantuan Sosial,4565000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,4,April,4,Belanja Bantuan Sosial,4565000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,5,Mei,5,Belanja Bantuan Sosial,4565000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,6,Juni,6,Belanja Bantuan Sosial,4565000000.0,0.0,0.0,False,False
Sulawesi Barat,33,2023,7,Juli,7,Belanja Bantuan Sosial,4565000000.0,100000000.0,2.19,False,False
Sulawesi Barat,33,2023,8,Agustus,8,Belanja Bantuan Sosial,4565000000.0,2080000000.0,45.56,False,False
Sulawesi Barat,33,2023,9,September,9,Belanja Bantuan Sosial,4565000000.0,2080000000.0,45.56,False,False
Sulawesi Barat,33,2023,10,Oktober,10,Belanja Bantuan Sosial,4565000000.0,2094740000.0,45.89,False,False
