provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Sulawesi Selatan,20,2023,1,Januari,1,Belanja Bantuan Keuangan,469274263676.0,0.0,0.0,False,False
Sulawesi Selatan,20,2023,2,Februari,2,Belanja Bantuan Keuangan,469274263676.0,100000000.0,0.02,False,False
Sulawesi Selatan,20,2023,3,Maret,3,Belanja Bantuan Keuangan,469274263676.0,100000000.0,0.02,False,False
Sulawesi Selatan,20,2023,4,April,4,Belanja Bantuan Keuangan,469274263676.0,100000000.0,0.02,False,False
Sulawesi Selatan,20,2023,5,Mei,5,Belanja Bantuan Keuangan,469274263676.0,100000000.0,0.02,False,False
Sulawesi Selatan,20,2023,6,Juni,6,Belanja Bantuan Keuangan,469274263676.0,41756798750.0,8.9,False,False
Sulawesi Selatan,20,2023,7,Juli,7,Belanja Bantuan Keuangan,469274263676.0,80543992271.0,17.16,False,False
Sulawesi Selatan,20,2023,8,Agustus,8,Belanja Bantuan Keuangan,469274263676.0,134035125546.0,28.56,False,False
Sulawesi Selatan,20,2023,9,September,9,Belanja Bantuan Keuangan,469274263676.0,176835173961.0,37.68,False,False
Sulawesi Selatan,20,2023,10,Oktober,10,Belanja Bantuan Keuangan,469274263676.0,228138292950.5,48.62,False,False
Sulawesi Selatan,20,2023,11,November,11,Belanja Bantuan Keuangan,469274263676.0,257791058163.5,54.93,False,False
Sulawesi Selatan,20,2023,12,Desember,12,Belanja Bantuan Keuangan,469274263676.0,305291209022.5,65.06,False,False
Sulawesi Selatan,20,2024,1,Januari,13,Belanja Bantuan Keuangan,394434601558.0,0.0,0.0,False,False
Sulawesi Selatan,20,2024,2,Februari,14,Belanja Bantuan Keuangan,394434601558.0,0.0,0.0,False,False
Sulawesi Selatan,20,2024,3,Maret,15,Belanja Bantuan Keuangan,394434601558.0,58102013071.38,14.73,False,False
Sulawesi Selatan,20,2024,4,April,16,Belanja Bantuan Keuangan,394434601558.0,108846743821.38,27.6,False,False
Sulawesi Selatan,20,2024,5,Mei,17,Belanja Bantuan Keuangan,394434601558.0,113476172821.38,28.77,False,False
Sulawesi Selatan,20,2024,6,Juni,18,Belanja Bantuan Keuangan,394434601558.0,113476172821.38,28.77,False,False
Sulawesi Selatan,20,2024,7,Juli,19,Belanja Bantuan Keuangan,394434601558.0,142049820061.88,36.01,False,False
Sulawesi Selatan,20,2024,8,Agustus,20,Belanja Bantuan Keuangan,394434601558.0,162631607452.88,41.23,False,False
Sulawesi Selatan,20,2024,9,September,21,Belanja Bantuan Keuangan,394434601558.0,162631607452.88,41.23,False,False
Sulawesi Selatan,20,2024,10,Oktober,22,Belanja Bantuan Keuangan,394434601558.0,191996996097.38,48.68,False,False
Sulawesi Selatan,20,2024,11,November,23,Belanja Bantuan Keuangan,394434601558.0,222171741376.37,56.33,False,False
Sulawesi Selatan,20,2024,12,Desember,24,Belanja Bantuan Keuangan,394434601558.0,273309602073.36,69.29,False,False
Sulawesi Selatan,20,2025,1,Januari,25,Belanja Bantuan Keuangan,360737792049.0,0.0,0.0,False,False
Sulawesi Selatan,20,2025,2,Februari,26,Belanja Bantuan Keuangan,360737792049.0,0.0,0.0,False,False
Sulawesi Selatan,20,2025,3,Maret,27,Belanja Bantuan Keuangan,360737792049.0,500000000.0,0.14,False,False
Sulawesi Selatan,20,2025,4,April,28,Belanja Bantuan Keuangan,360737792049.0,500000000.0,0.14,False,False
Sulawesi Selatan,20,2025,5,Mei,29,Belanja Bantuan Keuangan,360737792049.0,500000000.0,0.14,False,False
Sulawesi Selatan,20,2025,6,Juni,30,Belanja Bantuan Keuangan,360737792049.0,500000000.0,0.14,False,False
Sulawesi Selatan,20,2025,7,Juli,31,Belanja Bantuan Keuangan,360737792049.0,500000000.0,0.14,False,False
Sulawesi Selatan,20,2025,8,Agustus,32,Belanja Bantuan Keuangan,360737792049.0,2500000000.0,0.69,False,False
Sulawesi Selatan,20,2025,9,September,33,Belanja Bantuan Keuangan,360737792049.0,2500000000.0,0.69,False,False
Sulawesi Selatan,20,2025,10,Oktober,34,Belanja Bantuan Keuangan,360737792049.0,2500000000.0,0.69,False,False
Sulawesi Selatan,20,2025,11,November,35,Belanja Bantuan Keuangan,360737792049.0,32866691005.0,9.11,False,False
Sulawesi Selatan,20,2025,12,Desember,36,Belanja Bantuan Keuangan,360737792049.0,192012751139.0,53.23,False,False
Sulawesi Selatan,20,2026,1,Januari,37,Belanja Bantuan Keuangan,300000000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2026,2,Februari,38,Belanja Bantuan Keuangan,300000000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2026,3,Maret,39,Belanja Bantuan Keuangan,300000000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2026,4,April,40,Belanja Bantuan Keuangan,300000000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2026,5,Mei,41,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,False
Sulawesi Selatan,20,2026,6,Juni,42,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2026,7,Juli,43,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2026,8,Agustus,44,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2026,9,September,45,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2026,10,Oktober,46,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2026,11,November,47,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2026,12,Desember,48,Belanja Bantuan Keuangan,300000000000.0,1000000000.0,0.33,False,True
Sulawesi Selatan,20,2023,1,Januari,1,Belanja Bantuan Sosial,2450000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2023,2,Februari,2,Belanja Bantuan Sosial,2450000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2023,3,Maret,3,Belanja Bantuan Sosial,2450000000.0,0.0,0.0,False,False
Sulawesi Selatan,20,2023,4,April,4,Belanja Bantuan Sosial,2450000000.0,180000000.0,7.35,False,False
Sulawesi Selatan,20,2023,5,Mei,5,Belanja Bantuan Sosial,2450000000.0,180000000.0,7.35,False,False
Sulawesi Selatan,20,2023,6,Juni,6,Belanja Bantuan Sosial,2450000000.0,180000000.0,7.35,False,False
Sulawesi Selatan,20,2023,7,Juli,7,Belanja Bantuan Sosial,2450000000.0,360000000.0,14.69,False,False
Sulawesi Selatan,20,2023,8,Agustus,8,Belanja Bantuan Sosial,2450000000.0,360000000.0,14.69,False,False
Sulawesi Selatan,20,2023,9,September,9,Belanja Bantuan Sosial,2450000000.0,360000000.0,14.69,False,False
Sulawesi Selatan,20,2023,10,Oktober,10,Belanja Bantuan Sosial,2450000000.0,534150000.0,21.8,False,False
Sulawesi Selatan,20,2023,11,November,11,Belanja Bantuan Sosial,2450000000.0,534150000.0,21.8,False,False
Sulawesi Selatan,20,2023,12,Desember,12,Belanja Bantuan Sosial,2450000000.0,1469604500.0,59.98,False,False
Sulawesi Selatan,20,2024,1,Januari,13,Belanja Bantuan Sosial,3510000000.0,0.0,0.0,False,False
