provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Sulawesi Tengah,19,2023,1,Januari,1,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,2,Februari,2,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,3,Maret,3,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,4,April,4,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,5,Mei,5,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,6,Juni,6,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,7,Juli,7,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,8,Agustus,8,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,9,September,9,Belanja Bantuan Keuangan,42800001000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2023,10,Oktober,10,Belanja Bantuan Keuangan,42800001000.0,5380000000.0,12.57,False,False
Sulawesi Tengah,19,2023,11,November,11,Belanja Bantuan Keuangan,42800001000.0,25153033580.0,58.77,False,False
Sulawesi Tengah,19,2023,12,Desember,12,Belanja Bantuan Keuangan,42800001000.0,40060143660.0,93.6,False,False
Sulawesi Tengah,19,2024,1,Januari,13,Belanja Bantuan Keuangan,19100000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2024,2,Februari,14,Belanja Bantuan Keuangan,19100000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2024,3,Maret,15,Belanja Bantuan Keuangan,19100000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2024,4,April,16,Belanja Bantuan Keuangan,19100000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2024,5,Mei,17,Belanja Bantuan Keuangan,19100000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2024,6,Juni,18,Belanja Bantuan Keuangan,19100000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2024,7,Juli,19,Belanja Bantuan Keuangan,19100000000.0,8502164300.0,44.51,False,False
Sulawesi Tengah,19,2024,8,Agustus,20,Belanja Bantuan Keuangan,19100000000.0,16575842894.0,86.78,False,False
Sulawesi Tengah,19,2024,9,September,21,Belanja Bantuan Keuangan,19100000000.0,16575842894.0,86.78,False,False
Sulawesi Tengah,19,2024,10,Oktober,22,Belanja Bantuan Keuangan,19100000000.0,16575842894.0,86.78,False,False
Sulawesi Tengah,19,2024,11,November,23,Belanja Bantuan Keuangan,19100000000.0,16575842894.0,86.78,False,False
Sulawesi Tengah,19,2024,12,Desember,24,Belanja Bantuan Keuangan,19100000000.0,17549562894.0,91.88,False,False
Sulawesi Tengah,19,2025,1,Januari,25,Belanja Bantuan Keuangan,2250000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2025,2,Februari,26,Belanja Bantuan Keuangan,2250000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2025,3,Maret,27,Belanja Bantuan Keuangan,2250000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2025,4,April,28,Belanja Bantuan Keuangan,2250000000.0,0.0,0.0,False,False
Sulawesi Tengah,19,2025,5,Mei,29,Belanja Bantuan Keuangan,2250000000.0,13600000000.0,604.44,False,False
