provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Sumatera Barat,3,2023,1,Januari,1,Belanja Bantuan Keuangan,40778977832.0,0.0,0.0,False,False
Sumatera Barat,3,2023,2,Februari,2,Belanja Bantuan Keuangan,40778977832.0,0.0,0.0,False,False
Sumatera Barat,3,2023,3,Maret,3,Belanja Bantuan Keuangan,40778977832.0,0.0,0.0,False,False
Sumatera Barat,3,2023,4,April,4,Belanja Bantuan Keuangan,40778977832.0,0.0,0.0,False,False
Sumatera Barat,3,2023,5,Mei,5,Belanja Bantuan Keuangan,40778977832.0,0.0,0.0,False,False
Sumatera Barat,3,2023,6,Juni,6,Belanja Bantuan Keuangan,40778977832.0,4650000000.0,11.4,False,False
Sumatera Barat,3,2023,7,Juli,7,Belanja Bantuan Keuangan,40778977832.0,7610000000.0,18.66,False,False
Sumatera Barat,3,2023,8,Agustus,8,Belanja Bantuan Keuangan,40778977832.0,13678848000.0,33.54,False,False
Sumatera Barat,3,2023,9,September,9,Belanja Bantuan Keuangan,40778977832.0,13678848000.0,33.54,False,False
Sumatera Barat,3,2023,10,Oktober,10,Belanja Bantuan Keuangan,40778977832.0,15722999000.0,38.56,False,False
Sumatera Barat,3,2023,11,November,11,Belanja Bantuan Keuangan,40778977832.0,24992801400.0,61.29,False,False
Sumatera Barat,3,2023,12,Desember,12,Belanja Bantuan Keuangan,40778977832.0,33072676832.0,81.1,False,False
Sumatera Barat,3,2024,1,Januari,13,Belanja Bantuan Keuangan,47646100000.0,0.0,0.0,False,False
Sumatera Barat,3,2024,2,Februari,14,Belanja Bantuan Keuangan,47646100000.0,0.0,0.0,False,False
Sumatera Barat,3,2024,3,Maret,15,Belanja Bantuan Keuangan,47646100000.0,0.0,0.0,False,False
Sumatera Barat,3,2024,4,April,16,Belanja Bantuan Keuangan,47646100000.0,0.0,0.0,False,False
Sumatera Barat,3,2024,5,Mei,17,Belanja Bantuan Keuangan,47646100000.0,1200000000.0,2.52,False,False
Sumatera Barat,3,2024,6,Juni,18,Belanja Bantuan Keuangan,47646100000.0,1200000000.0,2.52,False,False
Sumatera Barat,3,2024,7,Juli,19,Belanja Bantuan Keuangan,47646100000.0,35158379236.46,73.79,False,False
Sumatera Barat,3,2024,8,Agustus,20,Belanja Bantuan Keuangan,47646100000.0,41017315469.46,86.09,False,False
Sumatera Barat,3,2024,9,September,21,Belanja Bantuan Keuangan,47646100000.0,41017315469.46,86.09,False,False
Sumatera Barat,3,2024,10,Oktober,22,Belanja Bantuan Keuangan,47646100000.0,41017315469.46,86.09,False,False
Sumatera Barat,3,2024,11,November,23,Belanja Bantuan Keuangan,47646100000.0,41516315469.46,87.13,False,False
Sumatera Barat,3,2024,12,Desember,24,Belanja Bantuan Keuangan,47646100000.0,41516315469.46,87.13,False,True
Sumatera Barat,3,2025,1,Januari,25,Belanja Bantuan Keuangan,31309498700.0,0.0,0.0,False,False
Sumatera Barat,3,2025,2,Februari,26,Belanja Bantuan Keuangan,31309498700.0,0.0,0.0,False,False
Sumatera Barat,3,2025,3,Maret,27,Belanja Bantuan Keuangan,31309498700.0,0.0,0.0,False,False
Sumatera Barat,3,2025,4,April,28,Belanja Bantuan Keuangan,31309498700.0,7809498700.0,24.94,False,False
Sumatera Barat,3,2025,5,Mei,29,Belanja Bantuan Keuangan,31309498700.0,7809498700.0,24.94,False,False
Sumatera Barat,3,2025,6,Juni,30,Belanja Bantuan Keuangan,31309498700.0,7809498700.0,24.94,False,False
Sumatera Barat,3,2025,7,Juli,31,Belanja Bantuan Keuangan,31309498700.0,24177926260.0,77.22,False,False
Sumatera Barat,3,2025,8,Agustus,32,Belanja Bantuan Keuangan,31309498700.0,24177926260.0,77.22,False,False
Sumatera Barat,3,2025,9,September,33,Belanja Bantuan Keuangan,31309498700.0,24177926260.0,77.22,False,False
Sumatera Barat,3,2025,10,Oktober,34,Belanja Bantuan Keuangan,31309498700.0,24177926260.0,77.22,False,False
Sumatera Barat,3,2025,11,November,35,Belanja Bantuan Keuangan,31309498700.0,31177926260.0,99.58,False,False
Sumatera Barat,3,2025,12,Desember,36,Belanja Bantuan Keuangan,31309498700.0,55437896260.0,177.06,False,False
Sumatera Barat,3,2026,1,Januari,37,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Sumatera Barat,3,2026,2,Februari,38,Belanja Bantuan Keuangan,0.0,0.0,0.0,False,False
Sumatera Barat,3,2026,3,Maret,39,Belanja Bantuan Keuangan,0.0,1800000000.0,0.0,False,False
Sumatera Barat,3,2026,4,April,40,Belanja Bantuan Keuangan,0.0,1800000000.0,0.0,False,False
Sumatera Barat,3,2026,5,Mei,41,Belanja Bantuan Keuangan,0.0,3164736000.0,0.0,False,False
Sumatera Barat,3,2026,6,Juni,42,Belanja Bantuan Keuangan,0.0,4564736000.0,0.0,False,False
Sumatera Barat,3,2026,7,Juli,43,Belanja Bantuan Keuangan,0.0,5114736000.0,0.0,False,False
Sumatera Barat,3,2026,8,Agustus,44,Belanja Bantuan Keuangan,0.0,5114736000.0,0.0,False,True
Sumatera Barat,3,2026,9,September,45,Belanja Bantuan Keuangan,0.0,5114736000.0,0.0,False,True
Sumatera Barat,3,2026,10,Oktober,46,Belanja Bantuan Keuangan,0.0,5114736000.0,0.0,False,True
Sumatera Barat,3,2026,11,November,47,Belanja Bantuan Keuangan,0.0,5114736000.0,0.0,False,True
Sumatera Barat,3,2026,12,Desember,48,Belanja Bantuan Keuangan,0.0,5114736000.0,0.0,False,True
Sumatera Barat,3,2024,1,Januari,13,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,2,Februari,14,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,3,Maret,15,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,4,April,16,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,5,Mei,17,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,6,Juni,18,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,7,Juli,19,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,8,Agustus,20,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,9,September,21,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,10,Oktober,22,Belanja Bantuan Sosial,130447500.0,0.0,0.0,False,False
Sumatera Barat,3,2024,11,November,23,Belanja Bantuan Sosial,130447500.0,118447500.0,90.8,False,False
Sumatera Barat,3,2024,12,Desember,24,Belanja Bantuan Sosial,130447500.0,130447500.0,100.0,False,False
Sumatera Barat,3,2023,1,Januari,1,Belanja Barang dan Jasa,2036514739480.0,14737894307.0,0.72,False,False
Sumatera Barat,3,2023,2,Februari,2,Belanja Barang dan Jasa,2036514739480.0,70033657959.0,3.44,False,False
Sumatera Barat,3,2023,3,Maret,3,Belanja Barang dan Jasa,2036514739480.0,171031255175.0,8.4,False,False
Sumatera Barat,3,2023,4,April,4,Belanja Barang dan Jasa,2036514739480.0,290386322729.0,14.26,False,False
Sumatera Barat,3,2023,5,Mei,5,Belanja Barang dan Jasa,2036514739480.0,290386322729.0,14.26,False,False
Sumatera Barat,3,2023,6,Juni,6,Belanja Barang dan Jasa,2036514739480.0,425707915096.0,20.9,False,False
Sumatera Barat,3,2023,7,Juli,7,Belanja Barang dan Jasa,2036514739480.0,553604502088.0,27.18,False,False
Sumatera Barat,3,2023,8,Agustus,8,Belanja Barang dan Jasa,2036514739480.0,700617991429.0,34.4,False,False
Sumatera Barat,3,2023,9,September,9,Belanja Barang dan Jasa,2036514739480.0,842239889139.0,41.36,False,False
Sumatera Barat,3,2023,10,Oktober,10,Belanja Barang dan Jasa,2036514739480.0,979304078232.0,48.09,False,False
Sumatera Barat,3,2023,11,November,11,Belanja Barang dan Jasa,2036514739480.0,1164769354192.0,57.19,False,False
Sumatera Barat,3,2023,12,Desember,12,Belanja Barang dan Jasa,2036514739480.0,1811486537403.0,88.95,False,False
Sumatera Barat,3,2024,1,Januari,13,Belanja Barang dan Jasa,1935171371802.0,15409110279.0,0.8,False,False
Sumatera Barat,3,2024,2,Februari,14,Belanja Barang dan Jasa,1935171371802.0,71630125219.0,3.7,False,False
Sumatera Barat,3,2024,3,Maret,15,Belanja Barang dan Jasa,1935171371802.0,175396620490.48,9.06,False,False
Sumatera Barat,3,2024,4,April,16,Belanja Barang dan Jasa,1935171371802.0,286691871034.64,14.81,False,False
Sumatera Barat,3,2024,5,Mei,17,Belanja Barang dan Jasa,1935171371802.0,417961917601.64,21.6,False,False
Sumatera Barat,3,2024,6,Juni,18,Belanja Barang dan Jasa,1935171371802.0,662917279737.64,34.26,False,False
Sumatera Barat,3,2024,7,Juli,19,Belanja Barang dan Jasa,1935171371802.0,666617006699.64,34.45,False,False
Sumatera Barat,3,2024,8,Agustus,20,Belanja Barang dan Jasa,1935171371802.0,791526080951.45,40.9,False,False
Sumatera Barat,3,2024,9,September,21,Belanja Barang dan Jasa,1935171371802.0,912273377639.45,47.14,False,False
Sumatera Barat,3,2024,10,Oktober,22,Belanja Barang dan Jasa,1935171371802.0,1049245784487.4,54.22,False,False
Sumatera Barat,3,2024,11,November,23,Belanja Barang dan Jasa,1935171371802.0,1235151784207.2,63.83,False,False
Sumatera Barat,3,2024,12,Desember,24,Belanja Barang dan Jasa,1935171371802.0,1803917885970.9,93.22,False,False
Sumatera Barat,3,2025,1,Januari,25,Belanja Barang dan Jasa,1728072151104.7,18412407458.0,1.07,False,False
Sumatera Barat,3,2025,2,Februari,26,Belanja Barang dan Jasa,1728072151104.7,62370229987.0,3.61,False,False
Sumatera Barat,3,2025,3,Maret,27,Belanja Barang dan Jasa,1728072151104.7,175508321552.0,10.16,False,False
Sumatera Barat,3,2025,4,April,28,Belanja Barang dan Jasa,1728072151104.7,256199477250.75,14.83,False,False
Sumatera Barat,3,2025,5,Mei,29,Belanja Barang dan Jasa,1728072151104.7,349232655774.75,20.21,False,False
Sumatera Barat,3,2025,6,Juni,30,Belanja Barang dan Jasa,1728072151104.7,593098634270.75,34.32,False,False
Sumatera Barat,3,2025,7,Juli,31,Belanja Barang dan Jasa,1728072151104.7,568746695512.75,32.91,False,False
Sumatera Barat,3,2025,8,Agustus,32,Belanja Barang dan Jasa,1728072151104.7,675089206124.75,39.07,False,False
Sumatera Barat,3,2025,9,September,33,Belanja Barang dan Jasa,1728072151104.7,774003319983.75,44.79,False,False
Sumatera Barat,3,2025,10,Oktober,34,Belanja Barang dan Jasa,1728072151104.7,912135121493.75,52.78,False,False
Sumatera Barat,3,2025,11,November,35,Belanja Barang dan Jasa,1728072151104.7,1080703175307.8,62.54,False,False
Sumatera Barat,3,2025,12,Desember,36,Belanja Barang dan Jasa,1728072151104.7,1641154733941.4,94.97,False,False
