provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Sumatera Selatan,6,2023,1,Januari,1,Belanja Bantuan Keuangan,1844936267453.0,0.0,0.0,False,False
Sumatera Selatan,6,2023,2,Februari,2,Belanja Bantuan Keuangan,1844936267453.0,0.0,0.0,False,False
Sumatera Selatan,6,2023,3,Maret,3,Belanja Bantuan Keuangan,1844936267453.0,0.0,0.0,False,False
Sumatera Selatan,6,2023,4,April,4,Belanja Bantuan Keuangan,1844936267453.0,0.0,0.0,False,False
Sumatera Selatan,6,2023,5,Mei,5,Belanja Bantuan Keuangan,1844936267453.0,0.0,0.0,False,False
Sumatera Selatan,6,2023,6,Juni,6,Belanja Bantuan Keuangan,1844936267453.0,0.0,0.0,False,False
Sumatera Selatan,6,2023,7,Juli,7,Belanja Bantuan Keuangan,1844936267453.0,43087659190.02,2.34,False,False
Sumatera Selatan,6,2023,8,Agustus,8,Belanja Bantuan Keuangan,1844936267453.0,108250601290.02,5.87,False,False
Sumatera Selatan,6,2023,9,September,9,Belanja Bantuan Keuangan,1844936267453.0,305829626551.0,16.58,False,False
Sumatera Selatan,6,2023,10,Oktober,10,Belanja Bantuan Keuangan,1844936267453.0,551216907385.36,29.88,False,False
Sumatera Selatan,6,2023,11,November,11,Belanja Bantuan Keuangan,1844936267453.0,856771945088.79,46.44,False,False
Sumatera Selatan,6,2023,12,Desember,12,Belanja Bantuan Keuangan,1844936267453.0,1245491987384.2,67.51,False,False
Sumatera Selatan,6,2024,1,Januari,13,Belanja Bantuan Keuangan,1603827801085.0,0.0,0.0,False,False
Sumatera Selatan,6,2024,2,Februari,14,Belanja Bantuan Keuangan,1603827801085.0,0.0,0.0,False,False
Sumatera Selatan,6,2024,3,Maret,15,Belanja Bantuan Keuangan,1603827801085.0,331537631336.92,20.67,False,False
Sumatera Selatan,6,2024,4,April,16,Belanja Bantuan Keuangan,1603827801085.0,331537631336.92,20.67,False,False
Sumatera Selatan,6,2024,5,Mei,17,Belanja Bantuan Keuangan,1603827801085.0,518546763273.32,32.33,False,False
Sumatera Selatan,6,2024,6,Juni,18,Belanja Bantuan Keuangan,1603827801085.0,570181681409.92,35.55,False,False
Sumatera Selatan,6,2024,7,Juli,19,Belanja Bantuan Keuangan,1603827801085.0,693169964977.92,43.22,False,False
Sumatera Selatan,6,2024,8,Agustus,20,Belanja Bantuan Keuangan,1603827801085.0,698897062477.92,43.58,False,False
Sumatera Selatan,6,2024,9,September,21,Belanja Bantuan Keuangan,1603827801085.0,760349060077.92,47.41,False,False
