provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Sumatera Utara,2,2023,1,Januari,1,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,2,Februari,2,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,3,Maret,3,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,4,April,4,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,5,Mei,5,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,6,Juni,6,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,7,Juli,7,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,8,Agustus,8,Belanja Bantuan Keuangan,342072000000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,9,September,9,Belanja Bantuan Keuangan,342072000000.0,43993637811.0,12.86,False,False
Sumatera Utara,2,2023,10,Oktober,10,Belanja Bantuan Keuangan,342072000000.0,94865449142.0,27.73,False,False
Sumatera Utara,2,2023,11,November,11,Belanja Bantuan Keuangan,342072000000.0,123089363550.81,35.98,False,False
Sumatera Utara,2,2023,12,Desember,12,Belanja Bantuan Keuangan,342072000000.0,327607200913.55,95.77,False,False
Sumatera Utara,2,2024,1,Januari,13,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,2,Februari,14,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,3,Maret,15,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,4,April,16,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,5,Mei,17,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,6,Juni,18,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,7,Juli,19,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,8,Agustus,20,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,9,September,21,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,10,Oktober,22,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,11,November,23,Belanja Bantuan Keuangan,338048680000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,12,Desember,24,Belanja Bantuan Keuangan,338048680000.0,183313118308.0,54.23,False,False
Sumatera Utara,2,2025,1,Januari,25,Belanja Bantuan Keuangan,128523530622.0,0.0,0.0,False,False
Sumatera Utara,2,2025,2,Februari,26,Belanja Bantuan Keuangan,128523530622.0,0.0,0.0,False,False
Sumatera Utara,2,2025,3,Maret,27,Belanja Bantuan Keuangan,128523530622.0,16850357816.0,13.11,False,False
Sumatera Utara,2,2025,4,April,28,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,5,Mei,29,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,6,Juni,30,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,7,Juli,31,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,8,Agustus,32,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,9,September,33,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,10,Oktober,34,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,11,November,35,Belanja Bantuan Keuangan,128523530622.0,28714307816.0,22.34,False,False
Sumatera Utara,2,2025,12,Desember,36,Belanja Bantuan Keuangan,128523530622.0,148372020622.0,115.44,False,False
Sumatera Utara,2,2026,1,Januari,37,Belanja Bantuan Keuangan,220000000000.0,0.0,0.0,False,False
Sumatera Utara,2,2026,2,Februari,38,Belanja Bantuan Keuangan,220000000000.0,0.0,0.0,False,False
Sumatera Utara,2,2026,3,Maret,39,Belanja Bantuan Keuangan,220000000000.0,0.0,0.0,False,False
Sumatera Utara,2,2026,4,April,40,Belanja Bantuan Keuangan,220000000000.0,0.0,0.0,False,False
Sumatera Utara,2,2026,5,Mei,41,Belanja Bantuan Keuangan,220000000000.0,4963636616.0,2.26,False,False
Sumatera Utara,2,2026,6,Juni,42,Belanja Bantuan Keuangan,220000000000.0,29963636616.0,13.62,False,False
Sumatera Utara,2,2026,7,Juli,43,Belanja Bantuan Keuangan,220000000000.0,36903562760.0,16.77,False,False
Sumatera Utara,2,2026,8,Agustus,44,Belanja Bantuan Keuangan,220000000000.0,145540090195.0,66.15,False,False
Sumatera Utara,2,2026,9,September,45,Belanja Bantuan Keuangan,220000000000.0,164459129795.0,74.75,False,False
Sumatera Utara,2,2026,10,Oktober,46,Belanja Bantuan Keuangan,220000000000.0,164459129795.0,74.75,False,True
Sumatera Utara,2,2026,11,November,47,Belanja Bantuan Keuangan,220000000000.0,164459129795.0,74.75,False,True
Sumatera Utara,2,2026,12,Desember,48,Belanja Bantuan Keuangan,220000000000.0,164459129795.0,74.75,False,True
Sumatera Utara,2,2023,1,Januari,1,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,2,Februari,2,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,3,Maret,3,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,4,April,4,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,5,Mei,5,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,6,Juni,6,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,7,Juli,7,Belanja Bantuan Sosial,23509600000.0,0.0,0.0,False,False
Sumatera Utara,2,2023,8,Agustus,8,Belanja Bantuan Sosial,23509600000.0,8656000000.0,36.82,False,False
Sumatera Utara,2,2023,9,September,9,Belanja Bantuan Sosial,23509600000.0,16516000000.0,70.25,False,False
Sumatera Utara,2,2023,10,Oktober,10,Belanja Bantuan Sosial,23509600000.0,13400329042.0,57.0,False,False
Sumatera Utara,2,2023,11,November,11,Belanja Bantuan Sosial,23509600000.0,13400329042.0,57.0,False,False
Sumatera Utara,2,2023,12,Desember,12,Belanja Bantuan Sosial,23509600000.0,13500329042.0,57.42,False,False
Sumatera Utara,2,2024,1,Januari,13,Belanja Bantuan Sosial,13294000000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,2,Februari,14,Belanja Bantuan Sosial,13294000000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,3,Maret,15,Belanja Bantuan Sosial,13294000000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,4,April,16,Belanja Bantuan Sosial,13294000000.0,0.0,0.0,False,False
Sumatera Utara,2,2024,5,Mei,17,Belanja Bantuan Sosial,13294000000.0,4000000.0,0.03,False,False
Sumatera Utara,2,2024,6,Juni,18,Belanja Bantuan Sosial,13294000000.0,4000000.0,0.03,False,False
Sumatera Utara,2,2024,7,Juli,19,Belanja Bantuan Sosial,13294000000.0,4000000.0,0.03,False,False
Sumatera Utara,2,2024,8,Agustus,20,Belanja Bantuan Sosial,13294000000.0,6649000000.0,50.02,False,False
Sumatera Utara,2,2024,9,September,21,Belanja Bantuan Sosial,13294000000.0,6649000000.0,50.02,False,False
Sumatera Utara,2,2024,10,Oktober,22,Belanja Bantuan Sosial,13294000000.0,12919000000.0,97.18,False,False
Sumatera Utara,2,2024,11,November,23,Belanja Bantuan Sosial,13294000000.0,13294000000.0,100.0,False,False
Sumatera Utara,2,2024,12,Desember,24,Belanja Bantuan Sosial,13294000000.0,13294000000.0,100.0,False,True
Sumatera Utara,2,2025,1,Januari,25,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,2,Februari,26,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,3,Maret,27,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,4,April,28,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,5,Mei,29,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,6,Juni,30,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,7,Juli,31,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,8,Agustus,32,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,9,September,33,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,10,Oktober,34,Belanja Bantuan Sosial,14807815130.0,0.0,0.0,False,False
Sumatera Utara,2,2025,11,November,35,Belanja Bantuan Sosial,14807815130.0,6000000000.0,40.52,False,False
Sumatera Utara,2,2025,12,Desember,36,Belanja Bantuan Sosial,14807815130.0,14068085166.0,95.0,False,False
Sumatera Utara,2,2026,1,Januari,37,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,2,Februari,38,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,3,Maret,39,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,4,April,40,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,5,Mei,41,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,6,Juni,42,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,7,Juli,43,Belanja Bantuan Sosial,23374077295.0,0.0,0.0,False,False
Sumatera Utara,2,2026,8,Agustus,44,Belanja Bantuan Sosial,23374077295.0,6665060000.0,28.51,False,False
Sumatera Utara,2,2026,9,September,45,Belanja Bantuan Sosial,23374077295.0,6665060000.0,28.51,False,True
Sumatera Utara,2,2026,10,Oktober,46,Belanja Bantuan Sosial,23374077295.0,6665060000.0,28.51,False,True
Sumatera Utara,2,2026,11,November,47,Belanja Bantuan Sosial,23374077295.0,6665060000.0,28.51,False,True
Sumatera Utara,2,2026,12,Desember,48,Belanja Bantuan Sosial,23374077295.0,6665060000.0,28.51,False,True
Sumatera Utara,2,2023,1,Januari,1,Belanja Barang dan Jasa,2350513226049.0,5540798784.45,0.24,False,False
Sumatera Utara,2,2023,2,Februari,2,Belanja Barang dan Jasa,2350513226049.0,59068078312.87,2.51,False,False
Sumatera Utara,2,2023,3,Maret,3,Belanja Barang dan Jasa,2350513226049.0,302143663839.51,12.85,False,False
Sumatera Utara,2,2023,4,April,4,Belanja Barang dan Jasa,2350513226049.0,517320800860.51,22.01,False,False
Sumatera Utara,2,2023,5,Mei,5,Belanja Barang dan Jasa,2350513226049.0,517320800860.51,22.01,False,False
Sumatera Utara,2,2023,6,Juni,6,Belanja Barang dan Jasa,2350513226049.0,896141978339.07,38.13,False,False
Sumatera Utara,2,2023,7,Juli,7,Belanja Barang dan Jasa,2350513226049.0,1162662199130.0,49.46,False,False
