provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase,datar_tahunan,belum_final
Aceh,1,2023,1,Januari,1,Belanja Bantuan Keuangan,950774053151.0,0.0,0.0,False,False
Aceh,1,2023,2,Februari,2,Belanja Bantuan Keuangan,950774053151.0,0.0,0.0,False,False
Aceh,1,2023,3,Maret,3,Belanja Bantuan Keuangan,950774053151.0,0.0,0.0,False,False
Aceh,1,2023,4,April,4,Belanja Bantuan Keuangan,950774053151.0,9944000088.0,1.05,False,False
Aceh,1,2023,5,Mei,5,Belanja Bantuan Keuangan,950774053151.0,9944000088.0,1.05,False,False
Aceh,1,2023,6,Juni,6,Belanja Bantuan Keuangan,950774053151.0,9944000088.0,1.05,False,False
Aceh,1,2023,7,Juli,7,Belanja Bantuan Keuangan,950774053151.0,84291816088.0,8.87,False,False
Aceh,1,2023,8,Agustus,8,Belanja Bantuan Keuangan,950774053151.0,85035816088.0,8.94,False,False
Aceh,1,2023,9,September,9,Belanja Bantuan Keuangan,950774053151.0,304682375168.0,32.05,False,False
Aceh,1,2023,10,Oktober,10,Belanja Bantuan Keuangan,950774053151.0,304742375168.0,32.05,False,False
Aceh,1,2023,11,November,11,Belanja Bantuan Keuangan,950774053151.0,656529265210.0,69.05,False,False
Aceh,1,2023,12,Desember,12,Belanja Bantuan Keuangan,950774053151.0,671221827920.0,70.6,False,False
Aceh,1,2024,1,Januari,13,Belanja Bantuan Keuangan,979641341626.24,0.0,0.0,False,False
Aceh,1,2024,2,Februari,14,Belanja Bantuan Keuangan,979641341626.24,0.0,0.0,False,False
Aceh,1,2024,3,Maret,15,Belanja Bantuan Keuangan,979641341626.24,0.0,0.0,False,False
Aceh,1,2024,4,April,16,Belanja Bantuan Keuangan,979641341626.24,0.0,0.0,False,False
Aceh,1,2024,5,Mei,17,Belanja Bantuan Keuangan,979641341626.24,241362496982.0,24.64,False,False
Aceh,1,2024,6,Juni,18,Belanja Bantuan Keuangan,979641341626.24,241362496982.0,24.64,False,False
Aceh,1,2024,7,Juli,19,Belanja Bantuan Keuangan,979641341626.24,510538526882.0,52.11,False,False
Aceh,1,2024,8,Agustus,20,Belanja Bantuan Keuangan,979641341626.24,605203238732.0,61.78,False,False
Aceh,1,2024,9,September,21,Belanja Bantuan Keuangan,979641341626.24,605386238732.0,61.8,False,False
Aceh,1,2024,10,Oktober,22,Belanja Bantuan Keuangan,979641341626.24,682313849036.0,69.65,False,False
Aceh,1,2024,11,November,23,Belanja Bantuan Keuangan,979641341626.24,826389622794.0,84.36,False,False
Aceh,1,2024,12,Desember,24,Belanja Bantuan Keuangan,979641341626.24,952260546282.0,97.21,False,False
Aceh,1,2025,1,Januari,25,Belanja Bantuan Keuangan,1104973374592.0,0.0,0.0,False,False
Aceh,1,2025,2,Februari,26,Belanja Bantuan Keuangan,1104973374592.0,0.0,0.0,False,False
Aceh,1,2025,3,Maret,27,Belanja Bantuan Keuangan,1104973374592.0,0.0,0.0,False,False
Aceh,1,2025,4,April,28,Belanja Bantuan Keuangan,1104973374592.0,0.0,0.0,False,False
Aceh,1,2025,5,Mei,29,Belanja Bantuan Keuangan,1104973374592.0,292342367100.0,26.46,False,False
Aceh,1,2025,6,Juni,30,Belanja Bantuan Keuangan,1104973374592.0,292402367100.0,26.46,False,False
Aceh,1,2025,7,Juli,31,Belanja Bantuan Keuangan,1104973374592.0,292555367100.0,26.48,False,False
Aceh,1,2025,8,Agustus,32,Belanja Bantuan Keuangan,1104973374592.0,337076296700.0,30.51,False,False
Aceh,1,2025,9,September,33,Belanja Bantuan Keuangan,1104973374592.0,791181417750.0,71.6,False,False
Aceh,1,2025,10,Oktober,34,Belanja Bantuan Keuangan,1104973374592.0,791457417750.0,71.63,False,False
Aceh,1,2025,11,November,35,Belanja Bantuan Keuangan,1104973374592.0,873436501205.0,79.05,False,False
Aceh,1,2025,12,Desember,36,Belanja Bantuan Keuangan,1104973374592.0,1112484019258.0,100.68,False,False
Aceh,1,2026,1,Januari,37,Belanja Bantuan Keuangan,1028461901502.0,0.0,0.0,False,False
Aceh,1,2026,2,Februari,38,Belanja Bantuan Keuangan,1028461901502.0,0.0,0.0,False,False
Aceh,1,2026,3,Maret,39,Belanja Bantuan Keuangan,1028461901502.0,0.0,0.0,False,False
Aceh,1,2026,4,April,40,Belanja Bantuan Keuangan,1028461901502.0,0.0,0.0,False,False
Aceh,1,2026,5,Mei,41,Belanja Bantuan Keuangan,1028461901502.0,0.0,0.0,False,False
Aceh,1,2026,6,Juni,42,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,False
Aceh,1,2026,7,Juli,43,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,True
Aceh,1,2026,8,Agustus,44,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,True
Aceh,1,2026,9,September,45,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,True
Aceh,1,2026,10,Oktober,46,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,True
Aceh,1,2026,11,November,47,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,True
Aceh,1,2026,12,Desember,48,Belanja Bantuan Keuangan,1028461901502.0,614493380500.0,59.75,False,True
Aceh,1,2023,1,Januari,1,Belanja Bantuan Sosial,245289144123.0,0.0,0.0,False,False
Aceh,1,2023,2,Februari,2,Belanja Bantuan Sosial,245289144123.0,1706000000.0,0.7,False,False
Aceh,1,2023,3,Maret,3,Belanja Bantuan Sosial,245289144123.0,10141025000.0,4.13,False,False
Aceh,1,2023,4,April,4,Belanja Bantuan Sosial,245289144123.0,27322261132.0,11.14,False,False
Aceh,1,2023,5,Mei,5,Belanja Bantuan Sosial,245289144123.0,27322261132.0,11.14,False,False
Aceh,1,2023,6,Juni,6,Belanja Bantuan Sosial,245289144123.0,42970284753.0,17.52,False,False
Aceh,1,2023,7,Juli,7,Belanja Bantuan Sosial,245289144123.0,47598162542.0,19.4,False,False
