unique_id,ds,y
Aceh | Belanja Bantuan Keuangan,2023-01-01,0.0
Aceh | Belanja Bantuan Keuangan,2023-02-01,0.0
Aceh | Belanja Bantuan Keuangan,2023-03-01,0.0
Aceh | Belanja Bantuan Keuangan,2023-04-01,9944000088.0
Aceh | Belanja Bantuan Keuangan,2023-05-01,0.0
Aceh | Belanja Bantuan Keuangan,2023-06-01,0.0
Aceh | Belanja Bantuan Keuangan,2023-07-01,74347816000.0
Aceh | Belanja Bantuan Keuangan,2023-08-01,744000000.0
Aceh | Belanja Bantuan Keuangan,2023-09-01,219646559080.0
Aceh | Belanja Bantuan Keuangan,2023-10-01,60000000.0
Aceh | Belanja Bantuan Keuangan,2023-11-01,351786890042.0
Aceh | Belanja Bantuan Keuangan,2023-12-01,14692562710.0
Aceh | Belanja Bantuan Keuangan,2024-01-01,0.0
Aceh | Belanja Bantuan Keuangan,2024-02-01,0.0
Aceh | Belanja Bantuan Keuangan,2024-03-01,0.0
Aceh | Belanja Bantuan Keuangan,2024-04-01,0.0
Aceh | Belanja Bantuan Keuangan,2024-05-01,241362496982.0
Aceh | Belanja Bantuan Keuangan,2024-06-01,0.0
Aceh | Belanja Bantuan Keuangan,2024-07-01,269176029900.0
Aceh | Belanja Bantuan Keuangan,2024-08-01,94664711850.0
Aceh | Belanja Bantuan Keuangan,2024-09-01,183000000.0
Aceh | Belanja Bantuan Keuangan,2024-10-01,76927610304.0
Aceh | Belanja Bantuan Keuangan,2024-11-01,144075773758.0
Aceh | Belanja Bantuan Keuangan,2024-12-01,125870923488.0
Aceh | Belanja Bantuan Keuangan,2025-01-01,0.0
Aceh | Belanja Bantuan Keuangan,2025-02-01,0.0
Aceh | Belanja Bantuan Keuangan,2025-03-01,0.0
Aceh | Belanja Bantuan Keuangan,2025-04-01,0.0
Aceh | Belanja Bantuan Keuangan,2025-05-01,292342367100.0
Aceh | Belanja Bantuan Keuangan,2025-06-01,60000000.0
Aceh | Belanja Bantuan Keuangan,2025-07-01,153000000.0
Aceh | Belanja Bantuan Keuangan,2025-08-01,44520929600.0
Aceh | Belanja Bantuan Keuangan,2025-09-01,454105121050.0
Aceh | Belanja Bantuan Keuangan,2025-10-01,276000000.0
Aceh | Belanja Bantuan Keuangan,2025-11-01,81979083455.0
Aceh | Belanja Bantuan Keuangan,2025-12-01,239047518053.0
Aceh | Belanja Bantuan Keuangan,2026-01-01,0.0
Aceh | Belanja Bantuan Keuangan,2026-02-01,0.0
Aceh | Belanja Bantuan Keuangan,2026-03-01,0.0
Aceh | Belanja Bantuan Keuangan,2026-04-01,0.0
Aceh | Belanja Bantuan Keuangan,2026-05-01,0.0
Aceh | Belanja Bantuan Keuangan,2026-06-01,614493380500.0
Aceh | Belanja Bantuan Sosial,2023-01-01,0.0
Aceh | Belanja Bantuan Sosial,2023-02-01,1706000000.0
Aceh | Belanja Bantuan Sosial,2023-03-01,8435025000.0
Aceh | Belanja Bantuan Sosial,2023-04-01,17181236132.0
